ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
logu1236-1-1-1,,logu1236-1,1,ˈunu,ˈunu,[],,[],,False,False,unu,1
logu1236-1-1-2,,logu1236-1,1,ˈuna,ˈuna,[],(masc./fem.),[],,False,False,una,1
logu1236-1-2-1,,logu1236-1,2,ˈduɔs,ˈduɔs,[],,[],,False,False,duos,1
logu1236-1-2-2,,logu1236-1,2,ˈduas,ˈduas,[],(m./f.),[],,False,False,duas,1
logu1236-1-3-1,,logu1236-1,3,ˈtrɛs,ˈtrɛs,[],,[],,False,False,tres,1
logu1236-1-4-1,,logu1236-1,4,ˈbatˑɔɾ,ˈbatˑɔɾ,[],,[],,False,False,bat(t)or,1
logu1236-1-5-1,,logu1236-1,5,ˈkimbɛ,ˈkimbɛ,[],,[],,False,False,chimbe,1
logu1236-1-6-1,,logu1236-1,6,ˈsɛs,ˈsɛs,[],,[],,False,False,ses,1
logu1236-1-7-1,,logu1236-1,7,ˈsɛtˑɛ,ˈsɛtˑɛ,[],,[],,False,False,set(t)e,1
logu1236-1-8-1,,logu1236-1,8,ˈɔtˑɔ,ˈɔtˑɔ,[],,[],,False,False,ot(t)o,1
logu1236-1-9-1,,logu1236-1,9,ˈnɔɛ,ˈnɔɛ,[],,[],,False,False,noe,1
logu1236-1-10-1,,logu1236-1,10,ˈdɛɣɛ,ˈdɛɣɛ,[],,[],,False,False,deghe,1
logu1236-1-11-1,,logu1236-1,11,ˈuɳɖiɣi,ˈuɳɖiɣi,[],,[],,False,False,ùndighi,1
logu1236-1-12-1,,logu1236-1,12,ˈdoiɣi,ˈdoiɣi,[],,[],,False,False,doighi,1
logu1236-1-13-1,,logu1236-1,13,ˈtɾeiɣi,ˈtɾeiɣi,[],,[],,False,False,treighi,1
logu1236-1-14-1,,logu1236-1,14,baˈtˑoɾðiɣi,baˈtˑoɾðiɣi,[],,[],,False,False,battòrdighi,1
logu1236-1-15-1,,logu1236-1,15,ˈbiɳɖiɣi,ˈbiɳɖiɣi,[],,[],,False,False,bindighi,1
logu1236-1-16-1,,logu1236-1,16,ˈseiɣi,ˈseiɣi,[],,[],,False,False,seighi,1
logu1236-1-17-1,,logu1236-1,17,dɛɣɛˈsɛtˑɛ,dɛɣɛˈsɛtˑɛ,[],,[],,False,False,deghesset(t)e,1
logu1236-1-18-1,,logu1236-1,18,dɛɣɛˈɔtˑɔ,dɛɣɛˈɔtˑɔ,[],,[],,False,False,degheot(t)o,1
logu1236-1-19-1,,logu1236-1,19,dɛɣɛˈnːɔɛ,dɛɣɛˈnːɔɛ,[],,[],,False,False,deghennoe,1
logu1236-1-20-1,,logu1236-1,20,ˈbinti,ˈbinti,[],,[],,False,False,binti,1
logu1236-1-21-1,,logu1236-1,21,bintiunu,bintiunu,[],,[],,False,False,,1
logu1236-1-21-2,,logu1236-1,21,binˈtunu /-una,binˈtunu,[],(m./f.),[],,False,True,-una,1
logu1236-1-21-3,,logu1236-1,21,binˈtunu /-una,-una,[],(m./f.),[],,False,True,-una,1
logu1236-1-22-1,,logu1236-1,22,bintiduos,bintiduos,[],,[],,False,False,,1
logu1236-1-22-2,,logu1236-1,22,bintiˈðuɔs/ duas,bintiˈðuɔs,[],(m./f.),[],,False,True,duas,1
logu1236-1-22-3,,logu1236-1,22,bintiˈðuɔs/ duas,duas,[],(m./f.),[],,False,True,duas,1
logu1236-1-23-1,,logu1236-1,23,bintiˈtɾɛs,bintiˈtɾɛs,[],,[],,False,False,bintitres,1
logu1236-1-24-1,,logu1236-1,24,bintiˈbatˑɔɾ,bintiˈbatˑɔɾ,[],,[],,False,False,bintibat(t)or,1
logu1236-1-25-1,,logu1236-1,25,bintiˈɣimbɛ,bintiˈɣimbɛ,[],,[],,False,False,bintichimbe,1
logu1236-1-26-1,,logu1236-1,26,bintiˈzɛs,bintiˈzɛs,[],,[],,False,False,bintises,1
logu1236-1-27-1,,logu1236-1,27,biniˈzɛtˑɛ,biniˈzɛtˑɛ,[],,[],,False,False,bintiset(t)e,1
logu1236-1-28-1,,logu1236-1,28,bintiˈɔtˑɔ,bintiˈɔtˑɔ,[],,[],,False,False,bintiot(t)o,1
logu1236-1-29-1,,logu1236-1,29,bintiˈnɔɛ,bintiˈnɔɛ,[],,[],,False,False,bintinoe,1
logu1236-1-30-1,,logu1236-1,30,ˈtɾinta,ˈtɾinta,[],,[],,False,False,trinta,1
logu1236-1-40-1,,logu1236-1,40,baˈɾanta,baˈɾanta,[],,[],,False,False,baranta,1
logu1236-1-50-1,,logu1236-1,50,kimˈbanta,kimˈbanta,[],,[],,False,False,kimbanta,1
logu1236-1-60-1,,logu1236-1,60,seˈsanta,seˈsanta,[],,[],,False,False,sessanta,1
logu1236-1-70-1,,logu1236-1,70,seˈtˑanta,seˈtˑanta,[],,[],,False,False,set(t)anta,1
logu1236-1-80-1,,logu1236-1,80,ɔˈtˑanta,ɔˈtˑanta,[],,[],,False,False,ot(t)anta,1
logu1236-1-90-1,,logu1236-1,90,nɔˈvanta,nɔˈvanta,[],,[],,False,False,novanta,1
logu1236-1-100-1,,logu1236-1,100,ˈkɛntu,ˈkɛntu,[],,[],,False,False,kentu,1
logu1236-1-100-2,,logu1236-1,100,ˈkɛntas m.,ˈkɛntas m.,[],,[],,False,False,kentas,1
logu1236-1-100-3,,logu1236-1,100,f.,f.,[],,[],,False,False,,1
logu1236-1-200-1,,logu1236-1,200,dukentos,dukentos,[],,[],,False,False,,1
logu1236-1-200-2,,logu1236-1,200,duˈɣɛntɔs /-tas,duˈɣɛntɔs,[],,[],,False,True,-tas,1
logu1236-1-200-3,,logu1236-1,200,duˈɣɛntɔs /-tas,-tas,[],,[],,False,True,-tas,1
logu1236-1-200-4,,logu1236-1,200,m.,m.,[],,[],,False,False,,1
logu1236-1-200-5,,logu1236-1,200,f.,f.,[],,[],,False,False,,1
logu1236-1-1000-1,,logu1236-1,1000,ˈmilːi,ˈmilːi,[],,[],,False,False,milli,1
logu1236-1-2000-1,,logu1236-1,2000,duaˈmid͡za,duaˈmid͡za,[],,[],,False,False,duamidza,1
