ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
maty1235-1-1-1,,maty1235-1,1,ɡɔ̀rɔ́,ɡɔ̀rɔ́,[],,['chan2019'],,False,False,,1
maty1235-1-2-1,,maty1235-1,2,prá,prá,[],,['chan2019'],,False,False,,1
maty1235-1-3-1,,maty1235-1,3,tjɔwɔ,tjɔwɔ,[],,['chan2019'],,False,False,,1
maty1235-1-4-1,,maty1235-1,4,sí,sí,[],,['chan2019'],,False,False,,1
maty1235-1-5-1,,maty1235-1,5,sɔ́rɔ́,sɔ́rɔ́,[],,['chan2019'],,False,False,,1
maty1235-1-6-1,,maty1235-1,6,sɛ̀rɛ́,sɛ̀rɛ́,[],( 5 + 1 ),['chan2019'],,False,False,,1
maty1235-1-7-1,,maty1235-1,7,tjʊ́sʊ́,tjʊ́sʊ́,[],( 5 + 2 ),['chan2019'],,False,False,,1
maty1235-1-8-1,,maty1235-1,8,tjisí,tjisí,[],( 2 x 4 ),['chan2019'],,False,False,,1
maty1235-1-9-1,,maty1235-1,9,ménaŋɡɔrɔ,ménaŋɡɔrɔ,[],( 10 - 1),['chan2019'],,False,False,,1
maty1235-1-10-1,,maty1235-1,10,flè,flè,[],,['chan2019'],,False,False,,1
maty1235-1-10-2,,maty1235-1,10,fʊ̀,fʊ̀,[],,['chan2019'],,False,False,,1
maty1235-1-11-1,,maty1235-1,11,flèɡɔ̀rɔ́,flèɡɔ̀rɔ́,[],,['chan2019'],,False,False,,1
maty1235-1-12-1,,maty1235-1,12,flèprá,flèprá,[],,['chan2019'],,False,False,,1
maty1235-1-13-1,,maty1235-1,13,flètjɔwɔ,flètjɔwɔ,[],,['chan2019'],,False,False,,1
maty1235-1-14-1,,maty1235-1,14,flèsì,flèsì,[],,['chan2019'],,False,False,,1
maty1235-1-15-1,,maty1235-1,15,flèsɔ́rɔ,flèsɔ́rɔ,[],,['chan2019'],,False,False,,1
maty1235-1-16-1,,maty1235-1,16,flèsɛ̀rɛ́,flèsɛ̀rɛ́,[],,['chan2019'],,False,False,,1
maty1235-1-17-1,,maty1235-1,17,flètjʊ́sʊ,flètjʊ́sʊ,[],,['chan2019'],,False,False,,1
maty1235-1-18-1,,maty1235-1,18,flètjisí,flètjisí,[],,['chan2019'],,False,False,,1
maty1235-1-19-1,,maty1235-1,19,flèménaŋɡɔrɔ,flèménaŋɡɔrɔ,[],,['chan2019'],,False,False,,1
maty1235-1-20-1,,maty1235-1,20,fʊrʊ,fʊrʊ,[],,['chan2019'],,False,False,,1
maty1235-1-20-2,,maty1235-1,20,fro,fro,[],,['chan2019'],,False,False,,1
maty1235-1-21-1,,maty1235-1,21,fʊrʊ kinɛ ɡɔ̀rɔ́,fʊrʊ kinɛ ɡɔ̀rɔ́,[],,['chan2019'],,False,False,,1
maty1235-1-22-1,,maty1235-1,22,fʊrʊ kinɛ prá,fʊrʊ kinɛ prá,[],,['chan2019'],,False,False,,1
maty1235-1-23-1,,maty1235-1,23,fʊrʊ kinɛ tjɔwɔ,fʊrʊ kinɛ tjɔwɔ,[],,['chan2019'],,False,False,,1
maty1235-1-24-1,,maty1235-1,24,fʊrʊ kinɛ sí,fʊrʊ kinɛ sí,[],,['chan2019'],,False,False,,1
maty1235-1-25-1,,maty1235-1,25,fʊrʊ kinɛ sɔ́rɔ́,fʊrʊ kinɛ sɔ́rɔ́,[],,['chan2019'],,False,False,,1
maty1235-1-26-1,,maty1235-1,26,fʊrʊ kinɛ sɛ̀rɛ́,fʊrʊ kinɛ sɛ̀rɛ́,[],,['chan2019'],,False,False,,1
maty1235-1-27-1,,maty1235-1,27,fʊrʊ kinɛ tjʊ́sʊ,fʊrʊ kinɛ tjʊ́sʊ,[],,['chan2019'],,False,False,,1
maty1235-1-28-1,,maty1235-1,28,fʊrʊ kinɛ tjisí,fʊrʊ kinɛ tjisí,[],,['chan2019'],,False,False,,1
maty1235-1-29-1,,maty1235-1,29,fʊrʊ kinɛ ménaŋɡɔrɔ,fʊrʊ kinɛ ménaŋɡɔrɔ,[],,['chan2019'],,False,False,,1
maty1235-1-30-1,,maty1235-1,30,fʊrʊtjɔwɔ,fʊrʊtjɔwɔ,[],,['chan2019'],,False,False,,1
maty1235-1-40-1,,maty1235-1,40,pìsí,pìsí,[],,['chan2019'],,False,False,,1
maty1235-1-50-1,,maty1235-1,50,fʊsɔrɔ́,fʊsɔrɔ́,[],,['chan2019'],,False,False,,1
maty1235-1-60-1,,maty1235-1,60,mentjémé,mentjémé,[],,['chan2019'],,False,False,,1
maty1235-1-70-1,,maty1235-1,70,báfʊbàlɛ,báfʊbàlɛ,[],,['chan2019'],,False,False,,1
maty1235-1-80-1,,maty1235-1,80,pambárɛ̀,pambárɛ̀,[],,['chan2019'],,False,False,,1
maty1235-1-90-1,,maty1235-1,90,bapáŋfʊ,bapáŋfʊ,[],,['chan2019'],,False,False,,1
maty1235-1-100-1,,maty1235-1,100,báfʊrʊ,báfʊrʊ,[],,['chan2019'],,False,False,,1
maty1235-1-200-1,,maty1235-1,200,bánprá,bánprá,[],,['chan2019'],,False,False,,1
maty1235-1-1000-1,,maty1235-1,1000,pəɡɔ̀rɔ́,pəɡɔ̀rɔ́,[],,['chan2019'],,False,False,,1
maty1235-1-2000-1,,maty1235-1,2000,pəprá,pəprá,[],,['chan2019'],,False,False,,1
