ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
dato1239-1-1,,dato1239,1,àkàlɛːlɛ̀ː,àkàlɛːlɛ̀ː,[],,[],,False,Datooga.htm,False,,1
dato1239-1-2,,dato1239,1,ák,ák,[],,[],,False,Datooga.htm,False,,1
dato1239-1-3,,dato1239,1,ɑ̀ɡi,ɑ̀ɡi,[],,[],,False,Datooga.htm,False,,2
dato1239-1-4,,dato1239,1,ʔàɡi,ʔàɡi,[],,[],,False,Datooga.htm,False,,3
dato1239-2-1,,dato1239,2,íjèɲ,íjèɲ,[],,[],,False,Datooga.htm,False,,1
dato1239-2-2,,dato1239,2,íiyèeɲɑ,íiyèeɲɑ,[],,[],,False,Datooga.htm,False,,2
dato1239-2-3,,dato1239,2,íyèeɲa,íyèeɲa,[],,[],,False,Datooga.htm,False,,3
dato1239-3-1,,dato1239,3,sàmòɡw,sàmòɡw,[],,[],,False,Datooga.htm,False,,1
dato1239-3-2,,dato1239,3,sɑ́mɑ̀ɡu,sɑ́mɑ̀ɡu,[],,[],,False,Datooga.htm,False,,2
dato1239-3-3,,dato1239,3,sàmàɡu,sàmàɡu,[],,[],,False,Datooga.htm,False,,3
dato1239-4-1,,dato1239,4,àŋwàn,àŋwàn,[],,[],,False,Datooga.htm,False,,1
dato1239-4-2,,dato1239,4,ɑ́ŋwɑ́n,ɑ́ŋwɑ́n,[],,[],,False,Datooga.htm,False,,2
dato1239-4-3,,dato1239,4,ʔàŋwàn,ʔàŋwàn,[],,[],,False,Datooga.htm,False,,3
dato1239-5-1,,dato1239,5,mùːt,mùːt,[],,[],,False,Datooga.htm,False,,1
dato1239-5-2,,dato1239,5,mʊ̀ʊt,mʊ̀ʊt,[],,[],,False,Datooga.htm,False,,2
dato1239-5-3,,dato1239,5,mùuti,mùuti,[],,[],,False,Datooga.htm,False,,3
dato1239-5-4,,dato1239,5,bánàakta mùuti,bánàakta mùuti,[],,[],,False,Datooga.htm,False,,3
dato1239-6-1,,dato1239,6,lá,lá,[],,[],,False,Datooga.htm,False,,1
dato1239-6-2,,dato1239,6,lɑ́,lɑ́,[],,[],,False,Datooga.htm,False,,2
dato1239-6-3,,dato1239,6,làh,làh,[],,[],,False,Datooga.htm,False,,3
dato1239-7-1,,dato1239,7,ísːpò,ísːpò,[],,[],,False,Datooga.htm,False,,1
dato1239-7-2,,dato1239,7,íispɑ̀,íispɑ̀,[],,[],,False,Datooga.htm,False,,2
dato1239-7-3,,dato1239,7,ìsbà,ìsbà,[],,[],,False,Datooga.htm,False,,3
dato1239-7-4,,dato1239,7,isbwà,isbwà,[],,[],,False,Datooga.htm,False,,3
dato1239-8-1,,dato1239,8,sìs,sìs,[],,[],,False,Datooga.htm,False,,1
