ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
samb1315-1-1-1,,samb1315-1,1,naɓô,naɓô,[],(fem),[],,False,False,,1
samb1315-1-1-2,,samb1315-1,1,oɓô,oɓô,[],(masc),[],,False,False,,1
samb1315-1-1-3,,samb1315-1,1,noɓô,noɓô,[],(place),[],,False,False,,1
samb1315-1-2-1,,samb1315-1,2,aré,aré,[],(fem),[],,False,False,,1
samb1315-1-2-2,,samb1315-1,2,waáre,waáre,[],(masc),[],,False,False,,1
samb1315-1-3-1,,samb1315-1,3,uní,uní,[],(fem),[],,False,False,,1
samb1315-1-3-2,,samb1315-1,3,okúni,okúni,[],(masc),[],,False,False,,1
samb1315-1-4-1,,samb1315-1,4,onɠwán,onɠwán,[],(fem),[],,False,False,,1
samb1315-1-4-2,,samb1315-1,4,oónɠwan,oónɠwan,[],(masc),[],,False,False,,1
samb1315-1-5-1,,samb1315-1,5,ímɟêt,ímɟêt,[],,[],,False,False,,1
samb1315-1-5-2,,samb1315-1,5,ímʄêt,ímʄêt,[],,[],,False,False,,1
samb1315-1-6-1,,samb1315-1,6,ílê,ílê,[],,[],,False,False,,1
samb1315-1-7-1,,samb1315-1,7,sápâ,sápâ,[],,[],,False,False,,1
samb1315-1-8-1,,samb1315-1,8,ísɟêt,ísɟêt,[],,[],,False,False,,1
samb1315-1-8-2,,samb1315-1,8,ísʄêt,ísʄêt,[],< Kalenjin ,[],,True,False,,1
samb1315-1-9-1,,samb1315-1,9,sâːl,sâːl,[],,[],,False,False,,1
samb1315-1-10-1,,samb1315-1,10,tômôn,tômôn,[],< Kalenjin ,[],,True,False,,1
samb1315-1-11-1,,samb1315-1,11,tômôn o oɓô,tômôn o oɓô,[],,[],,False,False,,1
samb1315-1-12-1,,samb1315-1,12,tômôn o áré,tômôn o áré,[],,[],,False,False,,1
samb1315-1-13-1,,samb1315-1,13,tômôn o uní,tômôn o uní,[],,[],,False,False,,1
samb1315-1-14-1,,samb1315-1,14,tômôn o ónɠwán,tômôn o ónɠwán,[],,[],,False,False,,1
samb1315-1-15-1,,samb1315-1,15,tômôn o ímɟêt,tômôn o ímɟêt,[],,[],,False,False,,1
samb1315-1-16-1,,samb1315-1,16,tômôn o ílê,tômôn o ílê,[],,[],,False,False,,1
samb1315-1-17-1,,samb1315-1,17,tômôn o sápâ,tômôn o sápâ,[],,[],,False,False,,1
samb1315-1-18-1,,samb1315-1,18,tômôn o ísɟêt,tômôn o ísɟêt,[],,[],,False,False,,1
samb1315-1-19-1,,samb1315-1,19,tômôn o sâːl,tômôn o sâːl,[],,[],,False,False,,1
samb1315-1-20-1,,samb1315-1,20,tikítam,tikítam,[],,[],,False,False,,1
samb1315-1-21-1,,samb1315-1,21,t́ikítam o oɓô,t́ikítam o oɓô,[],,[],,False,False,,1
samb1315-1-22-1,,samb1315-1,22,tíkítam oaáre,tíkítam oaáre,[],,[],,False,False,,1
samb1315-1-23-1,,samb1315-1,23,tíkítam o ókuní,tíkítam o ókuní,[],,[],,False,False,,1
samb1315-1-24-1,,samb1315-1,24,tíkítam o ónɠwán,tíkítam o ónɠwán,[],,[],,False,False,,1
samb1315-1-25-1,,samb1315-1,25,tíkítam o ímɟêt,tíkítam o ímɟêt,[],,[],,False,False,,1
samb1315-1-26-1,,samb1315-1,26,tíkítam o ílê,tíkítam o ílê,[],,[],,False,False,,1
samb1315-1-27-1,,samb1315-1,27,tíkítam o sápâ,tíkítam o sápâ,[],,[],,False,False,,1
samb1315-1-28-1,,samb1315-1,28,tíkítam o ísɟêt,tíkítam o ísɟêt,[],,[],,False,False,,1
samb1315-1-29-1,,samb1315-1,29,tíkítam o sâːl,tíkítam o sâːl,[],,[],,False,False,,1
samb1315-1-30-1,,samb1315-1,30,ɔ́sɔ̂m,ɔ́sɔ̂m,[],,[],,False,False,,1
samb1315-1-40-1,,samb1315-1,40,ártam,ártam,[],< from Proto-Kalenjin ,[],,True,False,,1
samb1315-1-50-1,,samb1315-1,50,ɔ́nɔ̂m,ɔ́nɔ̂m,[],< from Proto-Kalenjin ,[],,True,False,,1
samb1315-1-60-1,,samb1315-1,60,ntomoniílê,ntomoniílê,[],( litː 'six tens' ),[],,False,False,,1
samb1315-1-70-1,,samb1315-1,70,ntomonisápâ,ntomonisápâ,[],,[],,False,False,,1
samb1315-1-80-1,,samb1315-1,80,ntomonisêt,ntomonisêt,[],,[],,False,False,,1
samb1315-1-90-1,,samb1315-1,90,intomonisâːl,intomonisâːl,[],,[],,False,False,,1
samb1315-1-100-1,,samb1315-1,100,íp naɓô,íp naɓô,[],,[],,False,False,,1
samb1315-1-200-1,,samb1315-1,200,ɨ́p arɛ́,ɨ́p arɛ́,[],,[],,False,False,,1
samb1315-1-1000-1,,samb1315-1,1000,nkálup,nkálup,[],,[],,False,False,,1
samb1315-1-2000-1,,samb1315-1,2000,nkalupuní árɛ,nkalupuní árɛ,[],,[],,False,False,,1
samb1315-1-2000-2,,samb1315-1,2000,nkalupí árɛ,nkalupí árɛ,[],,[],,False,False,,1
