ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
auve1240-1-1,,auve1240,1,vyn,vyn,[],,[],,False,Auvergnat.htm,False,vun,1
auve1240-1-2,,auve1240,1,ˈvynɐ,ˈvynɐ,[],(m./f.),[],,False,Auvergnat.htm,False,vynå,1
auve1240-2-1,,auve1240,2,du,du,[],,[],,False,Auvergnat.htm,False,dou,1
auve1240-2-2,,auve1240,2,dua,dua,[],(m./f.),[],,False,Auvergnat.htm,False,duas,1
auve1240-3-1,,auve1240,3,tʀej,tʀej,[],,[],,False,Auvergnat.htm,False,trei,1
auve1240-4-1,,auve1240,4,ˈkatʀə,ˈkatʀə,[],,[],,False,Auvergnat.htm,False,catre,1
auve1240-5-1,,auve1240,5,ʃin,ʃin,[],,[],,False,Auvergnat.htm,False,sin,1
auve1240-6-1,,auve1240,6,ʃej,ʃej,[],,[],,False,Auvergnat.htm,False,siei,1
auve1240-7-1,,auve1240,7,se,se,[],,[],,False,Auvergnat.htm,False,sé,1
auve1240-8-1,,auve1240,8,vø,vø,[],,[],,False,Auvergnat.htm,False,veu,1
auve1240-9-1,,auve1240,9,njø,njø,[],,[],,False,Auvergnat.htm,False,nieu,1
auve1240-9-2,,auve1240,9,nu,nu,[],,[],,False,Auvergnat.htm,False,nou,1
auve1240-10-1,,auve1240,10,dje,dje,[],,[],,False,Auvergnat.htm,False,dié,1
auve1240-10-2,,auve1240,10,de,de,[],,[],,False,Auvergnat.htm,False,dé,1
auve1240-11-1,,auve1240,11,ˈvund͡ze,ˈvund͡ze,[],,[],,False,Auvergnat.htm,False,vounje,1
auve1240-12-1,,auve1240,12,ˈdud͡ze,ˈdud͡ze,[],,[],,False,Auvergnat.htm,False,douje,1
auve1240-13-1,,auve1240,13,ˈtʀed͡ze,ˈtʀed͡ze,[],,[],,False,Auvergnat.htm,False,treje,1
auve1240-14-1,,auve1240,14,kaˈtɔʀd͡ze,kaˈtɔʀd͡ze,[],,[],,False,Auvergnat.htm,False,catorje,1
auve1240-15-1,,auve1240,15,ˈtjind͡ze,ˈtjind͡ze,[],,[],,False,Auvergnat.htm,False,tïnze,1
auve1240-16-1,,auve1240,16,ˈsɛd͡ze,ˈsɛd͡ze,[],,[],,False,Auvergnat.htm,False,seje,1
auve1240-17-1,,auve1240,17,daraˈsɛ,daraˈsɛ,[],,[],,False,Auvergnat.htm,False,darassê,1
auve1240-18-1,,auve1240,18,ˈdozjø,ˈdozjø,[],,[],,False,Auvergnat.htm,False,dozieu,1
auve1240-19-1,,auve1240,19,dazaˈnjø,dazaˈnjø,[],,[],,False,Auvergnat.htm,False,dazanjeu,1
auve1240-20-1,,auve1240,20,vjin,vjin,[],,[],,False,Auvergnat.htm,False,vïn,1
auve1240-21-1,,auve1240,21,vjintaˈvyn,vjintaˈvyn,[],,[],,False,Auvergnat.htm,False,vïntavun,1
auve1240-22-1,,auve1240,22,vjintaˈdu,vjintaˈdu,[],,[],,False,Auvergnat.htm,False,vïntadus,1
auve1240-23-1,,auve1240,23,vjintaˈtʀej,vjintaˈtʀej,[],,[],,False,Auvergnat.htm,False,vïntatres,1
auve1240-24-1,,auve1240,24,vjintaˈkatʀə,vjintaˈkatʀə,[],,[],,False,Auvergnat.htm,False,vïntaquatre,1
auve1240-25-1,,auve1240,25,vjintaˈʃin,vjintaˈʃin,[],,[],,False,Auvergnat.htm,False,vïntacinq,1
auve1240-26-1,,auve1240,26,vjintaˈʃej,vjintaˈʃej,[],,[],,False,Auvergnat.htm,False,vïntasheis,1
auve1240-27-1,,auve1240,27,vjintaˈse,vjintaˈse,[],,[],,False,Auvergnat.htm,False,vïntasèt,1
auve1240-28-1,,auve1240,28,vjintaˈvø,vjintaˈvø,[],,[],,False,Auvergnat.htm,False,vïntaveu,1
auve1240-29-1,,auve1240,29,vjintaˈnjø,vjintaˈnjø,[],,[],,False,Auvergnat.htm,False,vïntanieu,1
auve1240-30-1,,auve1240,30,ˈtʀẽtɐ,ˈtʀẽtɐ,[],,[],,False,Auvergnat.htm,False,trentà,1
auve1240-40-1,,auve1240,40,ˈkʀãtɐ,ˈkʀãtɐ,[],,[],,False,Auvergnat.htm,False,crantà,1
auve1240-50-1,,auve1240,50,ʃinˈkãtɐ,ʃinˈkãtɐ,[],,[],,False,Auvergnat.htm,False,sincantà,1
auve1240-60-1,,auve1240,60,seˈsãtɐ,seˈsãtɐ,[],,[],,False,Auvergnat.htm,False,seissantà,1
auve1240-70-1,,auve1240,70,sejˈsãtɐ ˈdje,sejˈsãtɐ ˈdje,[],(60 + 10 ),[],,False,Auvergnat.htm,False,seissanta dié,1
auve1240-80-1,,auve1240,80,katʀəˈvjin,katʀəˈvjin,[],(4 x 20 ),[],,False,Auvergnat.htm,False,catre vïn,1
auve1240-90-1,,auve1240,90,katʀəˈvjin ˈdje,katʀəˈvjin ˈdje,[],(80 + 10 ),[],,False,Auvergnat.htm,False,catre vïndié,1
auve1240-100-1,,auve1240,100,sẽ,sẽ,[],,[],,False,Auvergnat.htm,False,sen,1
auve1240-200-1,,auve1240,200,duˈsẽ,duˈsẽ,[],,[],,False,Auvergnat.htm,False,dou sen,1
auve1240-1000-1,,auve1240,1000,ˈmjilɐ,ˈmjilɐ,[],,[],,False,Auvergnat.htm,False,mïlà,1
auve1240-2000-1,,auve1240,2000,duˈmjilɐ,duˈmjilɐ,[],,[],,False,Auvergnat.htm,False,doumïla,1
