ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
zoog1238-1-1,,zoog1238,1,to,to,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-2-1,,zoog1238,2,tʃope,tʃope,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-3-1,,zoog1238,3,ʃonːe,ʃonːe,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-4-1,,zoog1238,4,tap,tap,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-5-1,,zoog1238,5,ɡajoʔ,ɡajoʔ,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-6-1,,zoog1238,6,ʂop,ʂop,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-7-1,,zoog1238,7,ɡaʒ,ɡaʒ,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-8-1,,zoog1238,8,ʂonoʔ,ʂonoʔ,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-9-1,,zoog1238,9,ɡa,ɡa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-10-1,,zoog1238,10,ʃi,ʃi,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-11-1,,zoog1238,11,ʃneχ,ʃneχ,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-12-1,,zoog1238,12,ʃiʒinʒʷ,ʃiʒinʒʷ,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-13-1,,zoog1238,13,ʃiʔinːʷ,ʃiʔinːʷ,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-14-1,,zoog1238,14,ʒtaʔ,ʒtaʔ,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-15-1,,zoog1238,15,ʃinoʔ,ʃinoʔ,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-16-1,,zoog1238,16,ʃinoʔto,ʃinoʔto,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-17-1,,zoog1238,17,ʃinoʔ tʃope,ʃinoʔ tʃope,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-18-1,,zoog1238,18,ʃinoʔʃonːe,ʃinoʔʃonːe,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-19-1,,zoog1238,19,toɡalːχ,toɡalːχ,[],( 20 - 1 ) ?,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-20-1,,zoog1238,20,ɡalːχe,ɡalːχe,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-21-1,,zoog1238,21,todʒoa,todʒoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-22-1,,zoog1238,22,tʃopedʒoa,tʃopedʒoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-23-1,,zoog1238,23,ʃonːedʒoa,ʃonːedʒoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-24-1,,zoog1238,24,tapedʒoa,tapedʒoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-25-1,,zoog1238,25,ɡajeʔdʒoa,ɡajeʔdʒoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-26-1,,zoog1238,26,ʂopedʒoa,ʂopedʒoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-27-1,,zoog1238,27,ɡaʒedʒoa,ɡaʒedʒoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-28-1,,zoog1238,28,ʂoneʔdʒoa,ʂoneʔdʒoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-29-1,,zoog1238,29,ɡadʒoa,ɡadʒoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-30-1,,zoog1238,30,ʃidʒoa,ʃidʒoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-40-1,,zoog1238,40,tʃoa,tʃoa,[],( 2 x 20 ),[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-50-1,,zoog1238,50,toyon,toyon,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-60-1,,zoog1238,60,ɡayon,ɡayon,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-70-1,,zoog1238,70,ɡayonʃi,ɡayonʃi,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-80-1,,zoog1238,80,taplalːχ,taplalːχ,[],( 4 x 20 ),[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-90-1,,zoog1238,90,taplalːχʃi,taplalːχʃi,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-100-1,,zoog1238,100,to ɡayoa,to ɡayoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-200-1,,zoog1238,200,tʃope ɡayoa,tʃope ɡayoa,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
zoog1238-1000-1,,zoog1238,1000,to mil,to mil,[],( mii < Spanish ),[],,True,Zapotec-Zoogocho.htm,False,,1
zoog1238-2000-1,,zoog1238,2000,tʃope mil,tʃope mil,[],,[],,False,Zapotec-Zoogocho.htm,False,,1
