ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
asue1235-1-1-1,,asue1235-1,1,teisʲɐ,teisʲɐ,[],,['chan2019'],,False,False,,1
asue1235-1-2-1,,asue1235-1,2,kʰɔrmɐn,kʰɔrmɐn,[],,['chan2019'],,False,False,,1
asue1235-1-3-1,,asue1235-1,3,kʰɔrmɐn'dʒumɐ,kʰɔrmɐn'dʒumɐ,[],,['chan2019'],,False,False,,1
asue1235-1-4-1,,asue1235-1,4,sendo'mɐ,sendo'mɐ,[],,['chan2019'],,False,False,,1
asue1235-1-5-1,,asue1235-1,5,bedɐxi'burmɐ,bedɐxi'burmɐ,[],,['chan2019'],,False,False,,1
asue1235-1-6-1,,asue1235-1,6,bedɐxi'wɐdo,bedɐxi'wɐdo,[],,['chan2019'],,False,False,,1
asue1235-1-7-1,,asue1235-1,7,bedɐxiwɐdo'mɐɣɐ,bedɐxiwɐdo'mɐɣɐ,[],,['chan2019'],,False,False,,1
asue1235-1-8-1,,asue1235-1,8,bedɐxi'hoiwomu,bedɐxi'hoiwomu,[],,['chan2019'],,False,False,,1
asue1235-1-9-1,,asue1235-1,9,bedɐxi seomɐɣɐ,bedɐxi seomɐɣɐ,[],,['chan2019'],,False,False,,1
asue1235-1-10-1,,asue1235-1,10,bedɐxibedaxi'burmɐ,bedɐxibedaxi'burmɐ,[],,['chan2019'],,False,False,,1
asue1235-1-20-1,,asue1235-1,20,bedɐxibedaxi'burmɐ ketɐxi ketɐxiburmo,bedɐxibedaxi'burmɐ ketɐxi ketɐxiburmo,[],,['chan2019'],,False,False,,1
