ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kosa1249-3-1-1,,kosa1249-3,1,selek,selek,[],(litː 'small finger'),['chan2019'],,False,False,,1
kosa1249-3-2-1,,kosa1249-3,2,ɸene,ɸene,[],(litː ''ring finger''),['chan2019'],,False,False,,1
kosa1249-3-3-1,,kosa1249-3,3,wilindi,wilindi,[],(litː ''middle finger''),['chan2019'],,False,False,,1
kosa1249-3-4-1,,kosa1249-3,4,dom-bare,dom-bare,[],(litː ''index finger''),['chan2019'],,False,False,,1
kosa1249-3-5-1,,kosa1249-3,5,lam-bare,lam-bare,[],(litː ''thumb''),['chan2019'],,False,False,,1
kosa1249-3-6-1,,kosa1249-3,6,naˤb-bare,naˤb-bare,[],(litː ''wrist''),['chan2019'],,False,False,,1
kosa1249-3-7-1,,kosa1249-3,7,saek-bare,saek-bare,[],(litː ''lower arm''),['chan2019'],,False,False,,1
kosa1249-3-8-1,,kosa1249-3,8,lin-bare,lin-bare,[],(litː ''elbow''),['chan2019'],,False,False,,1
kosa1249-3-9-1,,kosa1249-3,9,subna-bare,subna-bare,[],(litː ''upper arm''),['chan2019'],,False,False,,1
kosa1249-3-10-1,,kosa1249-3,10,saˤo-bare,saˤo-bare,[],(litː ''shoulder''),['chan2019'],,False,False,,1
kosa1249-3-11-1,,kosa1249-3,11,kwaˤlom-bare,kwaˤlom-bare,[],(litː ''neck''),['chan2019'],,False,False,,1
kosa1249-3-12-1,,kosa1249-3,12,ao-bare,ao-bare,[],(litː ''ear''),['chan2019'],,False,False,,1
kosa1249-3-13-1,,kosa1249-3,13,naual-bare,naual-bare,[],(litː ''side of the upper     skull''),['chan2019'],,False,False,,1
kosa1249-3-14-1,,kosa1249-3,14,meke-bare,meke-bare,[],"(litː ''top of skull, just left     of the middle'')",['chan2019'],,False,False,,1
kosa1249-3-15-1,,kosa1249-3,15,meke-dara-bare,meke-dara-bare,[],"(litː ''top of skull,     just left of the middle'')",['chan2019'],,False,False,,1
kosa1249-3-16-1,,kosa1249-3,16,naual-dara-bare,naual-dara-bare,[],(litː ''side of the     upper skull''),['chan2019'],,False,False,,1
kosa1249-3-17-1,,kosa1249-3,17,ao-dara-bare,ao-dara-bare,[],(litː ''ear''),['chan2019'],,False,False,,1
kosa1249-3-18-1,,kosa1249-3,18,kwaˤlom-dara-bare,kwaˤlom-dara-bare,[],(litː ''neck),['chan2019'],,False,False,,1
kosa1249-3-19-1,,kosa1249-3,19,saˤo-dara-bare,saˤo-dara-bare,[],(litː ''shoulder''),['chan2019'],,False,False,,1
kosa1249-3-20-1,,kosa1249-3,20,subna-dara-bare,subna-dara-bare,[],(litː ''upper arm''),['chan2019'],,False,False,,1
kosa1249-3-21-1,,kosa1249-3,21,lin-dara-bare,lin-dara-bare,[],(litː ''elbow''),['chan2019'],,False,False,,1
kosa1249-3-22-1,,kosa1249-3,22,saek-dara-bare,saek-dara-bare,[],(litː ''lower arm''),['chan2019'],,False,False,,1
kosa1249-3-23-1,,kosa1249-3,23,naˤb-dara-bare,naˤb-dara-bare,[],(litː ''wrist''),['chan2019'],,False,False,,1
kosa1249-3-24-1,,kosa1249-3,24,lam-dara-bare,lam-dara-bare,[],(litː ''thumb''),['chan2019'],,False,False,,1
kosa1249-3-25-1,,kosa1249-3,25,dom-dara-bare,dom-dara-bare,[],(litː ''index finger''),['chan2019'],,False,False,,1
kosa1249-3-26-1,,kosa1249-3,26,wilindi-ba-dara-bare,wilindi-ba-dara-bare,[],(litː ''middle finger''),['chan2019'],,False,False,,1
kosa1249-3-27-1,,kosa1249-3,27,ɸene-dara-bare,ɸene-dara-bare,[],(litː ''ringer finger''),['chan2019'],,False,False,,1
kosa1249-3-28-1,,kosa1249-3,28,selek-dak-nak-la,selek-dak-nak-la,[],(litː ''small finger''),['chan2019'],,False,False,,1
