ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
sina1271-1-1,,sina1271,1,teran,teran,[],,[],,False,Sinasina-Tabare.htm,False,,1
sina1271-2-1,,sina1271,2,su,su,[],,[],,False,Sinasina-Tabare.htm,False,,1
sina1271-3-1,,sina1271,3,suta,suta,[],(litː 'two plus one'),[],,False,Sinasina-Tabare.htm,False,,1
sina1271-4-1,,sina1271,4,susu,susu,[],(litː ' two plus two' ),[],,False,Sinasina-Tabare.htm,False,,1
sina1271-5-1,,sina1271,5,oɡe kole,oɡe kole,[],(lit: my hand part all')  ??,[],,False,Sinasina-Tabare.htm,False,,1
sina1271-6-1,,sina1271,6,oɡe kole teran,oɡe kole teran,[],"(lit: my hand part all, one')",[],,False,Sinasina-Tabare.htm,False,,1
sina1271-7-1,,sina1271,7,oɡe kole su,oɡe kole su,[],,[],,False,Sinasina-Tabare.htm,False,,1
sina1271-8-1,,sina1271,8,oɡe kole suta,oɡe kole suta,[],,[],,False,Sinasina-Tabare.htm,False,,1
sina1271-9-1,,sina1271,9,oɡe kole susu,oɡe kole susu,[],,[],,False,Sinasina-Tabare.htm,False,,1
sina1271-10-1,,sina1271,10,oɡe kole kole,oɡe kole kole,[],(lit: my hand part part all'),[],,False,Sinasina-Tabare.htm,False,,1
sina1271-11-1,,sina1271,11,oɡe kole kole teran,oɡe kole kole teran,[],,[],,False,Sinasina-Tabare.htm,False,,1
sina1271-12-1,,sina1271,12,oɡe kole kole su,oɡe kole kole su,[],,[],,False,Sinasina-Tabare.htm,False,,1
sina1271-13-1,,sina1271,13,oɡe kole kole suta,oɡe kole kole suta,[],,[],,False,Sinasina-Tabare.htm,False,,1
sina1271-14-1,,sina1271,14,oɡe kole kole susu,oɡe kole kole susu,[],,[],,False,Sinasina-Tabare.htm,False,,1
