ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
abun1252-1-1-1,,abun1252-1,1,dik,dik,[],,[],,False,False,,1
abun1252-1-1-2,,abun1252-1,1,dik,dik,[],,[],,False,False,,1
abun1252-1-2-1,,abun1252-1,2,we,we,[],,[],,False,False,,1
abun1252-1-2-2,,abun1252-1,2,weʔ,weʔ,[],,[],,False,False,,1
abun1252-1-3-1,,abun1252-1,3,ɡri,ɡri,[],,[],,False,False,,1
abun1252-1-3-2,,abun1252-1,3,ɡli,ɡli,[],,[],,False,False,,1
abun1252-1-4-1,,abun1252-1,4,at,at,[],,[],,False,False,,1
abun1252-1-4-2,,abun1252-1,4,at,at,[],,[],,False,False,,1
abun1252-1-5-1,,abun1252-1,5,mumek,mumek,[],,[],,False,False,,1
abun1252-1-5-2,,abun1252-1,5,momek,momek,[],,[],,False,False,,1
abun1252-1-6-1,,abun1252-1,6,mumat,mumat,[],,[],,False,False,,1
abun1252-1-6-2,,abun1252-1,6,mau ke'mat,mau ke'mat,[],,[],,False,False,,1
abun1252-1-7-1,,abun1252-1,7,mofit,mofit,[],,[],,False,False,,1
abun1252-1-7-2,,abun1252-1,7,mau pit,mau pit,[],,[],,False,False,,1
abun1252-1-8-1,,abun1252-1,8,muŋɡwo,muŋɡwo,[],,[],,False,False,,1
abun1252-1-8-2,,abun1252-1,8,mau sombo,mau sombo,[],,[],,False,False,,1
abun1252-1-9-1,,abun1252-1,9,musi,musi,[],,[],,False,False,,1
abun1252-1-9-2,,abun1252-1,9,mau si,mau si,[],,[],,False,False,,1
abun1252-1-10-1,,abun1252-1,10,musɡu dik,musɡu dik,[],,[],,False,False,,1
abun1252-1-10-2,,abun1252-1,10,mau syu,mau syu,[],,[],,False,False,,1
abun1252-1-11-1,,abun1252-1,11,musɡu dik sop dik,musɡu dik sop dik,[],,[],,False,False,,1
abun1252-1-12-1,,abun1252-1,12,musɡu dik sop we,musɡu dik sop we,[],,[],,False,False,,1
abun1252-1-13-1,,abun1252-1,13,musɡu dik sop ɡri,musɡu dik sop ɡri,[],,[],,False,False,,1
abun1252-1-14-1,,abun1252-1,14,musɡu dik sop at,musɡu dik sop at,[],,[],,False,False,,1
abun1252-1-15-1,,abun1252-1,15,musɡu dik sop mumek,musɡu dik sop mumek,[],,[],,False,False,,1
abun1252-1-16-1,,abun1252-1,16,musɡu dik sop mumat,musɡu dik sop mumat,[],,[],,False,False,,1
abun1252-1-17-1,,abun1252-1,17,musɡu dik sop mofit,musɡu dik sop mofit,[],,[],,False,False,,1
abun1252-1-18-1,,abun1252-1,18,musɡu dik sop muŋɡwo,musɡu dik sop muŋɡwo,[],,[],,False,False,,1
abun1252-1-19-1,,abun1252-1,19,musɡu dik sop musi,musɡu dik sop musi,[],,[],,False,False,,1
abun1252-1-20-1,,abun1252-1,20,musɡu we,musɡu we,[],,[],,False,False,,1
abun1252-1-21-1,,abun1252-1,21,musɡu we sop dik,musɡu we sop dik,[],,[],,False,False,,1
abun1252-1-22-1,,abun1252-1,22,musɡu we sop we,musɡu we sop we,[],,[],,False,False,,1
abun1252-1-23-1,,abun1252-1,23,musɡu we sop ɡri,musɡu we sop ɡri,[],,[],,False,False,,1
abun1252-1-24-1,,abun1252-1,24,musɡu we sop at,musɡu we sop at,[],,[],,False,False,,1
abun1252-1-25-1,,abun1252-1,25,musɡu we sop mumek,musɡu we sop mumek,[],,[],,False,False,,1
abun1252-1-26-1,,abun1252-1,26,musɡu we sop mumat,musɡu we sop mumat,[],,[],,False,False,,1
abun1252-1-27-1,,abun1252-1,27,musɡu we sop mofit,musɡu we sop mofit,[],,[],,False,False,,1
abun1252-1-28-1,,abun1252-1,28,musɡu we sop muŋɡwo,musɡu we sop muŋɡwo,[],,[],,False,False,,1
abun1252-1-29-1,,abun1252-1,29,musɡu we sop musi,musɡu we sop musi,[],,[],,False,False,,1
abun1252-1-30-1,,abun1252-1,30,musɡu ɡri,musɡu ɡri,[],,[],,False,False,,1
abun1252-1-40-1,,abun1252-1,40,musɡu at,musɡu at,[],,[],,False,False,,1
abun1252-1-50-1,,abun1252-1,50,musɡu mumek,musɡu mumek,[],,[],,False,False,,1
abun1252-1-60-1,,abun1252-1,60,musɡu mumat,musɡu mumat,[],,[],,False,False,,1
abun1252-1-70-1,,abun1252-1,70,musɡu mofit,musɡu mofit,[],,[],,False,False,,1
abun1252-1-80-1,,abun1252-1,80,musɡu muŋɡwo,musɡu muŋɡwo,[],,[],,False,False,,1
abun1252-1-90-1,,abun1252-1,90,musɡu musi,musɡu musi,[],,[],,False,False,,1
abun1252-1-100-1,,abun1252-1,100,musɡu musɡu,musɡu musɡu,[],,[],,False,False,,1
abun1252-1-100-2,,abun1252-1,100,wotin dik,wotin dik,[],,[],,False,False,,1
abun1252-1-200-1,,abun1252-1,200,wotin we,wotin we,[],(wotin from Austronesian ),[],,False,False,,1
abun1252-1-1000-1,,abun1252-1,1000,ribu dik,ribu dik,[],,[],,False,False,,1
abun1252-1-1000-2,,abun1252-1,1000,calon dik,calon dik,[],,[],,False,False,,1
abun1252-1-2000-1,,abun1252-1,2000,ribu we,ribu we,[],,[],,False,False,,1
abun1252-1-2000-2,,abun1252-1,2000,calon we,calon we,[],,[],,False,False,,1
