ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
amar1274-1-1,,amar1274,1,'nɔŋtʃiⁿda,'nɔŋtʃiⁿda,[],,[],,False,Amarakaeri.html,False,,1
amar1274-1-2,,amar1274,1,noɡtɪda,noɡtɪda,[],,[],,False,Amarakaeri.html,False,,2
amar1274-2-1,,amar1274,2,'ᵐbɔttaʔ,'ᵐbɔttaʔ,[],,[],,False,Amarakaeri.html,False,,1
amar1274-2-2,,amar1274,2,botɬaʔ,botɬaʔ,[],,[],,False,Amarakaeri.html,False,,2
amar1274-3-1,,amar1274,3,'ᵐbapaʔ,'ᵐbapaʔ,[],,[],,False,Amarakaeri.html,False,,1
amar1274-3-2,,amar1274,3,bapaʔ,bapaʔ,[],,[],,False,Amarakaeri.html,False,,2
amar1274-4-1,,amar1274,4,'ᵐbɔttaʔ 'ᵐbɔttaʔ,'ᵐbɔttaʔ 'ᵐbɔttaʔ,[],( 2 + 2 ),[],,False,Amarakaeri.html,False,,1
amar1274-4-2,,amar1274,4,botɬaʔ botɬaʔ,botɬaʔ botɬaʔ,[],( 2 + 2 ),[],,False,Amarakaeri.html,False,,2
amar1274-5-1,,amar1274,5,wa'ᵐbaʔneŋ,wa'ᵐbaʔneŋ,[],,[],,False,Amarakaeri.html,False,,1
amar1274-5-2,,amar1274,5,huabaniɡʔa,huabaniɡʔa,[],( litː ''hand like'' ),[],,False,Amarakaeri.html,False,,2
amar1274-5-3,,amar1274,5,huakkaʔ,huakkaʔ,[],( litː ''many'' ),[],,False,Amarakaeri.html,False,,2
amar1274-6-1,,amar1274,6,'nɔŋᵐbajɔ eʔ'aɪwa,'nɔŋᵐbajɔ eʔ'aɪwa,[],,[],,False,Amarakaeri.html,False,,1
amar1274-7-1,,amar1274,7,'nɔŋᵐbajɔ 'ᵐbɔttaʔ 'ᵐbapih eʔ'aɪwa,'nɔŋᵐbajɔ 'ᵐbɔttaʔ 'ᵐbapih eʔ'aɪwa,[],,[],,False,Amarakaeri.html,False,,1
amar1274-8-1,,amar1274,8,'nɔŋᵐbajɔ 'ᵐbapaʔ 'ᵐbapih eʔ'aɪwa,'nɔŋᵐbajɔ 'ᵐbapaʔ 'ᵐbapih eʔ'aɪwa,[],,[],,False,Amarakaeri.html,False,,1
