ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
boro1277-1-1-1,,boro1277-1,1,íka,íka,[],,[],,False,False,,1
boro1277-1-2-1,,boro1277-1,2,ɡitá,ɡitá,[],,[],,False,False,,1
boro1277-1-3-1,,boro1277-1,3,kééza,kééza,[],,[],,False,False,,1
boro1277-1-4-1,,boro1277-1,4,áwəddá,áwəddá,[],,[],,False,False,,1
boro1277-1-5-1,,boro1277-1,5,utsá,utsá,[],,[],,False,False,,1
boro1277-1-6-1,,boro1277-1,6,ʃərə́ta,ʃərə́ta,[],,[],,False,False,,1
boro1277-1-7-1,,boro1277-1,7,ʃawáta,ʃawáta,[],,[],,False,False,,1
boro1277-1-8-1,,boro1277-1,8,ʃəmə́ta,ʃəmə́ta,[],,[],,False,False,,1
boro1277-1-9-1,,boro1277-1,9,dʒeɗija,dʒeɗija,[],,[],,False,False,,1
boro1277-1-10-1,,boro1277-1,10,tátsa,tátsa,[],,[],,False,False,,1
boro1277-1-11-1,,boro1277-1,11,tátsa íka,tátsa íka,[],,[],,False,False,,1
boro1277-1-12-1,,boro1277-1,12,tátsa ɡitá,tátsa ɡitá,[],,[],,False,False,,1
boro1277-1-13-1,,boro1277-1,13,tátsa kééza,tátsa kééza,[],,[],,False,False,,1
boro1277-1-14-1,,boro1277-1,14,tátsa áwəddá,tátsa áwəddá,[],,[],,False,False,,1
boro1277-1-15-1,,boro1277-1,15,tátsa utsá,tátsa utsá,[],,[],,False,False,,1
boro1277-1-16-1,,boro1277-1,16,tátsa ʃərə́ta,tátsa ʃərə́ta,[],,[],,False,False,,1
boro1277-1-17-1,,boro1277-1,17,tátsa ʃawáta,tátsa ʃawáta,[],,[],,False,False,,1
boro1277-1-18-1,,boro1277-1,18,tátsa ʃəmə́ta,tátsa ʃəmə́ta,[],,[],,False,False,,1
boro1277-1-19-1,,boro1277-1,19,tátsa dʒeɗija,tátsa dʒeɗija,[],,[],,False,False,,1
boro1277-1-20-1,,boro1277-1,20,hijá,hijá,[],,[],,False,False,,1
boro1277-1-21-1,,boro1277-1,21,hijá íka,hijá íka,[],,[],,False,False,,1
boro1277-1-22-1,,boro1277-1,22,hijá ɡitá,hijá ɡitá,[],,[],,False,False,,1
boro1277-1-23-1,,boro1277-1,23,hijá kééza,hijá kééza,[],,[],,False,False,,1
boro1277-1-24-1,,boro1277-1,24,hijá áwəddá,hijá áwəddá,[],,[],,False,False,,1
boro1277-1-25-1,,boro1277-1,25,hijá utsá,hijá utsá,[],,[],,False,False,,1
boro1277-1-26-1,,boro1277-1,26,hijá ʃərə́ta,hijá ʃərə́ta,[],,[],,False,False,,1
boro1277-1-27-1,,boro1277-1,27,hijá ʃawáta,hijá ʃawáta,[],,[],,False,False,,1
boro1277-1-28-1,,boro1277-1,28,hijá ʃəmə́ta,hijá ʃəmə́ta,[],,[],,False,False,,1
boro1277-1-29-1,,boro1277-1,29,hijá dʒeɗija,hijá dʒeɗija,[],,[],,False,False,,1
boro1277-1-30-1,,boro1277-1,30,ʃaaʃá,ʃaaʃá,[],,[],,False,False,,1
boro1277-1-40-1,,boro1277-1,40,habá,habá,[],,[],,False,False,,1
boro1277-1-50-1,,boro1277-1,50,baləkʼátsa,baləkʼátsa,[],( 'half hundred' ),[],,False,False,,1
boro1277-1-60-1,,boro1277-1,60,dʒa támá,dʒa támá,[],,[],,False,False,,1
boro1277-1-60-2,,boro1277-1,60,baləkʼátsa-tátsa,baləkʼátsa-tátsa,[],(1/100+10),[],,False,False,,1
boro1277-1-70-1,,boro1277-1,70,torba támá,torba támá,[],,[],,False,False,,1
boro1277-1-70-2,,boro1277-1,70,baləkʼátsa-hijá,baləkʼátsa-hijá,[],,[],,False,False,,1
boro1277-1-80-1,,boro1277-1,80,sadeːt támá,sadeːt támá,[],,[],,False,False,,1
boro1277-1-80-2,,boro1277-1,80,baləkʼátsa-ʃaaʃá,baləkʼátsa-ʃaaʃá,[],,[],,False,False,,1
boro1277-1-90-1,,boro1277-1,90,sáɡal támá,sáɡal támá,[],,[],,False,False,,1
boro1277-1-90-2,,boro1277-1,90,baləkʼátsa-habá,baləkʼátsa-habá,[],,[],,False,False,,1
boro1277-1-100-1,,boro1277-1,100,bala,bala,[],,[],,False,False,,1
boro1277-1-200-1,,boro1277-1,200,ɡitú ɡála,ɡitú ɡála,[],,[],,False,False,,1
boro1277-1-1000-1,,boro1277-1,1000,kúmá,kúmá,[],,[],,False,False,,1
boro1277-1-1000-2,,boro1277-1,1000,íka-kumá,íka-kumá,[],,[],,False,False,,1
