ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
koyr1242-1-1-1,,koyr1242-1,1,affoo,affoo,[],,['chan2019'],,False,False,,1
koyr1242-1-2-1,,koyr1242-1,2,ihinka,ihinka,[],,['chan2019'],,False,False,,1
koyr1242-1-3-1,,koyr1242-1,3,ihinza,ihinza,[],,['chan2019'],,False,False,,1
koyr1242-1-4-1,,koyr1242-1,4,itaatʃi,itaatʃi,[],,['chan2019'],,False,False,,1
koyr1242-1-5-1,,koyr1242-1,5,iɡɡuu,iɡɡuu,[],,['chan2019'],,False,False,,1
koyr1242-1-6-1,,koyr1242-1,6,idduu,idduu,[],,['chan2019'],,False,False,,1
koyr1242-1-7-1,,koyr1242-1,7,iyye,iyye,[],,['chan2019'],,False,False,,1
koyr1242-1-8-1,,koyr1242-1,8,iyaaha,iyaaha,[],,['chan2019'],,False,False,,1
koyr1242-1-9-1,,koyr1242-1,9,iyaɡɡa,iyaɡɡa,[],,['chan2019'],,False,False,,1
koyr1242-1-10-1,,koyr1242-1,10,iwoy,iwoy,[],,['chan2019'],,False,False,,1
koyr1242-1-11-1,,koyr1242-1,11,iwoy tʃindi foo,iwoy tʃindi foo,[],,['chan2019'],,False,False,,1
koyr1242-1-12-1,,koyr1242-1,12,iwoy tʃindi hinka,iwoy tʃindi hinka,[],,['chan2019'],,False,False,,1
koyr1242-1-13-1,,koyr1242-1,13,iwoy tʃindi hinza,iwoy tʃindi hinza,[],,['chan2019'],,False,False,,1
koyr1242-1-14-1,,koyr1242-1,14,iwoy tʃindi taatʃi,iwoy tʃindi taatʃi,[],,['chan2019'],,False,False,,1
koyr1242-1-15-1,,koyr1242-1,15,iwoy tʃindi ɡuu,iwoy tʃindi ɡuu,[],,['chan2019'],,False,False,,1
koyr1242-1-16-1,,koyr1242-1,16,iwoy tʃindi duu,iwoy tʃindi duu,[],,['chan2019'],,False,False,,1
koyr1242-1-17-1,,koyr1242-1,17,iwoy tʃindi iyye,iwoy tʃindi iyye,[],,['chan2019'],,False,False,,1
koyr1242-1-18-1,,koyr1242-1,18,iwoy tʃindi yaaha,iwoy tʃindi yaaha,[],,['chan2019'],,False,False,,1
koyr1242-1-19-1,,koyr1242-1,19,iwoy tʃindi yaɡɡa,iwoy tʃindi yaɡɡa,[],,['chan2019'],,False,False,,1
koyr1242-1-20-1,,koyr1242-1,20,waranka,waranka,[],,['chan2019'],,False,False,,1
koyr1242-1-21-1,,koyr1242-1,21,waranka tʃindi foo,waranka tʃindi foo,[],,['chan2019'],,False,False,,1
koyr1242-1-22-1,,koyr1242-1,22,waranka tʃindi hinka,waranka tʃindi hinka,[],,['chan2019'],,False,False,,1
koyr1242-1-23-1,,koyr1242-1,23,waranka tʃindi hinza,waranka tʃindi hinza,[],,['chan2019'],,False,False,,1
koyr1242-1-24-1,,koyr1242-1,24,waranka tʃindi taatʃi,waranka tʃindi taatʃi,[],,['chan2019'],,False,False,,1
koyr1242-1-25-1,,koyr1242-1,25,waranka tʃindi ɡuu,waranka tʃindi ɡuu,[],,['chan2019'],,False,False,,1
koyr1242-1-26-1,,koyr1242-1,26,waranka tʃindi duu,waranka tʃindi duu,[],,['chan2019'],,False,False,,1
koyr1242-1-27-1,,koyr1242-1,27,waranka tʃindi iyye,waranka tʃindi iyye,[],,['chan2019'],,False,False,,1
koyr1242-1-28-1,,koyr1242-1,28,waranka tʃindi yaaha,waranka tʃindi yaaha,[],,['chan2019'],,False,False,,1
koyr1242-1-29-1,,koyr1242-1,29,waranka tʃindi yaɡɡa,waranka tʃindi yaɡɡa,[],,['chan2019'],,False,False,,1
koyr1242-1-30-1,,koyr1242-1,30,waranza,waranza,[],,['chan2019'],,False,False,,1
koyr1242-1-40-1,,koyr1242-1,40,woytaatʃi,woytaatʃi,[],,['chan2019'],,False,False,,1
koyr1242-1-50-1,,koyr1242-1,50,woyɡu,woyɡu,[],,['chan2019'],,False,False,,1
koyr1242-1-60-1,,koyr1242-1,60,woydu,woydu,[],,['chan2019'],,False,False,,1
koyr1242-1-70-1,,koyr1242-1,70,woyye,woyye,[],,['chan2019'],,False,False,,1
koyr1242-1-80-1,,koyr1242-1,80,woyyaaha,woyyaaha,[],,['chan2019'],,False,False,,1
koyr1242-1-90-1,,koyr1242-1,90,woyyaɡɡa,woyyaɡɡa,[],,['chan2019'],,False,False,,1
koyr1242-1-100-1,,koyr1242-1,100,zaŋɡu,zaŋɡu,[],,['chan2019'],,False,False,,1
koyr1242-1-200-1,,koyr1242-1,200,zaŋɡu hinka,zaŋɡu hinka,[],,['chan2019'],,False,False,,1
koyr1242-1-1000-1,,koyr1242-1,1000,zember,zember,[],,['chan2019'],,False,False,,1
koyr1242-1-2000-1,,koyr1242-1,2000,zember hinka,zember hinka,[],,['chan2019'],,False,False,,1
