ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kuii1253-1-1-1,,kuii1253-1,1,nuku,nuku,[],,['chan2019'],,False,False,,1
kuii1253-1-2-1,,kuii1253-1,2,oruku,oruku,[],,['chan2019'],,False,False,,1
kuii1253-1-3-1,,kuii1253-1,3,siwa,siwa,[],,['chan2019'],,False,False,,1
kuii1253-1-4-1,,kuii1253-1,4,usa,usa,[],,['chan2019'],,False,False,,1
kuii1253-1-5-1,,kuii1253-1,5,jesan,jesan,[],,['chan2019'],,False,False,,1
kuii1253-1-6-1,,kuii1253-1,6,talama,talama,[],,['chan2019'],,False,False,,1
kuii1253-1-7-1,,kuii1253-1,7,jesaroku,jesaroku,[],('seven three'),['chan2019'],,False,False,,1
kuii1253-1-8-1,,kuii1253-1,8,tadusa,tadusa,[],( < 10 minus 2 ),['chan2019'],,False,False,,1
kuii1253-1-9-1,,kuii1253-1,9,jesanusa,jesanusa,[],( < 10 minus 1 ),['chan2019'],,False,False,,1
kuii1253-1-10-1,,kuii1253-1,10,kar nuku,kar nuku,[],,['chan2019'],,False,False,,1
kuii1253-1-11-1,,kuii1253-1,11,kar nuku awa nuku,kar nuku awa nuku,[],,['chan2019'],,False,False,,1
kuii1253-1-12-1,,kuii1253-1,12,kar nuku awa oruku,kar nuku awa oruku,[],,['chan2019'],,False,False,,1
kuii1253-1-13-1,,kuii1253-1,13,kar nuku awa siwa,kar nuku awa siwa,[],,['chan2019'],,False,False,,1
kuii1253-1-14-1,,kuii1253-1,14,kar nuku awa usa,kar nuku awa usa,[],,['chan2019'],,False,False,,1
kuii1253-1-15-1,,kuii1253-1,15,kar nuku awa jesan,kar nuku awa jesan,[],,['chan2019'],,False,False,,1
kuii1253-1-16-1,,kuii1253-1,16,kar nuku awa talama,kar nuku awa talama,[],,['chan2019'],,False,False,,1
kuii1253-1-17-1,,kuii1253-1,17,kar nuku awa jesaroku,kar nuku awa jesaroku,[],,['chan2019'],,False,False,,1
kuii1253-1-18-1,,kuii1253-1,18,kar nuku awa tadusa,kar nuku awa tadusa,[],,['chan2019'],,False,False,,1
kuii1253-1-19-1,,kuii1253-1,19,kar nuku awa jesanusa,kar nuku awa jesanusa,[],,['chan2019'],,False,False,,1
kuii1253-1-20-1,,kuii1253-1,20,kar oruku,kar oruku,[],,['chan2019'],,False,False,,1
kuii1253-1-21-1,,kuii1253-1,21,kar oruku awa nuku,kar oruku awa nuku,[],,['chan2019'],,False,False,,1
kuii1253-1-22-1,,kuii1253-1,22,kar oruku awa oruku,kar oruku awa oruku,[],,['chan2019'],,False,False,,1
kuii1253-1-23-1,,kuii1253-1,23,kar oruku awa siwa,kar oruku awa siwa,[],,['chan2019'],,False,False,,1
kuii1253-1-24-1,,kuii1253-1,24,kar oruku awa usa,kar oruku awa usa,[],,['chan2019'],,False,False,,1
kuii1253-1-25-1,,kuii1253-1,25,kar oruku awa jesan,kar oruku awa jesan,[],,['chan2019'],,False,False,,1
kuii1253-1-26-1,,kuii1253-1,26,kar oruku awa talama,kar oruku awa talama,[],,['chan2019'],,False,False,,1
kuii1253-1-27-1,,kuii1253-1,27,kar oruku awa jesaroku,kar oruku awa jesaroku,[],,['chan2019'],,False,False,,1
kuii1253-1-28-1,,kuii1253-1,28,kar oruku awa tadusa,kar oruku awa tadusa,[],,['chan2019'],,False,False,,1
kuii1253-1-29-1,,kuii1253-1,29,kar oruku awa jesanusa,kar oruku awa jesanusa,[],,['chan2019'],,False,False,,1
kuii1253-1-30-1,,kuii1253-1,30,kar siwa,kar siwa,[],,['chan2019'],,False,False,,1
kuii1253-1-40-1,,kuii1253-1,40,kar usa,kar usa,[],,['chan2019'],,False,False,,1
kuii1253-1-50-1,,kuii1253-1,50,kar jesan,kar jesan,[],,['chan2019'],,False,False,,1
kuii1253-1-60-1,,kuii1253-1,60,kar talama,kar talama,[],,['chan2019'],,False,False,,1
kuii1253-1-70-1,,kuii1253-1,70,kar jesaroku,kar jesaroku,[],,['chan2019'],,False,False,,1
kuii1253-1-80-1,,kuii1253-1,80,kar tadusa,kar tadusa,[],,['chan2019'],,False,False,,1
kuii1253-1-90-1,,kuii1253-1,90,kar jesanusa,kar jesanusa,[],,['chan2019'],,False,False,,1
kuii1253-1-100-1,,kuii1253-1,100,asaɡa,asaɡa,[],,['chan2019'],,False,False,,1
kuii1253-1-200-1,,kuii1253-1,200,asaɡa oruku,asaɡa oruku,[],,['chan2019'],,False,False,,1
kuii1253-1-1000-1,,kuii1253-1,1000,rab nuku,rab nuku,[],,['chan2019'],,False,False,,1
kuii1253-1-2000-1,,kuii1253-1,2000,rab oruku,rab oruku,[],,['chan2019'],,False,False,,1
