ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kwam1249-2-1-1,,kwam1249-2,1,sɛ́ɛ́kʼín,sɛ́ɛ́kʼín,[],,[],,False,False,,2
kwam1249-2-2-1,,kwam1249-2,2,swíjá,swíjá,[],,[],,False,False,,2
kwam1249-2-3-1,,kwam1249-2,3,twàsɛ́n,twàsɛ́n,[],,[],,False,False,,2
kwam1249-2-4-1,,kwam1249-2,4,béésʼín,béésʼín,[],,[],,False,False,,2
kwam1249-2-5-1,,kwam1249-2,5,kómòtʼ,kómòtʼ,[],,[],,False,False,,2
kwam1249-2-6-1,,kwam1249-2,6,kúpà-sɛ́n,kúpà-sɛ́n,[],( litː ? + 1),[],,False,False,,2
kwam1249-2-7-1,,kwam1249-2,7,kúpà-swíjá,kúpà-swíjá,[],( litː ? + 2),[],,False,False,,2
kwam1249-2-8-1,,kwam1249-2,8,kúpà-twàsɛ̄n,kúpà-twàsɛ̄n,[],( litː ? + 3),[],,False,False,,2
kwam1249-2-9-1,,kwam1249-2,9,kúpà-béésʼín,kúpà-béésʼín,[],( litː ? + 4),[],,False,False,,2
kwam1249-2-10-1,,kwam1249-2,10,kʼoosʼi,kʼoosʼi,[],,[],,False,False,,2
kwam1249-2-11-1,,kwam1249-2,11,kóózìòt-ɛ̀-sɛ̄n,kóózìòt-ɛ̀-sɛ̄n,[],,[],,False,False,,2
kwam1249-2-12-1,,kwam1249-2,12,kóózìòt-ɛ̀-swíjá,kóózìòt-ɛ̀-swíjá,[],,[],,False,False,,2
kwam1249-2-13-1,,kwam1249-2,13,kóózìòt-ɛ̀-twàsɛ́n,kóózìòt-ɛ̀-twàsɛ́n,[],,[],,False,False,,2
kwam1249-2-14-1,,kwam1249-2,14,kóózìòt-ɛ̀- mʊbisiːna,kóózìòt-ɛ̀- mʊbisiːna,[],,[],,False,False,,2
kwam1249-2-15-1,,kwam1249-2,15,kóózìòt-ɛ̀-béésʼín,kóózìòt-ɛ̀-béésʼín,[],,[],,False,False,,2
kwam1249-2-16-1,,kwam1249-2,16,kóózìòt-ɛ̀-kúpà-sɛ́n,kóózìòt-ɛ̀-kúpà-sɛ́n,[],,[],,False,False,,2
kwam1249-2-17-1,,kwam1249-2,17,kóózìòt-ɛ̀-kúpà-swíjá,kóózìòt-ɛ̀-kúpà-swíjá,[],,[],,False,False,,2
kwam1249-2-18-1,,kwam1249-2,18,kóózìòt-ɛ̀-kúpà-twàsɛ̄n,kóózìòt-ɛ̀-kúpà-twàsɛ̄n,[],,[],,False,False,,2
kwam1249-2-19-1,,kwam1249-2,19,kóózìòt-ɛ̀-kúpà-béésʼín,kóózìòt-ɛ̀-kúpà-béésʼín,[],,[],,False,False,,2
kwam1249-2-20-1,,kwam1249-2,20,jísɛ́-sɛ́nɛ́,jísɛ́-sɛ́nɛ́,[],,[],,False,False,,2
kwam1249-2-100-1,,kwam1249-2,100,sʼísʼít kòmòt,sʼísʼít kòmòt,[],,[],,False,False,,2
