ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kwes1245-1-1-1,,kwes1245-1,1,áfàtàn,áfàtàn,[],,[],,False,False,,1
kwes1245-1-1-2,,kwes1245-1,1,afateni,afateni,[],,[],,False,False,,1
kwes1245-1-2-1,,kwes1245-1,2,náwá,náwá,[],,[],,False,False,,1
kwes1245-1-3-1,,kwes1245-1,3,náwā-jengki,náwā-jengki,[],,[],,False,False,,1
kwes1245-1-3-2,,kwes1245-1,3,nojenki,nojenki,[],,[],,False,False,,1
kwes1245-1-4-1,,kwes1245-1,4,náwá-náwá,náwá-náwá,[],,[],,False,False,,1
kwes1245-1-5-1,,kwes1245-1,5,náwá-náwá-jengki,náwá-náwá-jengki,[],,[],,False,False,,1
kwes1245-1-5-2,,kwes1245-1,5,fasbir,fasbir,[],,[],,False,False,,1
kwes1245-1-6-1,,kwes1245-1,6,fasbir-èfriwi-áfàtàn,fasbir-èfriwi-áfàtàn,[],,[],,False,False,,1
kwes1245-1-7-1,,kwes1245-1,7,fasbir-èfriwi-náwá,fasbir-èfriwi-náwá,[],,[],,False,False,,1
kwes1245-1-8-1,,kwes1245-1,8,fasbir-èfriwi-nojenki,fasbir-èfriwi-nojenki,[],,[],,False,False,,1
kwes1245-1-9-1,,kwes1245-1,9,fasbir-èfriwi-náwá-náwá,fasbir-èfriwi-náwá-náwá,[],,[],,False,False,,1
kwes1245-1-10-1,,kwes1245-1,10,dónsòrò-áfàtàn,dónsòrò-áfàtàn,[],,[],,False,False,,1
