ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
luop1235-1-1,,luop1235,1,i33,i33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-1-2,,luop1235,1,i55,i55,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-2-1,,luop1235,2,a33,a33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-2-2,,luop1235,2,u31,u31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-3-1,,luop1235,3,tsɪ31,tsɪ31,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-3-2,,luop1235,3,pzɿ31,pzɿ31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-4-1,,luop1235,4,plu33,plu33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-4-2,,luop1235,4,pləu31,pləu31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-5-1,,luop1235,5,tsia33,tsia33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-5-2,,luop1235,5,pja31,pja31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-6-1,,luop1235,6,tɕu55,tɕu55,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-6-2,,luop1235,6,ʈo24,ʈo24,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-7-1,,luop1235,7,saŋ31,saŋ31,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-7-2,,luop1235,7,zuŋ24,zuŋ24,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-8-1,,luop1235,8,ʑa13,ʑa13,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-8-2,,luop1235,8,ja33,ja33,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-9-1,,luop1235,9,tɕa24,tɕa24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-9-2,,luop1235,9,ja31,ja31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-10-1,,luop1235,10,ku13,ku13,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-10-2,,luop1235,10,ʁo31,ʁo31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-11-1,,luop1235,11,ku13 i33,ku13 i33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-11-2,,luop1235,11,ʁo31 i55,ʁo31 i55,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-12-1,,luop1235,12,ku13 a33,ku13 a33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-12-2,,luop1235,12,ʁo31 u31,ʁo31 u31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-13-1,,luop1235,13,ku13 tsɪ31,ku13 tsɪ31,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-13-2,,luop1235,13,ʁo31 pzɿ31,ʁo31 pzɿ31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-14-1,,luop1235,14,ku13 plu33,ku13 plu33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-14-2,,luop1235,14,ʁo31 pləu31,ʁo31 pləu31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-15-1,,luop1235,15,ku13 tsia33,ku13 tsia33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-15-2,,luop1235,15,ʁo31 pja31,ʁo31 pja31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-16-1,,luop1235,16,ku13 ʈo24,ku13 ʈo24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-16-2,,luop1235,16,ʁo31 ʈo24,ʁo31 ʈo24,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-17-1,,luop1235,17,ku13 saŋ31,ku13 saŋ31,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-17-2,,luop1235,17,ʁo31 zuŋ24,ʁo31 zuŋ24,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-19-1,,luop1235,19,ku13 tɕa24,ku13 tɕa24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-19-2,,luop1235,19,ʁo31 ja31,ʁo31 ja31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-20-1,,luop1235,20,ȵaŋ13ŋku13,ȵaŋ13ŋku13,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-20-2,,luop1235,20,u31jo33,u31jo33,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-21-1,,luop1235,21,ȵaŋ13ŋku13 i33,ȵaŋ13ŋku13 i33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-21-2,,luop1235,21,u31 jo33 i55,u31 jo33 i55,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-22-1,,luop1235,22,ȵaŋ13ŋku13 a33,ȵaŋ13ŋku13 a33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-22-2,,luop1235,22,u31 jo33 u31,u31 jo33 u31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-23-1,,luop1235,23,ȵaŋ13ŋku13 tsɪ31,ȵaŋ13ŋku13 tsɪ31,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-23-2,,luop1235,23,u31 jo33 pzɿ31,u31 jo33 pzɿ31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-24-1,,luop1235,24,ȵaŋ13ŋku13 plu33,ȵaŋ13ŋku13 plu33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-24-2,,luop1235,24,u31 jo33 pləu31,u31 jo33 pləu31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-25-1,,luop1235,25,ȵaŋ13ŋku13 tsia33,ȵaŋ13ŋku13 tsia33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-25-2,,luop1235,25,u31 jo33 pja31,u31 jo33 pja31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-26-1,,luop1235,26,ȵaŋ13ŋku13 ʈo24,ȵaŋ13ŋku13 ʈo24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-26-2,,luop1235,26,u31 jo33 ʈo24,u31 jo33 ʈo24,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-27-1,,luop1235,27,ȵaŋ13ŋku13 saŋ31,ȵaŋ13ŋku13 saŋ31,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-27-2,,luop1235,27,u31 jo33 zuŋ24,u31 jo33 zuŋ24,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-28-1,,luop1235,28,ȵaŋ13ŋku13 ʑa13,ȵaŋ13ŋku13 ʑa13,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-28-2,,luop1235,28,u31 jo33 ja33,u31 jo33 ja33,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-29-1,,luop1235,29,ȵaŋ13ŋku13 tɕa24,ȵaŋ13ŋku13 tɕa24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-29-2,,luop1235,29,u31 jo33 ja31,u31 jo33 ja31,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-30-1,,luop1235,30,tsɪ31 tɕəu24,tsɪ31 tɕəu24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-30-2,,luop1235,30,pzɿ31 jo33,pzɿ31 jo33,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-40-1,,luop1235,40,plu33 tɕəu24,plu33 tɕəu24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-40-2,,luop1235,40,pləu31 jo33,pləu31 jo33,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-50-1,,luop1235,50,tsia33 tɕəu24,tsia33 tɕəu24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-50-2,,luop1235,50,pja31 jo33,pja31 jo33,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-60-1,,luop1235,60,ʈo24 tɕəu24,ʈo24 tɕəu24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-60-2,,luop1235,60,ʈo24 jo33,ʈo24 jo33,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-70-1,,luop1235,70,saŋ31 tɕəu24,saŋ31 tɕəu24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-70-2,,luop1235,70,zuŋ24 jo33,zuŋ24 jo33,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-80-1,,luop1235,80,ʑa13 tɕəu24,ʑa13 tɕəu24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-80-2,,luop1235,80,ja33 jo33,ja33 jo33,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-90-1,,luop1235,90,tɕa24 tɕəu24,tɕa24 tɕəu24,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-90-2,,luop1235,90,ja31 jo33,ja31 jo33,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-100-1,,luop1235,100,i33pa55,i33pa55,[],< Chinese ,[],,True,Miao-Changanjiang.htm,False,,1
luop1235-100-2,,luop1235,100,i55pzɿ24,i55pzɿ24,[],< Chinese ,[],,True,Miao-Luopohe.htm,False,,1
luop1235-200-1,,luop1235,200,a33 pa55,a33 pa55,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-200-2,,luop1235,200,u31 pzɿ24,u31 pzɿ24,[],,[],,False,Miao-Luopohe.htm,False,,1
luop1235-1000-1,,luop1235,1000,i33 ɕen33,i33 ɕen33,[],< Chinese ,[],,True,Miao-Changanjiang.htm,False,,1
luop1235-1000-2,,luop1235,1000,i55 tsʰɛn31,i55 tsʰɛn31,[],< Chinese ,[],,True,Miao-Luopohe.htm,False,,1
luop1235-2000-1,,luop1235,2000,a33 ɕen33,a33 ɕen33,[],,[],,False,Miao-Changanjiang.htm,False,,1
luop1235-2000-2,,luop1235,2000,u31 tsʰɛn31,u31 tsʰɛn31,[],,[],,False,Miao-Luopohe.htm,False,,1
