ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
mora1239-1-1-1,,mora1239-1,1,mere,mere,[],,[],,False,False,,1
mora1239-1-2-1,,mora1239-1,2,əla,əla,[],,[],,False,False,,1
mora1239-1-3-1,,mora1239-1,3,telo,telo,[],,[],,False,False,,1
mora1239-1-4-1,,mora1239-1,4,haʔ,haʔ,[],,[],,False,False,,1
mora1239-1-5-1,,mora1239-1,5,maʔhaʔ,maʔhaʔ,[],,[],,False,False,,1
mora1239-1-6-1,,mora1239-1,6,mtameɾi,mtameɾi,[],( 5 + 1 ?),[],,False,False,,1
mora1239-1-7-1,,mora1239-1,7,mtalo,mtalo,[],( 5 + 2 ?),[],,False,False,,1
mora1239-1-8-1,,mora1239-1,8,mtatuluk,mtatuluk,[],( 5 + 3 ?),[],,False,False,,1
mora1239-1-9-1,,mora1239-1,9,mtanaha,mtanaha,[],( 5 + 4 ?),[],,False,False,,1
mora1239-1-10-1,,mora1239-1,10,ɡihaɾ,ɡihaɾ,[],,[],,False,False,,1
