ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
pure1242-1-1-1,,pure1242-1,1,ma,ma,[],,[],,False,False,,1
pure1242-1-2-1,,pure1242-1,2,tsimani,tsimani,[],,[],,False,False,,1
pure1242-1-3-1,,pure1242-1,3,tanimu,tanimu,[],,[],,False,False,,1
pure1242-1-4-1,,pure1242-1,4,tʰámu,tʰámu,[],,[],,False,False,,1
pure1242-1-5-1,,pure1242-1,5,iumu,iumu,[],,[],,False,False,,1
pure1242-1-6-1,,pure1242-1,6,kuimu,kuimu,[],,[],,False,False,,1
pure1242-1-7-1,,pure1242-1,7,iumu tsimani,iumu tsimani,[],,[],,False,False,,1
pure1242-1-8-1,,pure1242-1,8,iumu tanimu,iumu tanimu,[],,[],,False,False,,1
pure1242-1-9-1,,pure1242-1,9,iumu tʰámu,iumu tʰámu,[],,[],,False,False,,1
pure1242-1-10-1,,pure1242-1,10,témbini,témbini,[],,[],,False,False,,1
pure1242-1-11-1,,pure1242-1,11,témbini ma,témbini ma,[],,[],,False,False,,1
pure1242-1-12-1,,pure1242-1,12,témbini tsimani,témbini tsimani,[],,[],,False,False,,1
pure1242-1-13-1,,pure1242-1,13,témbini tanimu,témbini tanimu,[],,[],,False,False,,1
pure1242-1-14-1,,pure1242-1,14,témbini tʰámu,témbini tʰámu,[],,[],,False,False,,1
pure1242-1-15-1,,pure1242-1,15,témbini iumu,témbini iumu,[],,[],,False,False,,1
pure1242-1-16-1,,pure1242-1,16,témbini kuimu,témbini kuimu,[],,[],,False,False,,1
pure1242-1-17-1,,pure1242-1,17,témbini iumu tsimani,témbini iumu tsimani,[],,[],,False,False,,1
pure1242-1-18-1,,pure1242-1,18,témbini iumu tanimu,témbini iumu tanimu,[],,[],,False,False,,1
pure1242-1-19-1,,pure1242-1,19,témbini iumu tʰámu,témbini iumu tʰámu,[],,[],,False,False,,1
pure1242-1-20-1,,pure1242-1,20,ma ekuatsi,ma ekuatsi,[],,[],,False,False,,1
pure1242-1-21-1,,pure1242-1,21,ma ekuatsi ma,ma ekuatsi ma,[],,[],,False,False,,1
pure1242-1-22-1,,pure1242-1,22,ma ekuatsi tsimani,ma ekuatsi tsimani,[],,[],,False,False,,1
pure1242-1-23-1,,pure1242-1,23,ma ekuatsi tanimu,ma ekuatsi tanimu,[],,[],,False,False,,1
pure1242-1-24-1,,pure1242-1,24,ma ekuatsi tʰámu,ma ekuatsi tʰámu,[],,[],,False,False,,1
pure1242-1-25-1,,pure1242-1,25,ma ekuatsi iumu,ma ekuatsi iumu,[],,[],,False,False,,1
pure1242-1-26-1,,pure1242-1,26,ma ekuatsi kuimu,ma ekuatsi kuimu,[],,[],,False,False,,1
pure1242-1-27-1,,pure1242-1,27,ma ekuatsi iumu tsimani,ma ekuatsi iumu tsimani,[],,[],,False,False,,1
pure1242-1-28-1,,pure1242-1,28,ma ekuatsi iumu tanimu,ma ekuatsi iumu tanimu,[],,[],,False,False,,1
pure1242-1-29-1,,pure1242-1,29,ma ekuatsi iumu tʰámu,ma ekuatsi iumu tʰámu,[],,[],,False,False,,1
pure1242-1-30-1,,pure1242-1,30,ma ekuatsi témbini,ma ekuatsi témbini,[],,[],,False,False,,1
pure1242-1-40-1,,pure1242-1,40,tsimani ekuatsi,tsimani ekuatsi,[],( 2 x 20 ),[],,False,False,,1
pure1242-1-50-1,,pure1242-1,50,tsimani ekuatsi témbini,tsimani ekuatsi témbini,[],,[],,False,False,,1
pure1242-1-60-1,,pure1242-1,60,tanimu ekuatsi,tanimu ekuatsi,[],( 3 x 20 ),[],,False,False,,1
pure1242-1-70-1,,pure1242-1,70,tanimu ekuatsi témbini,tanimu ekuatsi témbini,[],,[],,False,False,,1
pure1242-1-80-1,,pure1242-1,80,tʰámu ekuatsi,tʰámu ekuatsi,[],( 4 x 20 ),[],,False,False,,1
pure1242-1-90-1,,pure1242-1,90,tʰámu ekuatsi témbini,tʰámu ekuatsi témbini,[],,[],,False,False,,1
pure1242-1-100-1,,pure1242-1,100,iumu ekuatsi,iumu ekuatsi,[],,[],,False,False,,1
pure1242-1-200-1,,pure1242-1,200,témbini ekuatsi,témbini ekuatsi,[],,[],,False,False,,1
pure1242-1-200-2,,pure1242-1,200,400. ireta,400. ireta,[],,[],,False,True,,1
pure1242-1-1000-1,,pure1242-1,1000,tsimani ireta témbini ekuatsi,tsimani ireta témbini ekuatsi,[],,[],,False,False,,1
pure1242-1-2000-1,,pure1242-1,2000,iumu ireta,iumu ireta,[],,[],,False,False,,1
