ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
rung1258-1-1-1,,rung1258-1,1,kʰanˈda,kʰanˈda,[],,[],,False,False,,1
rung1258-1-2-1,,rung1258-1,2,mba,mba,[],,[],,False,False,,1
rung1258-1-3-1,,rung1258-1,3,kʰazaŋɡa,kʰazaŋɡa,[],,[],,False,False,,1
rung1258-1-4-1,,rung1258-1,4,attɛi,attɛi,[],,[],,False,False,,1
rung1258-1-5-1,,rung1258-1,5,tur,tur,[],,[],,False,False,,1
rung1258-1-6-1,,rung1258-1,6,izɛi,izɛi,[],,[],,False,False,,1
rung1258-1-7-1,,rung1258-1,7,mɪnˈdirsi,mɪnˈdirsi,[],,[],,False,False,,1
rung1258-1-8-1,,rung1258-1,8,mbɑkadeli,mbɑkadeli,[],,[],,False,False,,1
rung1258-1-9-1,,rung1258-1,9,kʰaddɛl,kʰaddɛl,[],,[],,False,False,,1
rung1258-1-10-1,,rung1258-1,10,jtuk̚,jtuk̚,[],,[],,False,False,,1
rung1258-1-11-1,,rung1258-1,11,ituk̚kiŋba,ituk̚kiŋba,[],,[],,False,False,,1
rung1258-1-20-1,,rung1258-1,20,itukʰomba,itukʰomba,[],,[],,False,False,,1
rung1258-1-100-1,,rung1258-1,100,itukʰo ituk̚,itukʰo ituk̚,[],( 10 x 10),[],,False,False,,1
