ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
sala1272-1-1-1,,sala1272-1,1,ʃuh,ʃuh,[],,['chan2019'],,False,False,,1
sala1272-1-2-1,,sala1272-1,2,iʃki,iʃki,[],,['chan2019'],,False,False,,1
sala1272-1-3-1,,sala1272-1,3,kinsa,kinsa,[],,['chan2019'],,False,False,,1
sala1272-1-4-1,,sala1272-1,4,tʃusku,tʃusku,[],,['chan2019'],,False,False,,1
sala1272-1-5-1,,sala1272-1,5,pitʃka,pitʃka,[],,['chan2019'],,False,False,,1
sala1272-1-6-1,,sala1272-1,6,sukta,sukta,[],,['chan2019'],,False,False,,1
sala1272-1-7-1,,sala1272-1,7,kantʃis,kantʃis,[],,['chan2019'],,False,False,,1
sala1272-1-8-1,,sala1272-1,8,pusah,pusah,[],,['chan2019'],,False,False,,1
sala1272-1-9-1,,sala1272-1,9,iskun,iskun,[],,['chan2019'],,False,False,,1
sala1272-1-10-1,,sala1272-1,10,tʃunɡa,tʃunɡa,[],,['chan2019'],,False,False,,1
sala1272-1-11-1,,sala1272-1,11,tʃunɡa ʃuh,tʃunɡa ʃuh,[],,['chan2019'],,False,False,,1
sala1272-1-12-1,,sala1272-1,12,tʃunɡa iʃi,tʃunɡa iʃi,[],,['chan2019'],,False,False,,1
sala1272-1-13-1,,sala1272-1,13,tʃunɡa kinsa,tʃunɡa kinsa,[],,['chan2019'],,False,False,,1
sala1272-1-14-1,,sala1272-1,14,tʃunɡa tʃusku,tʃunɡa tʃusku,[],,['chan2019'],,False,False,,1
sala1272-1-15-1,,sala1272-1,15,tʃunɡa pitʃka,tʃunɡa pitʃka,[],,['chan2019'],,False,False,,1
sala1272-1-16-1,,sala1272-1,16,tʃunɡa sukta,tʃunɡa sukta,[],,['chan2019'],,False,False,,1
sala1272-1-17-1,,sala1272-1,17,tʃunɡa kantʃis,tʃunɡa kantʃis,[],,['chan2019'],,False,False,,1
sala1272-1-18-1,,sala1272-1,18,tʃunɡa pusah,tʃunɡa pusah,[],,['chan2019'],,False,False,,1
sala1272-1-19-1,,sala1272-1,19,tʃunɡa iskun,tʃunɡa iskun,[],,['chan2019'],,False,False,,1
sala1272-1-20-1,,sala1272-1,20,iʃki tʃunɡa,iʃki tʃunɡa,[],,['chan2019'],,False,False,,1
sala1272-1-21-1,,sala1272-1,21,iʃki tʃunɡa ʃuh,iʃki tʃunɡa ʃuh,[],,['chan2019'],,False,False,,1
sala1272-1-22-1,,sala1272-1,22,iʃki tʃunɡa iʃki,iʃki tʃunɡa iʃki,[],,['chan2019'],,False,False,,1
sala1272-1-23-1,,sala1272-1,23,iʃki tʃunɡa kinsa,iʃki tʃunɡa kinsa,[],,['chan2019'],,False,False,,1
sala1272-1-24-1,,sala1272-1,24,iʃki tʃunɡa tʃusku,iʃki tʃunɡa tʃusku,[],,['chan2019'],,False,False,,1
sala1272-1-25-1,,sala1272-1,25,iʃki tʃunɡa pitʃka,iʃki tʃunɡa pitʃka,[],,['chan2019'],,False,False,,1
sala1272-1-26-1,,sala1272-1,26,iʃki tʃunɡa sukta,iʃki tʃunɡa sukta,[],,['chan2019'],,False,False,,1
sala1272-1-27-1,,sala1272-1,27,iʃki tʃunɡa kantʃis,iʃki tʃunɡa kantʃis,[],,['chan2019'],,False,False,,1
sala1272-1-28-1,,sala1272-1,28,iʃki tʃunɡa pusah,iʃki tʃunɡa pusah,[],,['chan2019'],,False,False,,1
sala1272-1-29-1,,sala1272-1,29,iʃki tʃunɡa iskun,iʃki tʃunɡa iskun,[],,['chan2019'],,False,False,,1
sala1272-1-30-1,,sala1272-1,30,kinsa tʃunɡa,kinsa tʃunɡa,[],,['chan2019'],,False,False,,1
sala1272-1-40-1,,sala1272-1,40,tʃusku tʃunɡa,tʃusku tʃunɡa,[],,['chan2019'],,False,False,,1
sala1272-1-50-1,,sala1272-1,50,pitʃka tʃunɡa,pitʃka tʃunɡa,[],,['chan2019'],,False,False,,1
sala1272-1-60-1,,sala1272-1,60,sukta tʃunɡa,sukta tʃunɡa,[],,['chan2019'],,False,False,,1
sala1272-1-70-1,,sala1272-1,70,kantʃis tʃunɡa,kantʃis tʃunɡa,[],,['chan2019'],,False,False,,1
sala1272-1-80-1,,sala1272-1,80,pusah tʃunɡa,pusah tʃunɡa,[],,['chan2019'],,False,False,,1
sala1272-1-90-1,,sala1272-1,90,iskun tʃunɡa,iskun tʃunɡa,[],,['chan2019'],,False,False,,1
sala1272-1-100-1,,sala1272-1,100,patsah,patsah,[],,['chan2019'],,False,False,,1
sala1272-1-200-1,,sala1272-1,200,iʃki patsak,iʃki patsak,[],,['chan2019'],,False,False,,1
sala1272-1-1000-1,,sala1272-1,1000,waranɡa,waranɡa,[],,['chan2019'],,False,False,,1
sala1272-1-2000-1,,sala1272-1,2000,iʃkiwaranɡa,iʃkiwaranɡa,[],,['chan2019'],,False,False,,1
