ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
seco1241-1-1-1,,seco1241-1,1,teʔe,teʔe,[],,[],,False,False,,1
seco1241-1-1-2,,seco1241-1,1,teʔi,teʔi,[],,[],,False,False,,1
seco1241-1-1-3,,seco1241-1,1,teʔo,teʔo,[],"( inanimate, masculine, feminine )",[],,False,False,,1
seco1241-1-2-1,,seco1241-1,2,kaja,kaja,[],,[],,False,False,,1
seco1241-1-3-1,,seco1241-1,3,toaso,toaso,[],,[],,False,False,,1
seco1241-1-4-1,,seco1241-1,4,kahese,kahese,[],(ʔe),[],,False,False,,1
seco1241-1-4-2,,seco1241-1,4,kaheseʔi,kaheseʔi,[],,[],,False,False,,1
seco1241-1-4-3,,seco1241-1,4,kaheseʔo,kaheseʔo,[],"( inanimate, masculine, feminine ) (paʔi)",[],,False,False,,1
seco1241-1-5-1,,seco1241-1,5,te-hɨtɨ,te-hɨtɨ,[],( litː ''a hand of X exists'' ) (paʔi),[],,False,False,,1
seco1241-1-6-1,,seco1241-1,6,ɨha-tupɨ,ɨha-tupɨ,[],(paʔi),[],,False,False,,1
seco1241-1-7-1,,seco1241-1,7,ɨha-tupɨ seɲã-maka-jo,ɨha-tupɨ seɲã-maka-jo,[],(lit: ''after the thumb''),[],,False,False,,1
seco1241-1-8-1,,seco1241-1,8,hopoajo,hopoajo,[],(paʔi),[],,False,False,,1
seco1241-1-9-1,,seco1241-1,9,hopoajo kɨno-make-jo,hopoajo kɨno-make-jo,[],(lit: ''close to middle finger'' ),[],,False,False,,1
seco1241-1-10-1,,seco1241-1,10,sia-hɨ-ɲa,sia-hɨ-ɲa,[],(paʔi),[],,False,False,,1
seco1241-1-11-1,,seco1241-1,11,siahɨɲa teʔe,siahɨɲa teʔe,[],,[],,False,False,,1
seco1241-1-11-2,,seco1241-1,11,teʔi,teʔi,[],,[],,False,False,,1
seco1241-1-11-3,,seco1241-1,11,teʔo,teʔo,[],,[],,False,False,,1
seco1241-1-12-1,,seco1241-1,12,siahɨɲa kaja,siahɨɲa kaja,[],,[],,False,False,,1
seco1241-1-20-1,,seco1241-1,20,siahɨɲa siahɨɲa,siahɨɲa siahɨɲa,[],,[],,False,False,,1
