ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
toto1305-1-1,,toto1305,1,tuʔuk,tuʔuk,[],,[],,False,Mixe-Chuxnaban.htm,False,,1
toto1305-1-2,,toto1305,1,toʼk,toʼk,[],,[],,False,Mixe-Tontontepec.htm,False,,1
toto1305-1-3,,toto1305,1,tʊʔk,tʊʔk,[],,[],,False,Mixe-Tontontepec.htm,False,tʊ'k,2
toto1305-2-1,,toto1305,2,mææht͡sk,mææht͡sk,[],,[],,False,Mixe-Chuxnaban.htm,False,,1
toto1305-2-2,,toto1305,2,mæhck,mæhck,[],,[],,False,Mixe-Tontontepec.htm,False,,1
toto1305-2-3,,toto1305,2,mæht͡sk,mæht͡sk,[],,[],,False,Mixe-Tontontepec.htm,False,mæhck,2
toto1305-3-1,,toto1305,3,tɨkɨɨk,tɨkɨɨk,[],,[],,False,Mixe-Chuxnaban.htm,False,,1
toto1305-3-2,,toto1305,3,toohk,toohk,[],,[],,False,Mixe-Tontontepec.htm,False,,1
toto1305-3-3,,toto1305,3,tʊːhk,tʊːhk,[],,[],,False,Mixe-Tontontepec.htm,False,tʊːhk,2
toto1305-4-1,,toto1305,4,taʃk,taʃk,[],,[],,False,Mixe-Chuxnaban.htm,False,,1
toto1305-4-2,,toto1305,4,maktaaxk,maktaaxk,[],,[],,False,Mixe-Tontontepec.htm,False,,1
toto1305-4-3,,toto1305,4,maktáːʂk,maktáːʂk,[],,[],,False,Mixe-Tontontepec.htm,False,maktáːš̩k,2
toto1305-5-1,,toto1305,5,mɨkoʃk,mɨkoʃk,[],,[],,False,Mixe-Chuxnaban.htm,False,,1
toto1305-5-2,,toto1305,5,muɡɔɔxk,muɡɔɔxk,[],,[],,False,Mixe-Tontontepec.htm,False,,1
toto1305-5-3,,toto1305,5,muɡóːʂk,muɡóːʂk,[],,[],,False,Mixe-Tontontepec.htm,False,muɡóːš̩k,2
toto1305-6-1,,toto1305,6,tɨtuuhk,tɨtuuhk,[],,[],,False,Mixe-Chuxnaban.htm,False,,1
