ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
tuni1252-1-1-1,,tuni1252-1,1,sahku,sahku,[],,[],,False,False,,1
tuni1252-1-2-1,,tuni1252-1,2,ʔili,ʔili,[],,[],,False,False,,1
tuni1252-1-3-1,,tuni1252-1,3,ʔenihku,ʔenihku,[],,[],,False,False,,1
tuni1252-1-4-1,,tuni1252-1,4,manku,manku,[],,[],,False,False,,1
tuni1252-1-5-1,,tuni1252-1,5,sinku,sinku,[],,[],,False,False,,1
tuni1252-1-6-1,,tuni1252-1,6,masahki,masahki,[],,[],,False,False,,1
tuni1252-1-7-1,,tuni1252-1,7,tayihku,tayihku,[],,[],,False,False,,1
tuni1252-1-8-1,,tuni1252-1,8,tisihku,tisihku,[],,[],,False,False,,1
tuni1252-1-9-1,,tuni1252-1,9,tohkusahku,tohkusahku,[],,[],,False,False,,1
tuni1252-1-10-1,,tuni1252-1,10,miču sahku,miču sahku,[],,[],,False,False,,1
tuni1252-1-11-1,,tuni1252-1,11,miču sahtɛya sahku,miču sahtɛya sahku,[],,[],,False,False,,1
tuni1252-1-12-1,,tuni1252-1,12,miču sahtɛya ʔili,miču sahtɛya ʔili,[],,[],,False,False,,1
tuni1252-1-13-1,,tuni1252-1,13,miču sahtɛya ʔenihku,miču sahtɛya ʔenihku,[],,[],,False,False,,1
tuni1252-1-14-1,,tuni1252-1,14,miču sahtɛya manku,miču sahtɛya manku,[],,[],,False,False,,1
tuni1252-1-15-1,,tuni1252-1,15,miču sahtɛya sinku,miču sahtɛya sinku,[],,[],,False,False,,1
tuni1252-1-16-1,,tuni1252-1,16,miču sahtɛya masahki,miču sahtɛya masahki,[],,[],,False,False,,1
tuni1252-1-17-1,,tuni1252-1,17,miču sahtɛya tayihku,miču sahtɛya tayihku,[],,[],,False,False,,1
tuni1252-1-18-1,,tuni1252-1,18,miču sahtɛya tisihku,miču sahtɛya tisihku,[],,[],,False,False,,1
tuni1252-1-19-1,,tuni1252-1,19,miču sahtɛya tohkusahku,miču sahtɛya tohkusahku,[],,[],,False,False,,1
tuni1252-1-20-1,,tuni1252-1,20,mič ʔili,mič ʔili,[],,[],,False,False,,1
tuni1252-1-21-1,,tuni1252-1,21,mič ʔilitɛya sahku,mič ʔilitɛya sahku,[],,[],,False,False,,1
tuni1252-1-22-1,,tuni1252-1,22,mič ʔilitɛya ʔili,mič ʔilitɛya ʔili,[],,[],,False,False,,1
tuni1252-1-23-1,,tuni1252-1,23,mič ʔilitɛya ʔenihku,mič ʔilitɛya ʔenihku,[],,[],,False,False,,1
tuni1252-1-24-1,,tuni1252-1,24,mič ʔilitɛya manku,mič ʔilitɛya manku,[],,[],,False,False,,1
tuni1252-1-25-1,,tuni1252-1,25,mič ʔilitɛya sinku,mič ʔilitɛya sinku,[],,[],,False,False,,1
tuni1252-1-26-1,,tuni1252-1,26,mič ʔilitɛya masahki,mič ʔilitɛya masahki,[],,[],,False,False,,1
tuni1252-1-27-1,,tuni1252-1,27,mič ʔilitɛya tayihku,mič ʔilitɛya tayihku,[],,[],,False,False,,1
tuni1252-1-28-1,,tuni1252-1,28,mič ʔilitɛya tisihku,mič ʔilitɛya tisihku,[],,[],,False,False,,1
tuni1252-1-29-1,,tuni1252-1,29,mič ʔilitɛya tohkusahku,mič ʔilitɛya tohkusahku,[],,[],,False,False,,1
tuni1252-1-30-1,,tuni1252-1,30,mič ʔenihku,mič ʔenihku,[],,[],,False,False,,1
tuni1252-1-40-1,,tuni1252-1,40,miču manku,miču manku,[],,[],,False,False,,1
tuni1252-1-50-1,,tuni1252-1,50,miču sinku,miču sinku,[],,[],,False,False,,1
tuni1252-1-60-1,,tuni1252-1,60,miču masahki,miču masahki,[],,[],,False,False,,1
tuni1252-1-70-1,,tuni1252-1,70,miču tayihku,miču tayihku,[],,[],,False,False,,1
tuni1252-1-80-1,,tuni1252-1,80,miču tisihku,miču tisihku,[],,[],,False,False,,1
tuni1252-1-90-1,,tuni1252-1,90,miču tohkusahku,miču tohkusahku,[],,[],,False,False,,1
tuni1252-1-100-1,,tuni1252-1,100,polun sahku,polun sahku,[],,[],,False,False,,1
tuni1252-1-200-1,,tuni1252-1,200,polun ʔili,polun ʔili,[],,[],,False,False,,1
tuni1252-1-1000-1,,tuni1252-1,1000,poluntʔɛ sahku,poluntʔɛ sahku,[],,[],,False,False,,1
tuni1252-1-2000-1,,tuni1252-1,2000,poluntʔɛ ʔili,poluntʔɛ ʔili,[],,[],,False,False,,1
