ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
xxxx0028-1-1-1,,xxxx0028-1,1,kʰakka,kʰakka,[],,[],,False,False,,1
xxxx0028-1-2-1,,xxxx0028-1,2,kʰanika,kʰanika,[],,[],,False,False,,1
xxxx0028-1-3-1,,xxxx0028-1,3,kʰat̪ʰumka,kʰat̪ʰumka,[],,[],,False,False,,1
xxxx0028-1-4-1,,xxxx0028-1,4,kʰaliːka,kʰaliːka,[],,[],,False,False,,1
xxxx0028-1-5-1,,xxxx0028-1,5,kʰaɽəŋaka,kʰaɽəŋaka,[],,[],,False,False,,1
xxxx0028-1-6-1,,xxxx0028-1,6,kʰaruka,kʰaruka,[],,[],,False,False,,1
xxxx0028-1-7-1,,xxxx0028-1,7,kʰasirika,kʰasirika,[],,[],,False,False,,1
xxxx0028-1-8-1,,xxxx0028-1,8,kʰaɽutka,kʰaɽutka,[],,[],,False,False,,1
xxxx0028-1-9-1,,xxxx0028-1,9,kʰaʈkoka,kʰaʈkoka,[],,[],,False,False,,1
xxxx0028-1-10-1,,xxxx0028-1,10,kʰat͡ʃʰumka,kʰat͡ʃʰumka,[],,[],,False,False,,1
xxxx0028-1-10-2,,xxxx0028-1,10,somka,somka,[],,[],,False,False,,1
xxxx0028-1-11-1,,xxxx0028-1,11,somka kʰakka,somka kʰakka,[],,[],,False,False,,1
xxxx0028-1-12-1,,xxxx0028-1,12,somka kʰanika,somka kʰanika,[],,[],,False,False,,1
xxxx0028-1-13-1,,xxxx0028-1,13,somka kʰat̪ʰumka,somka kʰat̪ʰumka,[],,[],,False,False,,1
xxxx0028-1-14-1,,xxxx0028-1,14,somka kʰaliːka,somka kʰaliːka,[],,[],,False,False,,1
xxxx0028-1-15-1,,xxxx0028-1,15,somka kʰaɽəŋaka,somka kʰaɽəŋaka,[],,[],,False,False,,1
xxxx0028-1-16-1,,xxxx0028-1,16,somka kʰaruka,somka kʰaruka,[],,[],,False,False,,1
xxxx0028-1-17-1,,xxxx0028-1,17,somka kʰasirika,somka kʰasirika,[],,[],,False,False,,1
xxxx0028-1-18-1,,xxxx0028-1,18,somka kʰaɽutka,somka kʰaɽutka,[],,[],,False,False,,1
xxxx0028-1-19-1,,xxxx0028-1,19,somka kʰaʈkoka,somka kʰaʈkoka,[],,[],,False,False,,1
xxxx0028-1-20-1,,xxxx0028-1,20,som nikka,som nikka,[],,[],,False,False,,1
xxxx0028-1-30-1,,xxxx0028-1,30,som t̪ʰumka,som t̪ʰumka,[],,[],,False,False,,1
xxxx0028-1-40-1,,xxxx0028-1,40,som liːka,som liːka,[],,[],,False,False,,1
xxxx0028-1-50-1,,xxxx0028-1,50,som ɽəŋaka,som ɽəŋaka,[],,[],,False,False,,1
xxxx0028-1-60-1,,xxxx0028-1,60,som ruka,som ruka,[],,[],,False,False,,1
xxxx0028-1-70-1,,xxxx0028-1,70,som sirika,som sirika,[],,[],,False,False,,1
xxxx0028-1-80-1,,xxxx0028-1,80,som ɽutka,som ɽutka,[],,[],,False,False,,1
xxxx0028-1-90-1,,xxxx0028-1,90,som ʈkoka,som ʈkoka,[],,[],,False,False,,1
xxxx0028-1-100-1,,xxxx0028-1,100,som rad͡ʒaka,som rad͡ʒaka,[],,[],,False,False,,1
xxxx0028-1-1000-1,,xxxx0028-1,1000,rad͡ʒa sɔmka,rad͡ʒa sɔmka,[],,[],,False,False,,1
