ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
yaki1237-1-1-1,,yaki1237-1,1,naxʃ,naxʃ,[],,[],,False,False,,1
yaki1237-1-1-2,,yaki1237-1,1,laχs,laχs,[],,[],,False,False,,1
yaki1237-1-2-1,,yaki1237-1,2,niipt,niipt,[],,[],,False,False,,1
yaki1237-1-2-2,,yaki1237-1,2,nápu,nápu,[],,[],,False,False,,1
yaki1237-1-3-1,,yaki1237-1,3,mɨ́taat,mɨ́taat,[],,[],,False,False,,1
yaki1237-1-3-2,,yaki1237-1,3,mɨ́taw,mɨ́taw,[],,[],,False,False,,1
yaki1237-1-4-1,,yaki1237-1,4,píniipt,píniipt,[],,[],,False,False,,1
yaki1237-1-4-2,,yaki1237-1,4,pínapu,pínapu,[],,[],,False,False,,1
yaki1237-1-5-1,,yaki1237-1,5,páχaat,páχaat,[],,[],,False,False,,1
yaki1237-1-5-2,,yaki1237-1,5,páχnaw,páχnaw,[],,[],,False,False,,1
yaki1237-1-6-1,,yaki1237-1,6,ptáχninʃ,ptáχninʃ,[],,[],,False,False,,1
yaki1237-1-7-1,,yaki1237-1,7,túskaas,túskaas,[],,[],,False,False,,1
yaki1237-1-8-1,,yaki1237-1,8,paχatʼumáat,paχatʼumáat,[],,[],,False,False,,1
yaki1237-1-9-1,,yaki1237-1,9,cʼmɨst,cʼmɨst,[],,[],,False,False,,1
yaki1237-1-10-1,,yaki1237-1,10,pútɨmpt,pútɨmpt,[],,[],,False,False,,1
yaki1237-1-10-2,,yaki1237-1,10,pútmu,pútmu,[],,[],,False,False,,1
yaki1237-1-11-1,,yaki1237-1,11,pútɨmpt ku naxʃ,pútɨmpt ku naxʃ,[],( litː ten and one'),[],,False,False,,1
yaki1237-1-12-1,,yaki1237-1,12,pútɨmpt ku niipt,pútɨmpt ku niipt,[],,[],,False,False,,1
yaki1237-1-13-1,,yaki1237-1,13,pútɨmpt ku mɨ́taat,pútɨmpt ku mɨ́taat,[],,[],,False,False,,1
yaki1237-1-14-1,,yaki1237-1,14,pútɨmpt kupíniipt,pútɨmpt kupíniipt,[],,[],,False,False,,1
yaki1237-1-15-1,,yaki1237-1,15,pútɨmpt kupáχaat,pútɨmpt kupáχaat,[],,[],,False,False,,1
yaki1237-1-16-1,,yaki1237-1,16,pútɨmpt ku ptáχninʃ,pútɨmpt ku ptáχninʃ,[],,[],,False,False,,1
yaki1237-1-17-1,,yaki1237-1,17,pútɨmpt ku túskaas,pútɨmpt ku túskaas,[],,[],,False,False,,1
yaki1237-1-18-1,,yaki1237-1,18,pútɨmpt ku paχatʼumáat,pútɨmpt ku paχatʼumáat,[],,[],,False,False,,1
yaki1237-1-19-1,,yaki1237-1,19,pútɨmpt ku cʼmɨst,pútɨmpt ku cʼmɨst,[],,[],,False,False,,1
yaki1237-1-20-1,,yaki1237-1,20,níiptit,níiptit,[],,[],,False,False,,1
yaki1237-1-21-1,,yaki1237-1,21,níiptit ku naχʃ,níiptit ku naχʃ,[],,[],,False,False,,1
yaki1237-1-22-1,,yaki1237-1,22,níiptit ku niipt,níiptit ku niipt,[],,[],,False,False,,1
yaki1237-1-23-1,,yaki1237-1,23,níiptit ku mɨ́taat,níiptit ku mɨ́taat,[],,[],,False,False,,1
yaki1237-1-24-1,,yaki1237-1,24,níiptit ku píniipt,níiptit ku píniipt,[],,[],,False,False,,1
yaki1237-1-25-1,,yaki1237-1,25,níiptit ku páχaat,níiptit ku páχaat,[],,[],,False,False,,1
yaki1237-1-26-1,,yaki1237-1,26,níiptit ku ptáχninʃ,níiptit ku ptáχninʃ,[],,[],,False,False,,1
yaki1237-1-27-1,,yaki1237-1,27,níiptit ku túskaas,níiptit ku túskaas,[],,[],,False,False,,1
yaki1237-1-28-1,,yaki1237-1,28,níiptit ku paχatʼumáat,níiptit ku paχatʼumáat,[],,[],,False,False,,1
yaki1237-1-29-1,,yaki1237-1,29,níiptit ku cʼmɨst,níiptit ku cʼmɨst,[],,[],,False,False,,1
yaki1237-1-30-1,,yaki1237-1,30,mɨtáaptit,mɨtáaptit,[],,[],,False,False,,1
yaki1237-1-40-1,,yaki1237-1,40,píniiptit,píniiptit,[],,[],,False,False,,1
yaki1237-1-50-1,,yaki1237-1,50,paχáaptit,paχáaptit,[],,[],,False,False,,1
yaki1237-1-60-1,,yaki1237-1,60,ptaχninʃáaptit,ptaχninʃáaptit,[],,[],,False,False,,1
yaki1237-1-70-1,,yaki1237-1,70,tuskaasáaptit,tuskaasáaptit,[],,[],,False,False,,1
yaki1237-1-80-1,,yaki1237-1,80,paχatʼumáatáaptit,paχatʼumáatáaptit,[],,[],,False,False,,1
yaki1237-1-90-1,,yaki1237-1,90,cʼmɨsáaptit,cʼmɨsáaptit,[],,[],,False,False,,1
yaki1237-1-100-1,,yaki1237-1,100,(naχʃ) putáaptit,(naχʃ) putáaptit,[],,[],,False,False,,1
yaki1237-1-200-1,,yaki1237-1,200,niipt putáaptit,niipt putáaptit,[],( litː two hundred ),[],,False,False,,1
yaki1237-1-1000-1,,yaki1237-1,1000,pútɨmpt putáaptit,pútɨmpt putáaptit,[],( litː ten hundred ),[],,False,False,,1
yaki1237-1-2000-1,,yaki1237-1,2000,níiptit putáaptit,níiptit putáaptit,[],( litː twenty hundred ),[],,False,False,,1
