ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
bala1311-1-1,,bala1311,1,isa,isa,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-1-2,,bala1311,1,adda,adda,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-1-3,,bala1311,1,dakayuʔ,dakayuʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-2-1,,bala1311,2,duwa,duwa,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-3-1,,bala1311,3,tullu,tullu,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-4-1,,bala1311,4,mpat,mpat,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-4-2,,bala1311,4,umpat,umpat,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-5-1,,bala1311,5,lima,lima,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-6-1,,bala1311,6,nnom,nnom,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-6-2,,bala1311,6,onnom,onnom,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-7-1,,bala1311,7,pituʔ,pituʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-8-1,,bala1311,8,waluʔ,waluʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-9-1,,bala1311,9,siyam,siyam,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-10-1,,bala1311,10,watoŋ,watoŋ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-11-1,,bala1311,11,watoŋ adda,watoŋ adda,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-12-1,,bala1311,12,watoŋ duwa,watoŋ duwa,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-13-1,,bala1311,13,watoŋ tullu,watoŋ tullu,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-14-1,,bala1311,14,watoŋ mpat,watoŋ mpat,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-15-1,,bala1311,15,watoŋ lima,watoŋ lima,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-16-1,,bala1311,16,watoŋ nnom,watoŋ nnom,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-17-1,,bala1311,17,watoŋ pituʔ,watoŋ pituʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-18-1,,bala1311,18,watoŋ waluʔ,watoŋ waluʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-19-1,,bala1311,19,watoŋ siyam,watoŋ siyam,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-20-1,,bala1311,20,duwampuːʔ,duwampuːʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-21-1,,bala1311,21,duwampuːʔ kadda,duwampuːʔ kadda,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-22-1,,bala1311,22,duwampuːʔ kaduwa,duwampuːʔ kaduwa,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-23-1,,bala1311,23,duwampuːʔ katullu,duwampuːʔ katullu,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-24-1,,bala1311,24,duwampuːʔ kampat,duwampuːʔ kampat,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-25-1,,bala1311,25,duwampuːʔ kalima,duwampuːʔ kalima,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-26-1,,bala1311,26,duwampuːʔ kannom,duwampuːʔ kannom,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-27-1,,bala1311,27,duwampuːʔ kapituʔ,duwampuːʔ kapituʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-28-1,,bala1311,28,duwampuːʔ kawaluʔ,duwampuːʔ kawaluʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-29-1,,bala1311,29,duwampuːʔ kasiyam,duwampuːʔ kasiyam,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-30-1,,bala1311,30,tullumpuːʔ,tullumpuːʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-40-1,,bala1311,40,mpatpuːʔ,mpatpuːʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-50-1,,bala1311,50,limampuːʔ,limampuːʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-60-1,,bala1311,60,nnompuːʔ,nnompuːʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-70-1,,bala1311,70,pitumpuːʔ,pitumpuːʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-80-1,,bala1311,80,walumpuːʔ,walumpuːʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-90-1,,bala1311,90,siyampuːʔ,siyampuːʔ,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-100-1,,bala1311,100,da hatus,da hatus,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-200-1,,bala1311,200,duwa hatus,duwa hatus,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-1000-1,,bala1311,1000,daŋibu,daŋibu,[],,[],,False,Sama-Balangingi.htm,False,,1
bala1311-2000-1,,bala1311,2000,duwaŋibu,duwaŋibu,[],,[],,False,Sama-Balangingi.htm,False,,1
