ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
bwai1242-1-1,,bwai1242,1,seyana,seyana,[],,[],,False,Bwaidoka.htm,False,,1
bwai1242-2-1,,bwai1242,2,luwei,luwei,[],,[],,False,Bwaidoka.htm,False,,1
bwai1242-3-1,,bwai1242,3,toiye,toiye,[],,[],,False,Bwaidoka.htm,False,,1
bwai1242-4-1,,bwai1242,4,laufuli,laufuli,[],,[],,False,Bwaidoka.htm,False,,1
bwai1242-5-1,,bwai1242,5,nimafafalina (litː 'hand-it's side') or faivi,nimafafalina (litː 'hand-it's side') or faivi,[],,[],,False,Bwaidoka.htm,True,,1
bwai1242-6-1,,bwai1242,6,nimafafalina seyana ( 5 + 1 ) or sikisi,nimafafalina seyana ( 5 + 1 ) or sikisi,[],,[],,False,Bwaidoka.htm,True,,1
bwai1242-7-1,,bwai1242,7,nimafafalina luwei ( 5 + 2 ) or seveni,nimafafalina luwei ( 5 + 2 ) or seveni,[],,[],,False,Bwaidoka.htm,True,,1
bwai1242-8-1,,bwai1242,8,nimafafalina toiye ( 5 + 3 ) or eita,nimafafalina toiye ( 5 + 3 ) or eita,[],,[],,False,Bwaidoka.htm,True,,1
bwai1242-9-1,,bwai1242,9,nimafafalina laufuli ( 5 + 4 ) or naeni,nimafafalina laufuli ( 5 + 4 ) or naeni,[],,[],,False,Bwaidoka.htm,True,,1
bwai1242-10-1,,bwai1242,10,nimafafaliluɡa (litː 'hand-it's side-two') or teni,nimafafaliluɡa (litː 'hand-it's side-two') or teni,[],,[],,False,Bwaidoka.htm,True,,1
bwai1242-11-1,,bwai1242,11,aɡe-seyana (litː 'leg-one') or ileveni,aɡe-seyana (litː 'leg-one') or ileveni,[],,[],,False,Bwaidoka.htm,True,,1
bwai1242-12-1,,bwai1242,12,aɡe-luwei or tuwelo,aɡe-luwei or tuwelo,[],,[],,False,Bwaidoka.htm,True,,1
bwai1242-13-1,,bwai1242,13,aɡe-toiye or tetini,aɡe-toiye or tetini,[],,[],,False,Bwaidoka.htm,True,,1
bwai1242-14-1,,bwai1242,14,aɡe-laufuli or fotni,aɡe-laufuli or fotni,[],,[],,False,Bwaidoka.htm,True,,1
bwai1242-15-1,,bwai1242,15,aɡefafalifafali (litː 'leg-one') or fifitini,aɡefafalifafali (litː 'leg-one') or fifitini,[],,[],,False,Bwaidoka.htm,True,,1
bwai1242-16-1,,bwai1242,16,aɡefafali-aɡe-seyana,aɡefafali-aɡe-seyana,[],( litː 'leg-side-one'),[],,False,Bwaidoka.htm,False,,1
bwai1242-17-1,,bwai1242,17,aɡefafali-aɡe-luwei,aɡefafali-aɡe-luwei,[],,[],,False,Bwaidoka.htm,False,,1
bwai1242-18-1,,bwai1242,18,aɡefafali-aɡe-toiye,aɡefafali-aɡe-toiye,[],,[],,False,Bwaidoka.htm,False,,1
bwai1242-19-1,,bwai1242,19,aɡefafali-aɡe-laufuli,aɡefafali-aɡe-laufuli,[],,[],,False,Bwaidoka.htm,False,,1
bwai1242-20-1,,bwai1242,20,aɡefafaliɡa (litː 'leg-side-two') or tuweniti,aɡefafaliɡa (litː 'leg-side-two') or tuweniti,[],,[],,False,Bwaidoka.htm,True,,1
