ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
maee1241-1-1,,maee1241,1,haxal,haxal,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-1-2,,maee1241,1,hxal,hxal,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-2-1,,maee1241,2,i-ru,i-ru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-3-1,,maee1241,3,i-til,i-til,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-4-1,,maee1241,4,i-βat,i-βat,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-5-1,,maee1241,5,i-lin,i-lin,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-6-1,,maee1241,6,i-xɔwɛn,i-xɔwɛn,[],( 5 + 1 ),[],,False,Mae-Dirax.htm,False,,1
maee1241-7-1,,maee1241,7,i-xedit,i-xedit,[],( 5 + 2 ),[],,False,Mae-Dirax.htm,False,,1
maee1241-8-1,,maee1241,8,i-xewɛl,i-xewɛl,[],( 5 + 3 ),[],,False,Mae-Dirax.htm,False,,1
maee1241-9-1,,maee1241,9,i-xesiβ,i-xesiβ,[],( 5 + 4 ),[],,False,Mae-Dirax.htm,False,,1
maee1241-10-1,,maee1241,10,i-hŋaβil,i-hŋaβil,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-11-1,,maee1241,11,i-hŋaβil dromana hxal,i-hŋaβil dromana hxal,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-12-1,,maee1241,12,i-hŋaβil dromana i-ru,i-hŋaβil dromana i-ru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-13-1,,maee1241,13,i-hŋaβil dromana i-til,i-hŋaβil dromana i-til,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-14-1,,maee1241,14,i-hŋaβil dromana i-βat,i-hŋaβil dromana i-βat,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-15-1,,maee1241,15,i-hŋaβil dromana i-lin,i-hŋaβil dromana i-lin,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-16-1,,maee1241,16,i-hŋaβil dromana i-xɔwɛn,i-hŋaβil dromana i-xɔwɛn,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-17-1,,maee1241,17,i-hŋaβil dromana i-xedit,i-hŋaβil dromana i-xedit,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-18-1,,maee1241,18,i-hŋaβil dromana i-xewɛl,i-hŋaβil dromana i-xewɛl,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-19-1,,maee1241,19,i-hŋaβil dromana i-xesiβ,i-hŋaβil dromana i-xesiβ,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-20-1,,maee1241,20,i-hŋoβlru,i-hŋoβlru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-20-2,,maee1241,20,i-hŋoβilru,i-hŋoβilru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-21-1,,maee1241,21,i-hŋoβlru,i-hŋoβlru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-21-2,,maee1241,21,i-hŋoβilru dromana hxal,i-hŋoβilru dromana hxal,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-22-1,,maee1241,22,i-hŋoβlru,i-hŋoβlru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-22-2,,maee1241,22,i-hŋoβilru dromana i-ru,i-hŋoβilru dromana i-ru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-23-1,,maee1241,23,i-hŋoβlru,i-hŋoβlru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-23-2,,maee1241,23,i-hŋoβilru dromana i-til,i-hŋoβilru dromana i-til,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-24-1,,maee1241,24,i-hŋoβlru,i-hŋoβlru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-24-2,,maee1241,24,i-hŋoβilru dromana i-βat,i-hŋoβilru dromana i-βat,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-25-1,,maee1241,25,i-hŋoβlru,i-hŋoβlru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-25-2,,maee1241,25,i-hŋoβilru dromana i-lin,i-hŋoβilru dromana i-lin,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-26-1,,maee1241,26,i-hŋoβlru,i-hŋoβlru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-26-2,,maee1241,26,i-hŋoβilru dromana i-xɔwɛn,i-hŋoβilru dromana i-xɔwɛn,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-27-1,,maee1241,27,i-hŋoβlru,i-hŋoβlru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-27-2,,maee1241,27,i-hŋoβilru dromana i-xedit,i-hŋoβilru dromana i-xedit,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-28-1,,maee1241,28,i-hŋoβlru,i-hŋoβlru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-28-2,,maee1241,28,i-hŋoβilru dromana i-xewɛl,i-hŋoβilru dromana i-xewɛl,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-29-1,,maee1241,29,i-hŋoβlru,i-hŋoβlru,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-29-2,,maee1241,29,i-hŋoβilru dromana i-xesiβ,i-hŋoβilru dromana i-xesiβ,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-30-1,,maee1241,30,i-hŋoβltil,i-hŋoβltil,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-30-2,,maee1241,30,i-hŋoβiltil,i-hŋoβiltil,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-40-1,,maee1241,40,i-hŋoβlβat,i-hŋoβlβat,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-40-2,,maee1241,40,i-hŋoβilβat,i-hŋoβilβat,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-50-1,,maee1241,50,i-hŋoβlin,i-hŋoβlin,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-50-2,,maee1241,50,i-hŋoβilin,i-hŋoβilin,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-60-1,,maee1241,60,i-hŋoβlxɔwɛn,i-hŋoβlxɔwɛn,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-60-2,,maee1241,60,i-hŋoβilxɔwɛn,i-hŋoβilxɔwɛn,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-70-1,,maee1241,70,i-hŋoβlxedit,i-hŋoβlxedit,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-70-2,,maee1241,70,i-hŋoβilxedit,i-hŋoβilxedit,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-80-1,,maee1241,80,i-hŋoβlxewɛl,i-hŋoβlxewɛl,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-80-2,,maee1241,80,i-hŋoβilxewɛl,i-hŋoβilxewɛl,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-90-1,,maee1241,90,i-hŋoβlxesiβ,i-hŋoβlxesiβ,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-90-2,,maee1241,90,i-hŋoβilxesiβ,i-hŋoβilxesiβ,[],,[],,False,Mae-Dirax.htm,False,,1
maee1241-100-1,,maee1241,100,i-ŋosŋaβil,i-ŋosŋaβil,[],,[],,False,Mae-Dirax.htm,False,,1
