ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
hakk1236-5-1-1,,hakk1236-5,1,jiʔ32,jiʔ32,[],,[],,False,False,,1
hakk1236-5-2-1,,hakk1236-5,2,tioŋ42,tioŋ42,[],,[],,False,False,,1
hakk1236-5-3-1,,hakk1236-5,3,sã55,sã55,[],,[],,False,False,,1
hakk1236-5-4-1,,hakk1236-5,4,sɿ242,sɿ242,[],,[],,False,False,,1
hakk1236-5-5-1,,hakk1236-5,5,ŋ42,ŋ42,[],,[],,False,False,,1
hakk1236-5-6-1,,hakk1236-5,6,təʔ32,təʔ32,[],,[],,False,False,,1
hakk1236-5-7-1,,hakk1236-5,7,tsʰeiʔ32,tsʰeiʔ32,[],,[],,False,False,,1
hakk1236-5-8-1,,hakk1236-5,8,paʔ32,paʔ32,[],,[],,False,False,,1
hakk1236-5-9-1,,hakk1236-5,9,tɕiɤɯ42,tɕiɤɯ42,[],,[],,False,False,,1
hakk1236-5-10-1,,hakk1236-5,10,seiʔ35,seiʔ35,[],,[],,False,False,,1
hakk1236-5-11-1,,hakk1236-5,11,seiʔ35jiʔ32,seiʔ35jiʔ32,[],,[],,False,False,,1
hakk1236-5-12-1,,hakk1236-5,12,seiʔ35tioŋ42,seiʔ35tioŋ42,[],,[],,False,False,,1
hakk1236-5-13-1,,hakk1236-5,13,seiʔ35sã55,seiʔ35sã55,[],,[],,False,False,,1
hakk1236-5-14-1,,hakk1236-5,14,seiʔ35sɿ242,seiʔ35sɿ242,[],,[],,False,False,,1
hakk1236-5-15-1,,hakk1236-5,15,seiʔ35ŋ42,seiʔ35ŋ42,[],,[],,False,False,,1
hakk1236-5-16-1,,hakk1236-5,16,seiʔ35təʔ32,seiʔ35təʔ32,[],,[],,False,False,,1
hakk1236-5-17-1,,hakk1236-5,17,seiʔ35tsʰeiʔ32,seiʔ35tsʰeiʔ32,[],,[],,False,False,,1
hakk1236-5-18-1,,hakk1236-5,18,seiʔ35paʔ32,seiʔ35paʔ32,[],,[],,False,False,,1
hakk1236-5-19-1,,hakk1236-5,19,seiʔ35tɕiɤɯ42,seiʔ35tɕiɤɯ42,[],,[],,False,False,,1
hakk1236-5-20-1,,hakk1236-5,20,tioŋ42seiʔ35,tioŋ42seiʔ35,[],,[],,False,False,,1
hakk1236-5-21-1,,hakk1236-5,21,tioŋ42 jiʔ32,tioŋ42 jiʔ32,[],,[],,False,False,,1
hakk1236-5-22-1,,hakk1236-5,22,tioŋ42 tioŋ42,tioŋ42 tioŋ42,[],,[],,False,False,,1
hakk1236-5-23-1,,hakk1236-5,23,tioŋ42 sã55,tioŋ42 sã55,[],,[],,False,False,,1
hakk1236-5-24-1,,hakk1236-5,24,tioŋ42 sɿ242,tioŋ42 sɿ242,[],,[],,False,False,,1
hakk1236-5-25-1,,hakk1236-5,25,tioŋ42 ŋ42,tioŋ42 ŋ42,[],,[],,False,False,,1
hakk1236-5-26-1,,hakk1236-5,26,tioŋ42 təʔ32,tioŋ42 təʔ32,[],,[],,False,False,,1
hakk1236-5-27-1,,hakk1236-5,27,tioŋ42 tsʰeiʔ32,tioŋ42 tsʰeiʔ32,[],,[],,False,False,,1
hakk1236-5-28-1,,hakk1236-5,28,tioŋ42 paʔ32,tioŋ42 paʔ32,[],,[],,False,False,,1
hakk1236-5-29-1,,hakk1236-5,29,tioŋ42 tɕiɤɯ42,tioŋ42 tɕiɤɯ42,[],,[],,False,False,,1
hakk1236-5-30-1,,hakk1236-5,30,sã55 seiʔ35,sã55 seiʔ35,[],,[],,False,False,,1
hakk1236-5-40-1,,hakk1236-5,40,sɿ242 seiʔ35,sɿ242 seiʔ35,[],,[],,False,False,,1
hakk1236-5-50-1,,hakk1236-5,50,ŋ42seiʔ35,ŋ42seiʔ35,[],,[],,False,False,,1
hakk1236-5-60-1,,hakk1236-5,60,təʔ32 seiʔ35,təʔ32 seiʔ35,[],,[],,False,False,,1
hakk1236-5-70-1,,hakk1236-5,70,tsʰeiʔ32 seiʔ35,tsʰeiʔ32 seiʔ35,[],,[],,False,False,,1
hakk1236-5-80-1,,hakk1236-5,80,paʔ32seiʔ35,paʔ32seiʔ35,[],,[],,False,False,,1
hakk1236-5-90-1,,hakk1236-5,90,tɕiɤɯ42 seiʔ35,tɕiɤɯ42 seiʔ35,[],,[],,False,False,,1
hakk1236-5-100-1,,hakk1236-5,100,jiʔ32pɒʔ32,jiʔ32pɒʔ32,[],,[],,False,False,,1
hakk1236-5-200-1,,hakk1236-5,200,tioŋ42pɒʔ32,tioŋ42pɒʔ32,[],,[],,False,False,,1
hakk1236-5-1000-1,,hakk1236-5,1000,jiʔ32 tɕʰĩ55,jiʔ32 tɕʰĩ55,[],,[],,False,False,,1
hakk1236-5-2000-1,,hakk1236-5,2000,tioŋ42 tɕʰĩ55,tioŋ42 tɕʰĩ55,[],,[],,False,False,,1
