ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
narp1239-1-1-1,,narp1239-1,1,kɦrî,kɦrî,[],,[],,False,False,,1
narp1239-1-2-1,,narp1239-1,2,ŋɦî,ŋɦî,[],,[],,False,False,,1
narp1239-1-3-1,,narp1239-1,3,som,som,[],,[],,False,False,,1
narp1239-1-4-1,,narp1239-1,4,pɦlî,pɦlî,[],,[],,False,False,,1
narp1239-1-5-1,,narp1239-1,5,ŋɦæ̂,ŋɦæ̂,[],,[],,False,False,,1
narp1239-1-6-1,,narp1239-1,6,ʈɦûk,ʈɦûk,[],,[],,False,False,,1
narp1239-1-7-1,,narp1239-1,7,ŋi,ŋi,[],,[],,False,False,,1
narp1239-1-8-1,,narp1239-1,8,pɦrê,pɦrê,[],,[],,False,False,,1
narp1239-1-9-1,,narp1239-1,9,ku,ku,[],,[],,False,False,,1
narp1239-1-10-1,,narp1239-1,10,ču,ču,[],,[],,False,False,,1
narp1239-1-11-1,,narp1239-1,11,cûkɦri,cûkɦri,[],,[],,False,False,,1
narp1239-1-12-1,,narp1239-1,12,cûŋɦi,cûŋɦi,[],,[],,False,False,,1
narp1239-1-13-1,,narp1239-1,13,cwɛ̂ysôm,cwɛ̂ysôm,[],,[],,False,False,,1
narp1239-1-14-1,,narp1239-1,14,cûltɛ,cûltɛ,[],,[],,False,False,,1
narp1239-1-14-2,,narp1239-1,14,cûlpɦli,cûlpɦli,[],,[],,False,False,,1
narp1239-1-15-1,,narp1239-1,15,cûŋɦa,cûŋɦa,[],,[],,False,False,,1
narp1239-1-16-1,,narp1239-1,16,cûʈɦuk,cûʈɦuk,[],,[],,False,False,,1
narp1239-1-17-1,,narp1239-1,17,cwɛ̂yŋî,cwɛ̂yŋî,[],,[],,False,False,,1
narp1239-1-18-1,,narp1239-1,18,côpɦre,côpɦre,[],,[],,False,False,,1
narp1239-1-19-1,,narp1239-1,19,cûrku,cûrku,[],,[],,False,False,,1
narp1239-1-20-1,,narp1239-1,20,ŋɦyûšu,ŋɦyûšu,[],,[],,False,False,,1
narp1239-1-21-1,,narp1239-1,21,ŋɦyûšukɦrî,ŋɦyûšukɦrî,[],,[],,False,False,,1
narp1239-1-22-1,,narp1239-1,22,ŋɦyûšuŋɦî,ŋɦyûšuŋɦî,[],,[],,False,False,,1
narp1239-1-23-1,,narp1239-1,23,ŋɦyûšusom,ŋɦyûšusom,[],,[],,False,False,,1
narp1239-1-24-1,,narp1239-1,24,ŋɦyûšupɦlî,ŋɦyûšupɦlî,[],,[],,False,False,,1
narp1239-1-25-1,,narp1239-1,25,ŋɦyûšuŋɦæ̂,ŋɦyûšuŋɦæ̂,[],,[],,False,False,,1
narp1239-1-26-1,,narp1239-1,26,ŋɦyûšuʈɦûk,ŋɦyûšuʈɦûk,[],,[],,False,False,,1
narp1239-1-27-1,,narp1239-1,27,ŋɦyûšuŋi,ŋɦyûšuŋi,[],,[],,False,False,,1
narp1239-1-28-1,,narp1239-1,28,ŋɦyûšupɦrê,ŋɦyûšupɦrê,[],,[],,False,False,,1
narp1239-1-29-1,,narp1239-1,29,ŋɦyûšu ku,ŋɦyûšu ku,[],,[],,False,False,,1
narp1239-1-30-1,,narp1239-1,30,sômču,sômču,[],,[],,False,False,,1
narp1239-1-40-1,,narp1239-1,40,pɦliču,pɦliču,[],,[],,False,False,,1
narp1239-1-50-1,,narp1239-1,50,ŋɦaču,ŋɦaču,[],,[],,False,False,,1
narp1239-1-60-1,,narp1239-1,60,ʈɦukču,ʈɦukču,[],,[],,False,False,,1
narp1239-1-70-1,,narp1239-1,70,ŋîču,ŋîču,[],,[],,False,False,,1
narp1239-1-80-1,,narp1239-1,80,pɦreču,pɦreču,[],,[],,False,False,,1
narp1239-1-90-1,,narp1239-1,90,kûču,kûču,[],,[],,False,False,,1
narp1239-1-100-1,,narp1239-1,100,kɦyæ̂,kɦyæ̂,[],,[],,False,False,,1
narp1239-1-200-1,,narp1239-1,200,ŋɦî kɦyæ̂,ŋɦî kɦyæ̂,[],,[],,False,False,,1
narp1239-1-1000-1,,narp1239-1,1000,ʈoŋʈa,ʈoŋʈa,[],,[],,False,False,,1
