ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
narp1239-1-1,,narp1239,1,kɦrî,kɦrî,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-2-1,,narp1239,2,ŋɦî,ŋɦî,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-3-1,,narp1239,3,som,som,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-4-1,,narp1239,4,pɦlî,pɦlî,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-5-1,,narp1239,5,ŋɦæ̂,ŋɦæ̂,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-6-1,,narp1239,6,ʈɦûk,ʈɦûk,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-7-1,,narp1239,7,ŋi,ŋi,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-8-1,,narp1239,8,pɦrê,pɦrê,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-9-1,,narp1239,9,ku,ku,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-10-1,,narp1239,10,ču,ču,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-11-1,,narp1239,11,cûkɦri,cûkɦri,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-12-1,,narp1239,12,cûŋɦi,cûŋɦi,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-13-1,,narp1239,13,cwɛ̂ysôm,cwɛ̂ysôm,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-14-1,,narp1239,14,cûltɛ,cûltɛ,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-14-2,,narp1239,14,cûlpɦli,cûlpɦli,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-15-1,,narp1239,15,cûŋɦa,cûŋɦa,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-16-1,,narp1239,16,cûʈɦuk,cûʈɦuk,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-17-1,,narp1239,17,cwɛ̂yŋî,cwɛ̂yŋî,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-18-1,,narp1239,18,côpɦre,côpɦre,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-19-1,,narp1239,19,cûrku,cûrku,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-20-1,,narp1239,20,ŋɦyûšu,ŋɦyûšu,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-21-1,,narp1239,21,ŋɦyûšukɦrî,ŋɦyûšukɦrî,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-22-1,,narp1239,22,ŋɦyûšuŋɦî,ŋɦyûšuŋɦî,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-23-1,,narp1239,23,ŋɦyûšusom,ŋɦyûšusom,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-24-1,,narp1239,24,ŋɦyûšupɦlî,ŋɦyûšupɦlî,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-25-1,,narp1239,25,ŋɦyûšuŋɦæ̂,ŋɦyûšuŋɦæ̂,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-26-1,,narp1239,26,ŋɦyûšuʈɦûk,ŋɦyûšuʈɦûk,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-27-1,,narp1239,27,ŋɦyûšuŋi,ŋɦyûšuŋi,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-28-1,,narp1239,28,ŋɦyûšupɦrê,ŋɦyûšupɦrê,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-29-1,,narp1239,29,ŋɦyûšu ku,ŋɦyûšu ku,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-30-1,,narp1239,30,sômču,sômču,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-40-1,,narp1239,40,pɦliču,pɦliču,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-50-1,,narp1239,50,ŋɦaču,ŋɦaču,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-60-1,,narp1239,60,ʈɦukču,ʈɦukču,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-70-1,,narp1239,70,ŋîču,ŋîču,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-80-1,,narp1239,80,pɦreču,pɦreču,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-90-1,,narp1239,90,kûču,kûču,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-100-1,,narp1239,100,kɦyæ̂,kɦyæ̂,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-200-1,,narp1239,200,ŋɦî kɦyæ̂,ŋɦî kɦyæ̂,[],,[],,False,Nar-Phu.htm,False,,1
narp1239-1000-1,,narp1239,1000,ʈoŋʈa,ʈoŋʈa,[],,[],,False,Nar-Phu.htm,False,,1
