ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
rian1262-1-1-1,,rian1262-1,1,(kʰrɔk) ha,(kʰrɔk) ha,[],,[],,False,False,,1
rian1262-1-2-1,,rian1262-1,2,(kʰrɔk) nɔi̯,(kʰrɔk) nɔi̯,[],,[],,False,False,,1
rian1262-1-3-1,,rian1262-1,3,(kʰrɔk) tʰam,(kʰrɔk) tʰam,[],,[],,False,False,,1
rian1262-1-4-1,,rian1262-1,4,(kʰrɔk) brɔi̯,(kʰrɔk) brɔi̯,[],,[],,False,False,,1
rian1262-1-5-1,,rian1262-1,5,(kʰrɔk) ba,(kʰrɔk) ba,[],,[],,False,False,,1
rian1262-1-6-1,,rian1262-1,6,(kʰrɔk) dou̯k,(kʰrɔk) dou̯k,[],,[],,False,False,,1
rian1262-1-7-1,,rian1262-1,7,(kʰrɔk) ʂni,(kʰrɔk) ʂni,[],,[],,False,False,,1
rian1262-1-8-1,,rian1262-1,8,(kʰrɔk) tʃai̯,(kʰrɔk) tʃai̯,[],,[],,False,False,,1
rian1262-1-9-1,,rian1262-1,9,(kʰrɔk) ʂkou̯,(kʰrɔk) ʂkou̯,[],,[],,False,False,,1
rian1262-1-10-1,,rian1262-1,10,(kʰrɔk) tʃi,(kʰrɔk) tʃi,[],,[],,False,False,,1
rian1262-1-11-1,,rian1262-1,11,(kʰrɔk) tʃiʂa,(kʰrɔk) tʃiʂa,[],,[],,False,False,,1
rian1262-1-12-1,,rian1262-1,12,(kʰrɔk) tʃiŋɔi̯,(kʰrɔk) tʃiŋɔi̯,[],,[],,False,False,,1
rian1262-1-13-1,,rian1262-1,13,(kʰrɔk) tʃi tʰam,(kʰrɔk) tʃi tʰam,[],,[],,False,False,,1
rian1262-1-14-1,,rian1262-1,14,(kʰrɔk) tʃi brɔi̯,(kʰrɔk) tʃi brɔi̯,[],,[],,False,False,,1
rian1262-1-15-1,,rian1262-1,15,(kʰrɔk) tʃi ba,(kʰrɔk) tʃi ba,[],,[],,False,False,,1
rian1262-1-16-1,,rian1262-1,16,(kʰrɔk) tʃi dou̯k,(kʰrɔk) tʃi dou̯k,[],,[],,False,False,,1
rian1262-1-17-1,,rian1262-1,17,(kʰrɔk) tʃi ʂni,(kʰrɔk) tʃi ʂni,[],,[],,False,False,,1
rian1262-1-18-1,,rian1262-1,18,(kʰrɔk) tʃi tʃai̯,(kʰrɔk) tʃi tʃai̯,[],,[],,False,False,,1
rian1262-1-19-1,,rian1262-1,19,(kʰrɔk) tʃi ʂkou̯ ???,(kʰrɔk) tʃi ʂkou̯ ???,[],,[],,False,True,,1
rian1262-1-20-1,,rian1262-1,20,(kʰrɔk) kʰɔl,(kʰrɔk) kʰɔl,[],,[],,False,False,,1
rian1262-1-21-1,,rian1262-1,21,(kʰrɔk) kʰɔl ha ???,(kʰrɔk) kʰɔl ha ???,[],,[],,False,True,,1
rian1262-1-22-1,,rian1262-1,22,(kʰrɔk) kʰɔl tʰam,(kʰrɔk) kʰɔl tʰam,[],,[],,False,False,,1
rian1262-1-24-1,,rian1262-1,24,(kʰrɔk) kʰɔl brɔi̯,(kʰrɔk) kʰɔl brɔi̯,[],,[],,False,False,,1
rian1262-1-25-1,,rian1262-1,25,(kʰrɔk) kʰɔl ba,(kʰrɔk) kʰɔl ba,[],,[],,False,False,,1
rian1262-1-26-1,,rian1262-1,26,(kʰrɔk) kʰɔl dou̯k,(kʰrɔk) kʰɔl dou̯k,[],,[],,False,False,,1
rian1262-1-27-1,,rian1262-1,27,(kʰrɔk) kʰɔl ʂni,(kʰrɔk) kʰɔl ʂni,[],,[],,False,False,,1
rian1262-1-28-1,,rian1262-1,28,(kʰrɔk) kʰɔl tʃai̯,(kʰrɔk) kʰɔl tʃai̯,[],,[],,False,False,,1
rian1262-1-29-1,,rian1262-1,29,(kʰrɔk) kʰɔl ʂkou̯,(kʰrɔk) kʰɔl ʂkou̯,[],,[],,False,False,,1
rian1262-1-30-1,,rian1262-1,30,???,???,[],,[],,False,True,,1
rian1262-1-100-1,,rian1262-1,100,ɨrdʒaha,ɨrdʒaha,[],,[],,False,False,,1
rian1262-1-200-1,,rian1262-1,200,???,???,[],,[],,False,True,,1
rian1262-1-1000-1,,rian1262-1,1000,ʂai̯̯ʂa,ʂai̯̯ʂa,[],,[],,False,False,,1
rian1262-1-2000-1,,rian1262-1,2000,???,???,[],,[],,False,True,,1
