ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
tiwa1253-2-1-1,,tiwa1253-2,1,kitsʰa,kitsʰa,[],,['chan2019'],,False,False,,1
tiwa1253-2-2-1,,tiwa1253-2,2,kiniŋ,kiniŋ,[],,['chan2019'],,False,False,,1
tiwa1253-2-3-1,,tiwa1253-2,3,tʰin < three up from Assamese,tʰin < three up from Assamese,[],,['chan2019'],,False,True,,1
tiwa1253-2-4-1,,tiwa1253-2,4,tsʰaɾ,tsʰaɾ,[],,['chan2019'],,False,False,,1
tiwa1253-2-5-1,,tiwa1253-2,5,pʰas,pʰas,[],,['chan2019'],,False,False,,1
tiwa1253-2-6-1,,tiwa1253-2,6,tsʰuj,tsʰuj,[],,['chan2019'],,False,False,,1
tiwa1253-2-7-1,,tiwa1253-2,7,sat,sat,[],,['chan2019'],,False,False,,1
tiwa1253-2-8-1,,tiwa1253-2,8,ãt,ãt,[],,['chan2019'],,False,False,,1
tiwa1253-2-9-1,,tiwa1253-2,9,nu,nu,[],,['chan2019'],,False,False,,1
tiwa1253-2-10-1,,tiwa1253-2,10,tɔs,tɔs,[],,['chan2019'],,False,False,,1
tiwa1253-2-11-1,,tiwa1253-2,11,iɡaɾɔ,iɡaɾɔ,[],,['chan2019'],,False,False,,1
tiwa1253-2-12-1,,tiwa1253-2,12,baɾɔ,baɾɔ,[],,['chan2019'],,False,False,,1
tiwa1253-2-13-1,,tiwa1253-2,13,tʰɛɾɔ,tʰɛɾɔ,[],,['chan2019'],,False,False,,1
tiwa1253-2-14-1,,tiwa1253-2,14,tsʰuidɔ,tsʰuidɔ,[],,['chan2019'],,False,False,,1
tiwa1253-2-15-1,,tiwa1253-2,15,pʰɔndɾɔ,pʰɔndɾɔ,[],,['chan2019'],,False,False,,1
tiwa1253-2-16-1,,tiwa1253-2,16,sɔllɔ,sɔllɔ,[],,['chan2019'],,False,False,,1
tiwa1253-2-17-1,,tiwa1253-2,17,satʰaɾɔ,satʰaɾɔ,[],,['chan2019'],,False,False,,1
tiwa1253-2-18-1,,tiwa1253-2,18,atʰaɾɔ,atʰaɾɔ,[],,['chan2019'],,False,False,,1
tiwa1253-2-19-1,,tiwa1253-2,19,unnis,unnis,[],,['chan2019'],,False,False,,1
tiwa1253-2-20-1,,tiwa1253-2,20,ikʰuɾi,ikʰuɾi,[],,['chan2019'],,False,False,,1
tiwa1253-2-21-1,,tiwa1253-2,21,ikʰuɾi kitsʰa,ikʰuɾi kitsʰa,[],,['chan2019'],,False,False,,1
tiwa1253-2-22-1,,tiwa1253-2,22,ikʰuɾi tʰin,ikʰuɾi tʰin,[],,['chan2019'],,False,False,,1
tiwa1253-2-24-1,,tiwa1253-2,24,ikʰuɾi tsʰaɾ,ikʰuɾi tsʰaɾ,[],,['chan2019'],,False,False,,1
tiwa1253-2-25-1,,tiwa1253-2,25,ikʰuɾi pʰas,ikʰuɾi pʰas,[],,['chan2019'],,False,False,,1
tiwa1253-2-26-1,,tiwa1253-2,26,ikʰuɾi tsʰuj,ikʰuɾi tsʰuj,[],,['chan2019'],,False,False,,1
tiwa1253-2-27-1,,tiwa1253-2,27,ikʰuɾi sat,ikʰuɾi sat,[],,['chan2019'],,False,False,,1
tiwa1253-2-28-1,,tiwa1253-2,28,ikʰuɾi ãt,ikʰuɾi ãt,[],,['chan2019'],,False,False,,1
tiwa1253-2-29-1,,tiwa1253-2,29,ikʰuɾi nu,ikʰuɾi nu,[],,['chan2019'],,False,False,,1
tiwa1253-2-30-1,,tiwa1253-2,30,ikʰuɾi tɔs,ikʰuɾi tɔs,[],( 20 + 10),['chan2019'],,False,False,,1
tiwa1253-2-40-1,,tiwa1253-2,40,tikʰuɾi,tikʰuɾi,[],( 2 x 20 ),['chan2019'],,False,False,,1
tiwa1253-2-50-1,,tiwa1253-2,50,tikʰuɾi tɔs,tikʰuɾi tɔs,[],,['chan2019'],,False,False,,1
tiwa1253-2-60-1,,tiwa1253-2,60,tʰin ikʰuɾi,tʰin ikʰuɾi,[],( 3 x 20 ),['chan2019'],,False,False,,1
tiwa1253-2-70-1,,tiwa1253-2,70,tʰin ikʰuɾi tɔs,tʰin ikʰuɾi tɔs,[],,['chan2019'],,False,False,,1
tiwa1253-2-80-1,,tiwa1253-2,80,tsʰaɾ ikʰuɾi,tsʰaɾ ikʰuɾi,[],( 4 x 20 ),['chan2019'],,False,False,,1
tiwa1253-2-90-1,,tiwa1253-2,90,tsʰaɾ ikʰuɾi tɔs,tsʰaɾ ikʰuɾi tɔs,[],,['chan2019'],,False,False,,1
tiwa1253-2-100-1,,tiwa1253-2,100,pʰas kʰuɾi,pʰas kʰuɾi,[],( 5 x 20 ),['chan2019'],,False,False,,1
tiwa1253-2-200-1,,tiwa1253-2,200,tɔs kʰuɾi,tɔs kʰuɾi,[],( 10 x 20 ),['chan2019'],,False,False,,1
tiwa1253-2-1000-1,,tiwa1253-2,1000,hadʒaɾ,hadʒaɾ,[],< Indic language ,['chan2019'],,True,False,,1
tiwa1253-2-2000-1,,tiwa1253-2,2000,ti hadʒaɾ,ti hadʒaɾ,[],,['chan2019'],,False,False,,1
