ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
jiam1236-8-1-1,,jiam1236-8,1,tsʰej³,tsʰej³,[],,[],,False,False,,1
jiam1236-8-1-2,,jiam1236-8,1,tsɯ³,tsɯ³,[],,[],,False,False,,1
jiam1236-8-2-1,,jiam1236-8,2,ɬaw³,ɬaw³,[],,[],,False,False,,1
jiam1236-8-3-1,,jiam1236-8,3,fuː³,fuː³,[],,[],,False,False,,1
jiam1236-8-4-1,,jiam1236-8,4,tsʰoː³,tsʰoː³,[],,[],,False,False,,1
jiam1236-8-5-1,,jiam1236-8,5,paː¹,paː¹,[],,[],,False,False,,1
jiam1236-8-6-1,,jiam1236-8,6,tom¹,tom¹,[],,[],,False,False,,1
jiam1236-8-7-1,,jiam1236-8,7,tʰow¹,tʰow¹,[],,[],,False,False,,1
jiam1236-8-8-1,,jiam1236-8,8,xow4,xow4,[],,[],,False,False,,1
jiam1236-8-9-1,,jiam1236-8,9,ɣəɰ³,ɣəɰ³,[],,[],,False,False,,1
jiam1236-8-10-1,,jiam1236-8,10,fut⁷,fut⁷,[],,[],,False,False,,1
jiam1236-8-11-1,,jiam1236-8,11,fut⁷ tsʰej³,fut⁷ tsʰej³,[],,[],,False,False,,1
jiam1236-8-12-1,,jiam1236-8,12,fut⁷ ɬaw³,fut⁷ ɬaw³,[],,[],,False,False,,1
jiam1236-8-13-1,,jiam1236-8,13,fut⁷ fuː³,fut⁷ fuː³,[],,[],,False,False,,1
jiam1236-8-14-1,,jiam1236-8,14,fut⁷ tsʰoː³,fut⁷ tsʰoː³,[],,[],,False,False,,1
jiam1236-8-15-1,,jiam1236-8,15,fut⁷ paː¹,fut⁷ paː¹,[],,[],,False,False,,1
jiam1236-8-16-1,,jiam1236-8,16,fut⁷ tom¹,fut⁷ tom¹,[],,[],,False,False,,1
jiam1236-8-17-1,,jiam1236-8,17,fut⁷ tʰow¹,fut⁷ tʰow¹,[],,[],,False,False,,1
jiam1236-8-18-1,,jiam1236-8,18,fut⁷ xow4,fut⁷ xow4,[],,[],,False,False,,1
jiam1236-8-19-1,,jiam1236-8,19,fut⁷ ɣəɰ³,fut⁷ ɣəɰ³,[],,[],,False,False,,1
jiam1236-8-20-1,,jiam1236-8,20,ɬaw³ fut⁷,ɬaw³ fut⁷,[],,[],,False,False,,1
jiam1236-8-21-1,,jiam1236-8,21,ɬaw³ fut⁷ tsʰej³,ɬaw³ fut⁷ tsʰej³,[],,[],,False,False,,1
jiam1236-8-22-1,,jiam1236-8,22,ɬaw³ fut⁷ ɬaw³,ɬaw³ fut⁷ ɬaw³,[],,[],,False,False,,1
jiam1236-8-23-1,,jiam1236-8,23,ɬaw³ fut⁷ fuː³,ɬaw³ fut⁷ fuː³,[],,[],,False,False,,1
jiam1236-8-24-1,,jiam1236-8,24,ɬaw³ fut⁷ tsʰoː³,ɬaw³ fut⁷ tsʰoː³,[],,[],,False,False,,1
jiam1236-8-25-1,,jiam1236-8,25,ɬaw³ fut⁷ paː¹,ɬaw³ fut⁷ paː¹,[],,[],,False,False,,1
jiam1236-8-26-1,,jiam1236-8,26,ɬaw³ fut⁷ tom¹,ɬaw³ fut⁷ tom¹,[],,[],,False,False,,1
jiam1236-8-27-1,,jiam1236-8,27,ɬaw³ fut⁷ tʰow¹,ɬaw³ fut⁷ tʰow¹,[],,[],,False,False,,1
jiam1236-8-28-1,,jiam1236-8,28,ɬaw³ fut⁷ xow4,ɬaw³ fut⁷ xow4,[],,[],,False,False,,1
jiam1236-8-29-1,,jiam1236-8,29,ɬaw³ fut⁷ ɣəɰ³,ɬaw³ fut⁷ ɣəɰ³,[],,[],,False,False,,1
jiam1236-8-30-1,,jiam1236-8,30,fuː³ fut⁷,fuː³ fut⁷,[],,[],,False,False,,1
jiam1236-8-40-1,,jiam1236-8,40,tsʰoː³ fut⁷,tsʰoː³ fut⁷,[],,[],,False,False,,1
jiam1236-8-50-1,,jiam1236-8,50,paː¹ fut⁷,paː¹ fut⁷,[],,[],,False,False,,1
jiam1236-8-60-1,,jiam1236-8,60,tom¹ fut⁷,tom¹ fut⁷,[],,[],,False,False,,1
jiam1236-8-70-1,,jiam1236-8,70,tʰow¹fut⁷,tʰow¹fut⁷,[],,[],,False,False,,1
jiam1236-8-80-1,,jiam1236-8,80,xow4 fut⁷,xow4 fut⁷,[],,[],,False,False,,1
jiam1236-8-90-1,,jiam1236-8,90,ɣəɰ³ fut⁷,ɣəɰ³ fut⁷,[],,[],,False,False,,1
jiam1236-8-100-1,,jiam1236-8,100,tsɯ³ ɣaːŋ4,tsɯ³ ɣaːŋ4,[],,[],,False,False,,1
jiam1236-8-200-1,,jiam1236-8,200,ɬaw³ ɣaːŋ4,ɬaw³ ɣaːŋ4,[],,[],,False,False,,1
jiam1236-8-1000-1,,jiam1236-8,1000,tsɯ³ ŋen¹,tsɯ³ ŋen¹,[],,[],,False,False,,1
jiam1236-8-2000-1,,jiam1236-8,2000,ɬaw³ ŋen¹,ɬaw³ ŋen¹,[],,[],,False,False,,1
