ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
gaga1249-1-1-1,,gaga1249-1,1,bir,bir,[],,[],,False,False,,1
gaga1249-1-2-1,,gaga1249-1,2,ici,ici,[],,[],,False,False,,1
gaga1249-1-3-1,,gaga1249-1,3,ytʃ,ytʃ,[],,[],,False,False,,1
gaga1249-1-4-1,,gaga1249-1,4,døɾt,døɾt,[],,[],,False,False,,1
gaga1249-1-5-1,,gaga1249-1,5,beʃ,beʃ,[],,[],,False,False,,1
gaga1249-1-6-1,,gaga1249-1,6,altɯ,altɯ,[],,[],,False,False,,1
gaga1249-1-7-1,,gaga1249-1,7,jedi,jedi,[],,[],,False,False,,1
gaga1249-1-8-1,,gaga1249-1,8,seciz,seciz,[],,[],,False,False,,1
gaga1249-1-9-1,,gaga1249-1,9,dokuz,dokuz,[],,[],,False,False,,1
gaga1249-1-10-1,,gaga1249-1,10,ᵘon,ᵘon,[],,[],,False,False,,1
gaga1249-1-11-1,,gaga1249-1,11,ᵘon bir,ᵘon bir,[],,[],,False,False,,1
gaga1249-1-12-1,,gaga1249-1,12,ᵘon ici,ᵘon ici,[],,[],,False,False,,1
gaga1249-1-13-1,,gaga1249-1,13,ᵘon ytʃ,ᵘon ytʃ,[],,[],,False,False,,1
gaga1249-1-14-1,,gaga1249-1,14,ᵘon dørt,ᵘon dørt,[],,[],,False,False,,1
gaga1249-1-15-1,,gaga1249-1,15,ᵘon beʃ,ᵘon beʃ,[],,[],,False,False,,1
gaga1249-1-16-1,,gaga1249-1,16,ᵘon altɯ,ᵘon altɯ,[],,[],,False,False,,1
gaga1249-1-17-1,,gaga1249-1,17,ᵘon jedi,ᵘon jedi,[],,[],,False,False,,1
gaga1249-1-18-1,,gaga1249-1,18,ᵘon seciz,ᵘon seciz,[],,[],,False,False,,1
gaga1249-1-19-1,,gaga1249-1,19,ᵘon dokuz,ᵘon dokuz,[],,[],,False,False,,1
gaga1249-1-20-1,,gaga1249-1,20,jiɾmi,jiɾmi,[],,[],,False,False,,1
gaga1249-1-21-1,,gaga1249-1,21,jiɾmi bir,jiɾmi bir,[],,[],,False,False,,1
gaga1249-1-22-1,,gaga1249-1,22,jiɾmi ici,jiɾmi ici,[],,[],,False,False,,1
gaga1249-1-23-1,,gaga1249-1,23,jiɾmi ytʃ,jiɾmi ytʃ,[],,[],,False,False,,1
gaga1249-1-24-1,,gaga1249-1,24,jiɾmi dørt,jiɾmi dørt,[],,[],,False,False,,1
gaga1249-1-25-1,,gaga1249-1,25,jiɾmi beʃ,jiɾmi beʃ,[],,[],,False,False,,1
gaga1249-1-26-1,,gaga1249-1,26,jiɾmi altɯ,jiɾmi altɯ,[],,[],,False,False,,1
gaga1249-1-27-1,,gaga1249-1,27,jiɾmi jedi,jiɾmi jedi,[],,[],,False,False,,1
gaga1249-1-28-1,,gaga1249-1,28,jiɾmi seciz,jiɾmi seciz,[],,[],,False,False,,1
gaga1249-1-29-1,,gaga1249-1,29,jiɾmi dokuz,jiɾmi dokuz,[],,[],,False,False,,1
gaga1249-1-30-1,,gaga1249-1,30,ᵘotuz,ᵘotuz,[],,[],,False,False,,1
gaga1249-1-40-1,,gaga1249-1,40,kɯɾk,kɯɾk,[],,[],,False,False,,1
gaga1249-1-50-1,,gaga1249-1,50,jelli,jelli,[],,[],,False,False,,1
gaga1249-1-60-1,,gaga1249-1,60,altmɪʃ,altmɪʃ,[],,[],,False,False,,1
gaga1249-1-70-1,,gaga1249-1,70,jetmiʃ,jetmiʃ,[],,[],,False,False,,1
gaga1249-1-80-1,,gaga1249-1,80,secsen,secsen,[],,[],,False,False,,1
gaga1249-1-90-1,,gaga1249-1,90,doksan,doksan,[],,[],,False,False,,1
gaga1249-1-100-1,,gaga1249-1,100,jyz,jyz,[],,[],,False,False,,1
gaga1249-1-200-1,,gaga1249-1,200,icijyz,icijyz,[],,[],,False,False,,1
gaga1249-1-1000-1,,gaga1249-1,1000,bin,bin,[],,[],,False,False,,1
gaga1249-1-2000-1,,gaga1249-1,2000,icibin,icibin,[],,[],,False,False,,1
