ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kare1335-1-1-1,,kare1335-1,1,yksʲi,yksʲi,[],,['chan2019'],,False,False,,1
kare1335-1-2-1,,kare1335-1,2,kakʃi,kakʃi,[],,['chan2019'],,False,False,,1
kare1335-1-3-1,,kare1335-1,3,kolme,kolme,[],,['chan2019'],,False,False,,1
kare1335-1-4-1,,kare1335-1,4,nʲeljːæ,nʲeljːæ,[],,['chan2019'],,False,False,,1
kare1335-1-5-1,,kare1335-1,5,viːzʲi,viːzʲi,[],,['chan2019'],,False,False,,1
kare1335-1-6-1,,kare1335-1,6,kuːʒi,kuːʒi,[],,['chan2019'],,False,False,,1
kare1335-1-7-1,,kare1335-1,7,ʃeitʲːʃʲimen,ʃeitʲːʃʲimen,[],,['chan2019'],,False,False,,1
kare1335-1-8-1,,kare1335-1,8,kahekʃan,kahekʃan,[],,['chan2019'],,False,False,,1
kare1335-1-9-1,,kare1335-1,9,yhekʃæn,yhekʃæn,[],,['chan2019'],,False,False,,1
kare1335-1-10-1,,kare1335-1,10,kymːenen,kymːenen,[],,['chan2019'],,False,False,,1
kare1335-1-11-1,,kare1335-1,11,yksʲitoista,yksʲitoista,[],(kymːenʲdʲæ),['chan2019'],,False,False,,1
kare1335-1-12-1,,kare1335-1,12,kakʃitoista,kakʃitoista,[],(kymːenʲdʲæ),['chan2019'],,False,False,,1
kare1335-1-13-1,,kare1335-1,13,kolmetoista,kolmetoista,[],(kymːenʲdʲæ),['chan2019'],,False,False,,1
kare1335-1-14-1,,kare1335-1,14,nʲeljːætoista,nʲeljːætoista,[],(kymːenʲdʲæ),['chan2019'],,False,False,,1
kare1335-1-15-1,,kare1335-1,15,viːzʲitoista,viːzʲitoista,[],(kymːenʲdʲæ),['chan2019'],,False,False,,1
kare1335-1-16-1,,kare1335-1,16,kuːʒitoista,kuːʒitoista,[],(kymːenʲdʲæ),['chan2019'],,False,False,,1
kare1335-1-17-1,,kare1335-1,17,ʃeitʲːʃʲimentoista,ʃeitʲːʃʲimentoista,[],(kymːenʲdʲæ),['chan2019'],,False,False,,1
kare1335-1-18-1,,kare1335-1,18,kahekʃantoista,kahekʃantoista,[],(kymːenʲdʲæ),['chan2019'],,False,False,,1
kare1335-1-19-1,,kare1335-1,19,yhekʃæntoista,yhekʃæntoista,[],(kymːenʲdʲæ),['chan2019'],,False,False,,1
kare1335-1-20-1,,kare1335-1,20,kakʃikymːenʲdʲæ,kakʃikymːenʲdʲæ,[],,['chan2019'],,False,False,,1
kare1335-1-21-1,,kare1335-1,21,kakʃikymːenʲdʲæ yksʲi,kakʃikymːenʲdʲæ yksʲi,[],,['chan2019'],,False,False,,1
kare1335-1-22-1,,kare1335-1,22,kakʃikymːenʲdʲæ kakʃi,kakʃikymːenʲdʲæ kakʃi,[],,['chan2019'],,False,False,,1
kare1335-1-23-1,,kare1335-1,23,kakʃikymːenʲdʲæ kolme,kakʃikymːenʲdʲæ kolme,[],,['chan2019'],,False,False,,1
kare1335-1-24-1,,kare1335-1,24,kakʃikymːenʲdʲæ nʲeljːæ,kakʃikymːenʲdʲæ nʲeljːæ,[],,['chan2019'],,False,False,,1
kare1335-1-25-1,,kare1335-1,25,kakʃikymːenʲdʲæ viːzʲi,kakʃikymːenʲdʲæ viːzʲi,[],,['chan2019'],,False,False,,1
kare1335-1-26-1,,kare1335-1,26,kakʃikymːenʲdʲæ kuːʒi̥,kakʃikymːenʲdʲæ kuːʒi̥,[],,['chan2019'],,False,False,,1
kare1335-1-27-1,,kare1335-1,27,kakʃikymːenʲdʲæ ʃeitʲːʃʲimen,kakʃikymːenʲdʲæ ʃeitʲːʃʲimen,[],,['chan2019'],,False,False,,1
kare1335-1-28-1,,kare1335-1,28,kakʃikymːenʲdʲæ kahekʃan,kakʃikymːenʲdʲæ kahekʃan,[],,['chan2019'],,False,False,,1
kare1335-1-29-1,,kare1335-1,29,kakʃikymːenʲdʲæ yhekʃæn,kakʃikymːenʲdʲæ yhekʃæn,[],,['chan2019'],,False,False,,1
kare1335-1-30-1,,kare1335-1,30,kolmekymːenʲdʲæ,kolmekymːenʲdʲæ,[],,['chan2019'],,False,False,,1
kare1335-1-40-1,,kare1335-1,40,nʲeljːækymːenʲdʲæ,nʲeljːækymːenʲdʲæ,[],,['chan2019'],,False,False,,1
kare1335-1-50-1,,kare1335-1,50,viːzʲikymːenʲdʲæ,viːzʲikymːenʲdʲæ,[],,['chan2019'],,False,False,,1
kare1335-1-60-1,,kare1335-1,60,kuːʒikymːenʲdʲæ,kuːʒikymːenʲdʲæ,[],,['chan2019'],,False,False,,1
kare1335-1-70-1,,kare1335-1,70,ʃeitʲːʃʲimenkymːenʲdʲæ,ʃeitʲːʃʲimenkymːenʲdʲæ,[],,['chan2019'],,False,False,,1
kare1335-1-80-1,,kare1335-1,80,kahekʃankymːenʲdʲæ,kahekʃankymːenʲdʲæ,[],,['chan2019'],,False,False,,1
kare1335-1-90-1,,kare1335-1,90,yhekʃænkymːenʲdʲæ,yhekʃænkymːenʲdʲæ,[],,['chan2019'],,False,False,,1
kare1335-1-100-1,,kare1335-1,100,ʃada,ʃada,[],,['chan2019'],,False,False,,1
kare1335-1-200-1,,kare1335-1,200,kakʃiʃada,kakʃiʃada,[],,['chan2019'],,False,False,,1
kare1335-1-1000-1,,kare1335-1,1000,tuhatːa,tuhatːa,[],,['chan2019'],,False,False,,1
kare1335-1-2000-1,,kare1335-1,2000,kakʃtuhatːa,kakʃtuhatːa,[],,['chan2019'],,False,False,,1
