ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
alur1250-1-1-1,,alur1250-1,1,àcìɛ̄l,àcìɛ̄l,[],,['chan2019'],,False,False,,1
alur1250-1-2-1,,alur1250-1,2,àríɔ̀,àríɔ̀,[],,['chan2019'],,False,False,,1
alur1250-1-3-1,,alur1250-1,3,àdék,àdék,[],,['chan2019'],,False,False,,1
alur1250-1-4-1,,alur1250-1,4,àŋùén,àŋùén,[],,['chan2019'],,False,False,,1
alur1250-1-5-1,,alur1250-1,5,àbîc,àbîc,[],,['chan2019'],,False,False,,1
alur1250-1-6-1,,alur1250-1,6,àbúcìɛ̀l,àbúcìɛ̀l,[],( 5+ 1 ),['chan2019'],,False,False,,1
alur1250-1-7-1,,alur1250-1,7,àbírɔ́,àbírɔ́,[],( 5+ 2 ),['chan2019'],,False,False,,1
alur1250-1-8-1,,alur1250-1,8,àboônà,àboônà,[],( 5+ 3 ),['chan2019'],,False,False,,1
alur1250-1-9-1,,alur1250-1,9,àbúŋwɛ̄ɛ̄n,àbúŋwɛ̄ɛ̄n,[],( 5+ 4 ),['chan2019'],,False,False,,1
alur1250-1-10-1,,alur1250-1,10,àpáàr,àpáàr,[],,['chan2019'],,False,False,,1
alur1250-1-11-1,,alur1250-1,11,àpáàr àcìɛ̄l,àpáàr àcìɛ̄l,[],,['chan2019'],,False,False,,1
alur1250-1-12-1,,alur1250-1,12,àpáàr àríɔ̀,àpáàr àríɔ̀,[],,['chan2019'],,False,False,,1
alur1250-1-13-1,,alur1250-1,13,àpáàr àdék,àpáàr àdék,[],,['chan2019'],,False,False,,1
alur1250-1-14-1,,alur1250-1,14,àpáàr àŋùén,àpáàr àŋùén,[],,['chan2019'],,False,False,,1
alur1250-1-15-1,,alur1250-1,15,àpáàr àbîc,àpáàr àbîc,[],,['chan2019'],,False,False,,1
alur1250-1-16-1,,alur1250-1,16,àpáàr àbúcìɛ̀l,àpáàr àbúcìɛ̀l,[],,['chan2019'],,False,False,,1
alur1250-1-17-1,,alur1250-1,17,àpáàr àbírɔ́,àpáàr àbírɔ́,[],,['chan2019'],,False,False,,1
alur1250-1-18-1,,alur1250-1,18,àpáàr àboônà,àpáàr àboônà,[],,['chan2019'],,False,False,,1
alur1250-1-19-1,,alur1250-1,19,àpáàr àbúŋwɛ̄ɛ̄n,àpáàr àbúŋwɛ̄ɛ̄n,[],,['chan2019'],,False,False,,1
alur1250-1-20-1,,alur1250-1,20,pìēēr àríɔ̀,pìēēr àríɔ̀,[],,['chan2019'],,False,False,,1
alur1250-1-21-1,,alur1250-1,21,pìēēr àríɔ̀ wí àcìɛ̄l,pìēēr àríɔ̀ wí àcìɛ̄l,[],,['chan2019'],,False,False,,1
alur1250-1-22-1,,alur1250-1,22,pìēēr àríɔ̀ wí àríɔ̀,pìēēr àríɔ̀ wí àríɔ̀,[],,['chan2019'],,False,False,,1
alur1250-1-23-1,,alur1250-1,23,pìēēr àríɔ̀ wí àdék,pìēēr àríɔ̀ wí àdék,[],,['chan2019'],,False,False,,1
alur1250-1-24-1,,alur1250-1,24,pìēēr àríɔ̀ wí àŋùén,pìēēr àríɔ̀ wí àŋùén,[],,['chan2019'],,False,False,,1
alur1250-1-25-1,,alur1250-1,25,pìēēr àríɔ̀ wí àbîc,pìēēr àríɔ̀ wí àbîc,[],,['chan2019'],,False,False,,1
alur1250-1-26-1,,alur1250-1,26,pìēēr àríɔ̀ wí àbúcìɛ̀l,pìēēr àríɔ̀ wí àbúcìɛ̀l,[],,['chan2019'],,False,False,,1
alur1250-1-27-1,,alur1250-1,27,pìēēr àríɔ̀ wí àbírɔàbírɔ,pìēēr àríɔ̀ wí àbírɔàbírɔ,[],,['chan2019'],,False,False,,1
alur1250-1-28-1,,alur1250-1,28,pìēēr àríɔ̀ wí àboônà,pìēēr àríɔ̀ wí àboônà,[],,['chan2019'],,False,False,,1
alur1250-1-29-1,,alur1250-1,29,pìēēr àríɔ̀ wí àbúŋwɛ̄ɛ̄n,pìēēr àríɔ̀ wí àbúŋwɛ̄ɛ̄n,[],,['chan2019'],,False,False,,1
alur1250-1-30-1,,alur1250-1,30,pìēēr àdék,pìēēr àdék,[],,['chan2019'],,False,False,,1
alur1250-1-40-1,,alur1250-1,40,pìēēr àŋùén,pìēēr àŋùén,[],,['chan2019'],,False,False,,1
alur1250-1-50-1,,alur1250-1,50,pìēēr àbîc,pìēēr àbîc,[],,['chan2019'],,False,False,,1
alur1250-1-60-1,,alur1250-1,60,pìēēr àbúcìɛ̀l,pìēēr àbúcìɛ̀l,[],,['chan2019'],,False,False,,1
alur1250-1-70-1,,alur1250-1,70,pìēēr àbírɔ́,pìēēr àbírɔ́,[],,['chan2019'],,False,False,,1
alur1250-1-80-1,,alur1250-1,80,pìēēr àboônà,pìēēr àboônà,[],,['chan2019'],,False,False,,1
alur1250-1-90-1,,alur1250-1,90,pìēēr àbúŋwɛ̄ɛ̄n,pìēēr àbúŋwɛ̄ɛ̄n,[],,['chan2019'],,False,False,,1
alur1250-1-100-1,,alur1250-1,100,dàk àcìɛ̄l,dàk àcìɛ̄l,[],,['chan2019'],,False,False,,1
alur1250-1-200-1,,alur1250-1,200,dàk àríɔ̀,dàk àríɔ̀,[],,['chan2019'],,False,False,,1
alur1250-1-1000-1,,alur1250-1,1000,ílíifú àcìɛ̄l,ílíifú àcìɛ̄l,[],( < Swahili / Arabic ),['chan2019'],,True,False,,1
