ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
alut1245-1-1-1,,alut1245-1,1,ənnan,ənnan,[],,['chan2019'],,False,False,,1
alut1245-1-2-1,,alut1245-1,2,ŋitaq,ŋitaq,[],,['chan2019'],,False,False,,1
alut1245-1-3-1,,alut1245-1,3,ŋəruqqə,ŋəruqqə,[],,['chan2019'],,False,False,,1
alut1245-1-4-1,,alut1245-1,4,ŋəraqqə,ŋəraqqə,[],,['chan2019'],,False,False,,1
alut1245-1-5-1,,alut1245-1,5,məlləŋən,məlləŋən,[],,['chan2019'],,False,False,,1
alut1245-1-6-1,,alut1245-1,6,ənnanməlləŋən,ənnanməlləŋən,[],( 1 + 5 ),['chan2019'],,False,False,,1
alut1245-1-7-1,,alut1245-1,7,ŋitaqməlləŋən,ŋitaqməlləŋən,[],( 2 + 5 ),['chan2019'],,False,False,,1
alut1245-1-8-1,,alut1245-1,8,ŋəruqməlləŋən,ŋəruqməlləŋən,[],( 3 + 5 ),['chan2019'],,False,False,,1
alut1245-1-9-1,,alut1245-1,9,ŋəraqməlləŋən,ŋəraqməlləŋən,[],( 4 + 5 ),['chan2019'],,False,False,,1
alut1245-1-10-1,,alut1245-1,10,mənɣəkin,mənɣəkin,[],,['chan2019'],,False,False,,1
alut1245-1-11-1,,alut1245-1,11,mənɣətək ənnan,mənɣətək ənnan,[],(ɣapasus/pasus ),['chan2019'],,False,False,,1
alut1245-1-12-1,,alut1245-1,12,mənɣətək ŋitaq,mənɣətək ŋitaq,[],(ɣapasus/pasus ),['chan2019'],,False,False,,1
alut1245-1-13-1,,alut1245-1,13,mənɣətək ŋəruqqə,mənɣətək ŋəruqqə,[],(... //...),['chan2019'],,False,False,,1
alut1245-1-14-1,,alut1245-1,14,mənɣətək ŋəraqqə,mənɣətək ŋəraqqə,[],(... //...),['chan2019'],,False,False,,1
alut1245-1-15-1,,alut1245-1,15,mənɣətək məlləŋən,mənɣətək məlləŋən,[],(... //...),['chan2019'],,False,False,,1
alut1245-1-16-1,,alut1245-1,16,mənɣətək ənnanməlləŋən,mənɣətək ənnanməlləŋən,[],(... //...),['chan2019'],,False,False,,1
alut1245-1-17-1,,alut1245-1,17,mənɣətəkŋitaqməlləŋən,mənɣətəkŋitaqməlləŋən,[],(... //...),['chan2019'],,False,False,,1
alut1245-1-18-1,,alut1245-1,18,mənɣətək ŋəruqməlləŋən,mənɣətək ŋəruqməlləŋən,[],(... //...),['chan2019'],,False,False,,1
alut1245-1-19-1,,alut1245-1,19,mənɣətəkŋəraqməlləŋən,mənɣətəkŋəraqməlləŋən,[],(... //...),['chan2019'],,False,False,,1
alut1245-1-20-1,,alut1245-1,20,qəlikkə,qəlikkə,[],,['chan2019'],,False,False,,1
alut1245-1-21-1,,alut1245-1,21,qəlikək ənnan,qəlikək ənnan,[],,['chan2019'],,False,False,,1
alut1245-1-22-1,,alut1245-1,22,qəlikək ŋitaq,qəlikək ŋitaq,[],,['chan2019'],,False,False,,1
alut1245-1-23-1,,alut1245-1,23,qəlikək ŋəruqqə,qəlikək ŋəruqqə,[],,['chan2019'],,False,False,,1
