ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
cahu1264-1-1-1,,cahu1264-1,1,suʎi,suʎi,[],,['chan2019'],,False,False,suplli,1
cahu1264-1-2-1,,cahu1264-1,2,wih,wih,[],,['chan2019'],,False,False,,1
cahu1264-1-3-1,,cahu1264-1,3,pah,pah,[],,['chan2019'],,False,False,,1
cahu1264-1-4-1,,cahu1264-1,4,witʃiw,witʃiw,[],,['chan2019'],,False,False,wichiw,1
cahu1264-1-5-1,,cahu1264-1,5,nema kwanang,nema kwanang,[],('half of set of hands'),['chan2019'],,False,False,,1
cahu1264-1-6-1,,cahu1264-1,6,kwan suplli,kwan suplli,[],,['chan2019'],,False,False,,1
cahu1264-1-7-1,,cahu1264-1,7,kwan wih,kwan wih,[],,['chan2019'],,False,False,,1
cahu1264-1-8-1,,cahu1264-1,8,kwan pah,kwan pah,[],,['chan2019'],,False,False,,1
cahu1264-1-9-1,,cahu1264-1,9,kwan wichiw,kwan wichiw,[],,['chan2019'],,False,False,,1
cahu1264-1-10-1,,cahu1264-1,10,nema chumi,nema chumi,[],('complete set of hands'),['chan2019'],,False,False,,1
cahu1264-1-11-1,,cahu1264-1,11,nema chumi peta suplli,nema chumi peta suplli,[],,['chan2019'],,False,False,,1
cahu1264-1-12-1,,cahu1264-1,12,nema chumi peta wih,nema chumi peta wih,[],,['chan2019'],,False,False,,1
cahu1264-1-13-1,,cahu1264-1,13,nema chumi peta pah,nema chumi peta pah,[],,['chan2019'],,False,False,,1
cahu1264-1-14-1,,cahu1264-1,14,nema chumi peta wichiw,nema chumi peta wichiw,[],,['chan2019'],,False,False,,1
cahu1264-1-15-1,,cahu1264-1,15,nema chumi peta nema kwanang,nema chumi peta nema kwanang,[],,['chan2019'],,False,False,,1
cahu1264-1-16-1,,cahu1264-1,16,nema chumi peta nema kwan suplli,nema chumi peta nema kwan suplli,[],,['chan2019'],,False,False,,1
cahu1264-1-17-1,,cahu1264-1,17,nema chumi peta nema kwan wih,nema chumi peta nema kwan wih,[],,['chan2019'],,False,False,,1
cahu1264-1-18-1,,cahu1264-1,18,nema chumi peta nema kwan pah,nema chumi peta nema kwan pah,[],,['chan2019'],,False,False,,1
cahu1264-1-19-1,,cahu1264-1,19,nema chumi peta nema kw. wichiw,nema chumi peta nema kw. wichiw,[],,['chan2019'],,False,True,,1
cahu1264-1-20-1,,cahu1264-1,20,wis nema chumi,wis nema chumi,[],,['chan2019'],,False,False,,1
cahu1264-1-21-1,,cahu1264-1,21,wis nema chumi peta suplli,wis nema chumi peta suplli,[],,['chan2019'],,False,False,,1
cahu1264-1-22-1,,cahu1264-1,22,wis nema chumi peta wih,wis nema chumi peta wih,[],,['chan2019'],,False,False,,1
cahu1264-1-23-1,,cahu1264-1,23,wis nema chumi peta pah,wis nema chumi peta pah,[],,['chan2019'],,False,False,,1
cahu1264-1-24-1,,cahu1264-1,24,wis nema chumi peta wichiw,wis nema chumi peta wichiw,[],,['chan2019'],,False,False,,1
cahu1264-1-25-1,,cahu1264-1,25,wis nema chumi peta nema kwanang,wis nema chumi peta nema kwanang,[],,['chan2019'],,False,False,,1
cahu1264-1-26-1,,cahu1264-1,26,wis nema chumi peta nema kwan suplli,wis nema chumi peta nema kwan suplli,[],,['chan2019'],,False,False,,1
cahu1264-1-27-1,,cahu1264-1,27,wis nema chumi peta nema kwan wih,wis nema chumi peta nema kwan wih,[],,['chan2019'],,False,False,,1
cahu1264-1-28-1,,cahu1264-1,28,wis nema chumi peta nema kwan pah,wis nema chumi peta nema kwan pah,[],,['chan2019'],,False,False,,1
cahu1264-1-29-1,,cahu1264-1,29,wis nema chumi peta nema kw. wichiw,wis nema chumi peta nema kw. wichiw,[],,['chan2019'],,False,True,,1
cahu1264-1-30-1,,cahu1264-1,30,pas nema chumi,pas nema chumi,[],,['chan2019'],,False,False,,1
cahu1264-1-40-1,,cahu1264-1,40,wichiws nema chumi,wichiws nema chumi,[],,['chan2019'],,False,False,,1
cahu1264-1-50-1,,cahu1264-1,50,nema kwanas nema chumi,nema kwanas nema chumi,[],,['chan2019'],,False,False,,1
cahu1264-1-60-1,,cahu1264-1,60,kwan supllis nema chumi,kwan supllis nema chumi,[],,['chan2019'],,False,False,,1
cahu1264-1-70-1,,cahu1264-1,70,kwan wis nema chumi,kwan wis nema chumi,[],,['chan2019'],,False,False,,1
cahu1264-1-80-1,,cahu1264-1,80,kwan pas nema chumi,kwan pas nema chumi,[],,['chan2019'],,False,False,,1
cahu1264-1-90-1,,cahu1264-1,90,kwan wichiws nema chumi,kwan wichiws nema chumi,[],,['chan2019'],,False,False,,1
cahu1264-1-100-1,,cahu1264-1,100,suplli siyeentew,suplli siyeentew,[],,['chan2019'],,False,False,,1
cahu1264-1-100-2,,cahu1264-1,100,metechem,metechem,[],(lit: 'many'),['chan2019'],,False,False,,1
cahu1264-1-200-1,,cahu1264-1,200,wih siyeentew,wih siyeentew,[],,['chan2019'],,False,False,,1
cahu1264-1-1000-1,,cahu1264-1,1000,miːʎ,miːʎ,[],,['chan2019'],,False,False,suplli miill,1
cahu1264-1-2000-1,,cahu1264-1,2000,wih miill,wih miill,[],,['chan2019'],,False,False,,1
