ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
chak1270-2-1-1,,chak1270-2,1,hvú-wa,hvú-wa,[],,['chan2019'],,False,False,,1
chak1270-2-1-2,,chak1270-2,1,táiʔ,táiʔ,[],( Cak-Marma forms),['chan2019'],,False,False,,1
chak1270-2-2-1,,chak1270-2,2,níŋ-hvú,níŋ-hvú,[],,['chan2019'],,False,False,,1
chak1270-2-2-2,,chak1270-2,2,náiʔ,náiʔ,[],,['chan2019'],,False,False,,1
chak1270-2-3-1,,chak1270-2,3,súŋ-hvú,súŋ-hvú,[],,['chan2019'],,False,False,,1
chak1270-2-3-2,,chak1270-2,3,súŋ,súŋ,[],,['chan2019'],,False,False,,1
chak1270-2-4-1,,chak1270-2,4,prɨ́-hvu,prɨ́-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-4-2,,chak1270-2,4,lé,lé,[],,['chan2019'],,False,False,,1
chak1270-2-5-1,,chak1270-2,5,ŋá-hvu,ŋá-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-5-2,,chak1270-2,5,ŋá,ŋá,[],,['chan2019'],,False,False,,1
chak1270-2-6-1,,chak1270-2,6,kruʔ-hvu,kruʔ-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-6-2,,chak1270-2,6,kʰróʔ,kʰróʔ,[],,['chan2019'],,False,False,,1
chak1270-2-7-1,,chak1270-2,7,səniŋ-hvu,səniŋ-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-7-2,,chak1270-2,7,kʰənáiʔ,kʰənáiʔ,[],,['chan2019'],,False,False,,1
chak1270-2-8-1,,chak1270-2,8,acaiʔ-hvu,acaiʔ-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-8-2,,chak1270-2,8,ʃáiʔ,ʃáiʔ,[],,['chan2019'],,False,False,,1
chak1270-2-9-1,,chak1270-2,9,təhvú-hvu,təhvú-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-9-2,,chak1270-2,9,kó,kó,[],,['chan2019'],,False,False,,1
chak1270-2-10-1,,chak1270-2,10,sɨ́-hvu,sɨ́-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-10-2,,chak1270-2,10,cʰe,cʰe,[],,['chan2019'],,False,False,,1
chak1270-2-11-1,,chak1270-2,11,sɨ́-íŋ-hvú-wa,sɨ́-íŋ-hvú-wa,[],,['chan2019'],,False,False,,1
chak1270-2-11-2,,chak1270-2,11,təcʰé-táiʔ,təcʰé-táiʔ,[],,['chan2019'],,False,False,,1
chak1270-2-12-1,,chak1270-2,12,sɨ́-íŋ-níŋ-hvú,sɨ́-íŋ-níŋ-hvú,[],,['chan2019'],,False,False,,1
chak1270-2-12-2,,chak1270-2,12,təcʰé-náiʔ,təcʰé-náiʔ,[],,['chan2019'],,False,False,,1
chak1270-2-13-1,,chak1270-2,13,sɨ́-íŋ-súŋ-hvú,sɨ́-íŋ-súŋ-hvú,[],,['chan2019'],,False,False,,1
chak1270-2-13-2,,chak1270-2,13,təcʰé-súŋ,təcʰé-súŋ,[],,['chan2019'],,False,False,,1
chak1270-2-14-1,,chak1270-2,14,sɨ́-íŋ-prɨ́-hvu,sɨ́-íŋ-prɨ́-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-14-2,,chak1270-2,14,təcʰé-lé,təcʰé-lé,[],,['chan2019'],,False,False,,1
chak1270-2-15-1,,chak1270-2,15,sɨ́-íŋ-ŋá-hvu,sɨ́-íŋ-ŋá-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-15-2,,chak1270-2,15,təcʰé-ŋá,təcʰé-ŋá,[],,['chan2019'],,False,False,,1
chak1270-2-16-1,,chak1270-2,16,sɨ́-íŋ-kruʔ-hvu,sɨ́-íŋ-kruʔ-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-16-2,,chak1270-2,16,təcʰé-kʰróʔ,təcʰé-kʰróʔ,[],,['chan2019'],,False,False,,1
chak1270-2-17-1,,chak1270-2,17,sɨ́-íŋ-səniŋ-hvu,sɨ́-íŋ-səniŋ-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-17-2,,chak1270-2,17,təcʰé-kʰənáiʔ,təcʰé-kʰənáiʔ,[],,['chan2019'],,False,False,,1
chak1270-2-18-1,,chak1270-2,18,sɨ́-íŋ-acaiʔ-hvu,sɨ́-íŋ-acaiʔ-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-18-2,,chak1270-2,18,təcʰé-ʃáiʔ,təcʰé-ʃáiʔ,[],,['chan2019'],,False,False,,1
chak1270-2-19-1,,chak1270-2,19,sɨ́-íŋ-təhvú-hvu,sɨ́-íŋ-təhvú-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-19-2,,chak1270-2,19,təcʰé-kó,təcʰé-kó,[],,['chan2019'],,False,False,,1
chak1270-2-20-1,,chak1270-2,20,húŋ,húŋ,[],,['chan2019'],,False,False,,1
chak1270-2-21-1,,chak1270-2,21,húŋ-íŋ-hvú-wa,húŋ-íŋ-hvú-wa,[],,['chan2019'],,False,False,,1
chak1270-2-21-2,,chak1270-2,21,náiʔcʰé-táiʔ,náiʔcʰé-táiʔ,[],,['chan2019'],,False,False,,1
chak1270-2-22-1,,chak1270-2,22,húŋ-íŋ-níŋ-hvú,húŋ-íŋ-níŋ-hvú,[],,['chan2019'],,False,False,,1
chak1270-2-22-2,,chak1270-2,22,náiʔcʰé-náiʔ,náiʔcʰé-náiʔ,[],,['chan2019'],,False,False,,1
chak1270-2-23-1,,chak1270-2,23,húŋ-íŋ-súŋ-hvú,húŋ-íŋ-súŋ-hvú,[],,['chan2019'],,False,False,,1
chak1270-2-23-2,,chak1270-2,23,náiʔcʰé-súŋ,náiʔcʰé-súŋ,[],,['chan2019'],,False,False,,1
chak1270-2-24-1,,chak1270-2,24,húŋ-íŋ-prɨ́-hvu,húŋ-íŋ-prɨ́-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-24-2,,chak1270-2,24,náiʔcʰé-lé,náiʔcʰé-lé,[],,['chan2019'],,False,False,,1
chak1270-2-25-1,,chak1270-2,25,húŋ-íŋ-ŋá-hvu,húŋ-íŋ-ŋá-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-25-2,,chak1270-2,25,náiʔcʰé-ŋá,náiʔcʰé-ŋá,[],,['chan2019'],,False,False,,1
chak1270-2-26-1,,chak1270-2,26,húŋ-íŋ-kruʔ-hvu,húŋ-íŋ-kruʔ-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-26-2,,chak1270-2,26,náiʔcʰé-kʰróʔ,náiʔcʰé-kʰróʔ,[],,['chan2019'],,False,False,,1
chak1270-2-27-1,,chak1270-2,27,húŋ-íŋ-səniŋ-hvu,húŋ-íŋ-səniŋ-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-27-2,,chak1270-2,27,náiʔcʰé-kʰənáiʔ,náiʔcʰé-kʰənáiʔ,[],,['chan2019'],,False,False,,1
chak1270-2-28-1,,chak1270-2,28,húŋ-íŋ-acaiʔ-hvu,húŋ-íŋ-acaiʔ-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-28-2,,chak1270-2,28,náiʔcʰé-ʃáiʔ,náiʔcʰé-ʃáiʔ,[],,['chan2019'],,False,False,,1
chak1270-2-29-1,,chak1270-2,29,húŋ-íŋ-təhvú-hvu,húŋ-íŋ-təhvú-hvu,[],,['chan2019'],,False,False,,1
chak1270-2-29-2,,chak1270-2,29,náiʔcʰé-kó,náiʔcʰé-kó,[],,['chan2019'],,False,False,,1
chak1270-2-30-1,,chak1270-2,30,súŋ-jɨ́,súŋ-jɨ́,[],,['chan2019'],,False,False,,1
chak1270-2-30-2,,chak1270-2,30,súŋcʰe,súŋcʰe,[],,['chan2019'],,False,False,,1
chak1270-2-40-1,,chak1270-2,40,prɨ́-jɨ́,prɨ́-jɨ́,[],,['chan2019'],,False,False,,1
chak1270-2-40-2,,chak1270-2,40,lécʰe,lécʰe,[],,['chan2019'],,False,False,,1
