ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
duvl1242-1-1-1,,duvl1242-1,1,soɣole or soɣoye,soɣole or soɣoye,[],,['chan2019'],,False,True,,1
duvl1242-1-2-1,,duvl1242-1,2,teɪe,teɪe,[],,['chan2019'],,False,False,,1
duvl1242-1-2-2,,duvl1242-1,2,tɛˀɛ or teye,tɛˀɛ or teye,[],,['chan2019'],,False,True,,1
duvl1242-1-3-1,,duvl1242-1,3,zuo,zuo,[],,['chan2019'],,False,False,,1
duvl1242-1-3-2,,duvl1242-1,3,bæⁱɾovɾɛ,bæⁱɾovɾɛ,[],(litː many ),['chan2019'],,False,False,,1
duvl1242-1-4-1,,duvl1242-1,4,teɪe bɪa teɪe bɪa,teɪe bɪa teɪe bɪa,[],,['chan2019'],,False,False,,1
duvl1242-1-4-2,,duvl1242-1,4,tɛˀɛ ba tɛˀɛ bɪa,tɛˀɛ ba tɛˀɛ bɪa,[],( 2 + 2 ),['chan2019'],,False,False,,1
duvl1242-1-5-1,,duvl1242-1,5,zuo bɪa teɪe bɪa,zuo bɪa teɪe bɪa,[],,['chan2019'],,False,False,,1
duvl1242-1-5-2,,duvl1242-1,5,zuo ba tɛˀɛ bɪa,zuo ba tɛˀɛ bɪa,[],( 3 + 2 ),['chan2019'],,False,False,,1
duvl1242-1-6-1,,duvl1242-1,6,zuo bɪa zuo bɪa,zuo bɪa zuo bɪa,[],( 3 + 3 ),['chan2019'],,False,False,,1
