ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
fefe1239-1-1-1,,fefe1239-1,1,ʃʉʔ,ʃʉʔ,[],,['chan2019'],,False,False,,1
fefe1239-1-2-1,,fefe1239-1,2,pʉ́ɒ́,pʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-3-1,,fefe1239-1,3,tāā,tāā,[],,['chan2019'],,False,False,,1
fefe1239-1-4-1,,fefe1239-1,4,kwɒ̀,kwɒ̀,[],,['chan2019'],,False,False,,1
fefe1239-1-5-1,,fefe1239-1,5,tíì,tíì,[],,['chan2019'],,False,False,,1
fefe1239-1-6-1,,fefe1239-1,6,ntɔ́hɔ́,ntɔ́hɔ́,[],,['chan2019'],,False,False,,1
fefe1239-1-7-1,,fefe1239-1,7,sə̀mbʉ́ɒ́,sə̀mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-8-1,,fefe1239-1,8,hə̌,hə̌,[],,['chan2019'],,False,False,,1
fefe1239-1-9-1,,fefe1239-1,9,vʉ̀ʔʉ̄,vʉ̀ʔʉ̄,[],,['chan2019'],,False,False,,1
fefe1239-1-10-1,,fefe1239-1,10,ɣǎm,ɣǎm,[],,['chan2019'],,False,False,,1
fefe1239-1-11-1,,fefe1239-1,11,ntʃɔ̀ nʃʉ̀ʔ mə̀ ɣǎm,ntʃɔ̀ nʃʉ̀ʔ mə̀ ɣǎm,[],,['chan2019'],,False,False,,1
fefe1239-1-12-1,,fefe1239-1,12,ntʃɔ̀ pʉ́ɒ́ mə̀ ɣǎm,ntʃɔ̀ pʉ́ɒ́ mə̀ ɣǎm,[],,['chan2019'],,False,False,,1
fefe1239-1-13-1,,fefe1239-1,13,ntʃɔ̀ tāā mə̀ ɣǎm,ntʃɔ̀ tāā mə̀ ɣǎm,[],,['chan2019'],,False,False,,1
fefe1239-1-14-1,,fefe1239-1,14,ntʃɔ̀ kwɒ̀ mə̀ ɣǎm,ntʃɔ̀ kwɒ̀ mə̀ ɣǎm,[],,['chan2019'],,False,False,,1
fefe1239-1-15-1,,fefe1239-1,15,ntʃɔ̀ tíì mə̀ ɣǎm,ntʃɔ̀ tíì mə̀ ɣǎm,[],,['chan2019'],,False,False,,1
fefe1239-1-16-1,,fefe1239-1,16,ntʃɔ̀ ntɔ̀hɔ́ mə̀ ɣǎm,ntʃɔ̀ ntɔ̀hɔ́ mə̀ ɣǎm,[],,['chan2019'],,False,False,,1
fefe1239-1-17-1,,fefe1239-1,17,ntʃɔ̀ sə̀mbʉ́ɒ́ mə̀ ɣǎm,ntʃɔ̀ sə̀mbʉ́ɒ́ mə̀ ɣǎm,[],,['chan2019'],,False,False,,1
fefe1239-1-18-1,,fefe1239-1,18,ntʃɔ̀ hə̌ mə̀ ɣǎm,ntʃɔ̀ hə̌ mə̀ ɣǎm,[],,['chan2019'],,False,False,,1
fefe1239-1-19-1,,fefe1239-1,19,ntʃɔ̀ vʉ̀ʔʉ̄ mə̀ ɣǎm,ntʃɔ̀ vʉ̀ʔʉ̄ mə̀ ɣǎm,[],,['chan2019'],,False,False,,1
fefe1239-1-20-1,,fefe1239-1,20,mʉ̄mbʉ́ɒ́,mʉ̄mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-21-1,,fefe1239-1,21,ntʃɔ̀ nʃʉ̀ʔ mə̀ mʉ̄mbʉ́ɒ́,ntʃɔ̀ nʃʉ̀ʔ mə̀ mʉ̄mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-22-1,,fefe1239-1,22,ntʃɔ̀ pʉ́ɒ́ mə̀ mʉ̄mbʉ́ɒ́,ntʃɔ̀ pʉ́ɒ́ mə̀ mʉ̄mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-23-1,,fefe1239-1,23,ntʃɔ̀ tāā mə̀ mʉ̄mbʉ́ɒ́,ntʃɔ̀ tāā mə̀ mʉ̄mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-24-1,,fefe1239-1,24,ntʃɔ̀ kwɒ̀ mə̀ mʉ̄mbʉ́ɒ́,ntʃɔ̀ kwɒ̀ mə̀ mʉ̄mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-25-1,,fefe1239-1,25,ntʃɔ̀ tíì mə̀ mʉ̄mbʉ́ɒ́,ntʃɔ̀ tíì mə̀ mʉ̄mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-26-1,,fefe1239-1,26,ntʃɔ̀ ntɔ̀hɔ́ mə̀ mʉ̄mbʉ́ɒ́,ntʃɔ̀ ntɔ̀hɔ́ mə̀ mʉ̄mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-27-1,,fefe1239-1,27,ntʃɔ̀ sə̀mbʉ́ɒ́ mə̀ mʉ̄mbʉ́ɒ́,ntʃɔ̀ sə̀mbʉ́ɒ́ mə̀ mʉ̄mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-28-1,,fefe1239-1,28,ntʃɔ hə̌ mə̀ mʉ̄mbʉ́ɒ́,ntʃɔ hə̌ mə̀ mʉ̄mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-29-1,,fefe1239-1,29,ntʃɔ̀ vʉ̀ʔʉ̄ mə̀ mʉ̄mbʉ́ɒ́,ntʃɔ̀ vʉ̀ʔʉ̄ mə̀ mʉ̄mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-30-1,,fefe1239-1,30,mʉ̄ntāā,mʉ̄ntāā,[],,['chan2019'],,False,False,,1
fefe1239-1-40-1,,fefe1239-1,40,mʉ̄nkwɒ̀,mʉ̄nkwɒ̀,[],,['chan2019'],,False,False,,1
fefe1239-1-50-1,,fefe1239-1,50,mʉ̄ntíì,mʉ̄ntíì,[],,['chan2019'],,False,False,,1
fefe1239-1-60-1,,fefe1239-1,60,mʉ̄ntòhó,mʉ̄ntòhó,[],,['chan2019'],,False,False,,1
fefe1239-1-70-1,,fefe1239-1,70,mʉ̄sə̀mbʉ́ɒ́,mʉ̄sə̀mbʉ́ɒ́,[],,['chan2019'],,False,False,,1
fefe1239-1-80-1,,fefe1239-1,80,mʉ̄hə̌,mʉ̄hə̌,[],,['chan2019'],,False,False,,1
fefe1239-1-90-1,,fefe1239-1,90,mʉ̄vʉ̀ʔʉ̄,mʉ̄vʉ̀ʔʉ̄,[],,['chan2019'],,False,False,,1
