ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
finn1318-1-1-1,,finn1318-1,1,ʔyksi,ʔyksi,[],,['chan2019'],,False,False,yksi,1
finn1318-1-2-1,,finn1318-1,2,ˈkɑksi,ˈkɑksi,[],,['chan2019'],,False,False,kaksi,1
finn1318-1-3-1,,finn1318-1,3,ˈkɔlme,ˈkɔlme,[],,['chan2019'],,False,False,kolme,1
finn1318-1-4-1,,finn1318-1,4,ˈneljæ,ˈneljæ,[],,['chan2019'],,False,False,neljä,1
finn1318-1-5-1,,finn1318-1,5,ˈviːsi,ˈviːsi,[],,['chan2019'],,False,False,viisi,1
finn1318-1-6-1,,finn1318-1,6,ˈkuːsi,ˈkuːsi,[],,['chan2019'],,False,False,kuusi,1
finn1318-1-7-1,,finn1318-1,7,ˈseitseˌmæn,ˈseitseˌmæn,[],,['chan2019'],,False,False,seitsemän,1
finn1318-1-8-1,,finn1318-1,8,ˈkɑhdekˌsɑn,ˈkɑhdekˌsɑn,[],,['chan2019'],,False,False,kahdeksan,1
finn1318-1-9-1,,finn1318-1,9,ˈʔyhdekˌsæn,ˈʔyhdekˌsæn,[],,['chan2019'],,False,False,yhdeksän,1
finn1318-1-10-1,,finn1318-1,10,ˈkymːeˌnen,ˈkymːeˌnen,[],,['chan2019'],,False,False,kymmenen,1
finn1318-1-11-1,,finn1318-1,11,ˈʔyksiˌtoistɑ,ˈʔyksiˌtoistɑ,[],,['chan2019'],,False,False,yksitoista,1
finn1318-1-12-1,,finn1318-1,12,ˈkɑksiˌtoistɑ,ˈkɑksiˌtoistɑ,[],,['chan2019'],,False,False,kaksitoista,1
finn1318-1-13-1,,finn1318-1,13,ˈkɔlmeˌtoistɑ,ˈkɔlmeˌtoistɑ,[],,['chan2019'],,False,False,kolmetoista,1
finn1318-1-14-1,,finn1318-1,14,neljæˌtoistɑ,neljæˌtoistɑ,[],,['chan2019'],,False,False,neljätoista,1
finn1318-1-15-1,,finn1318-1,15,ˈviːsiˌtoistɑ,ˈviːsiˌtoistɑ,[],,['chan2019'],,False,False,viisitoista,1
finn1318-1-16-1,,finn1318-1,16,kuːsiˌtoistɑ,kuːsiˌtoistɑ,[],,['chan2019'],,False,False,kuusitoista,1
finn1318-1-17-1,,finn1318-1,17,seitsemænˌtoistɑ,seitsemænˌtoistɑ,[],,['chan2019'],,False,False,seitsemäntoista,1
finn1318-1-18-1,,finn1318-1,18,ˈkahdeksɑnˌtoistɑ,ˈkahdeksɑnˌtoistɑ,[],,['chan2019'],,False,False,kahdeksantoista,1
finn1318-1-19-1,,finn1318-1,19,ˈʔyhdeksænˌtoistɑ,ˈʔyhdeksænˌtoistɑ,[],,['chan2019'],,False,False,yhdeksäntoista,1
finn1318-1-20-1,,finn1318-1,20,ˈkɑksiˌkymːenˌtæ,ˈkɑksiˌkymːenˌtæ,[],,['chan2019'],,False,False,kaksikymmentä,1
finn1318-1-21-1,,finn1318-1,21,kaksikymmentä yksi,kaksikymmentä yksi,[],,['chan2019'],,False,False,,1
finn1318-1-22-1,,finn1318-1,22,kaksikymmentä kaksi,kaksikymmentä kaksi,[],,['chan2019'],,False,False,,1
finn1318-1-23-1,,finn1318-1,23,kaksikymmentä kolme,kaksikymmentä kolme,[],,['chan2019'],,False,False,,1
finn1318-1-24-1,,finn1318-1,24,kaksikymmentä neljä,kaksikymmentä neljä,[],,['chan2019'],,False,False,,1
finn1318-1-25-1,,finn1318-1,25,kaksikymmentä viisi,kaksikymmentä viisi,[],,['chan2019'],,False,False,,1
finn1318-1-26-1,,finn1318-1,26,kaksikymmentä kuusi,kaksikymmentä kuusi,[],,['chan2019'],,False,False,,1
finn1318-1-27-1,,finn1318-1,27,kaksikymmentä seitsemän,kaksikymmentä seitsemän,[],,['chan2019'],,False,False,,1
finn1318-1-28-1,,finn1318-1,28,kaksikymmentä kahdeksan,kaksikymmentä kahdeksan,[],,['chan2019'],,False,False,,1
finn1318-1-29-1,,finn1318-1,29,kaksikymmentä yhdeksän,kaksikymmentä yhdeksän,[],,['chan2019'],,False,False,,1
finn1318-1-30-1,,finn1318-1,30,ˈkɔlmeˌkymːenˌtæ,ˈkɔlmeˌkymːenˌtæ,[],,['chan2019'],,False,False,kolmekymmentä,1
finn1318-1-40-1,,finn1318-1,40,neljäkymmentä,neljäkymmentä,[],,['chan2019'],,False,False,,1
finn1318-1-50-1,,finn1318-1,50,viisikymmentä,viisikymmentä,[],,['chan2019'],,False,False,,1
finn1318-1-60-1,,finn1318-1,60,kuusikymmentä,kuusikymmentä,[],,['chan2019'],,False,False,,1
finn1318-1-70-1,,finn1318-1,70,seitsemänkymmentä,seitsemänkymmentä,[],,['chan2019'],,False,False,,1
finn1318-1-80-1,,finn1318-1,80,kahdeksankymmentä,kahdeksankymmentä,[],,['chan2019'],,False,False,,1
finn1318-1-90-1,,finn1318-1,90,yhdeksänkymmentä,yhdeksänkymmentä,[],,['chan2019'],,False,False,,1
finn1318-1-100-1,,finn1318-1,100,ˈsɑtɑ,ˈsɑtɑ,[],,['chan2019'],,False,False,sata,1
finn1318-1-200-1,,finn1318-1,200,ˈkɑksiˌsɑtɑː,ˈkɑksiˌsɑtɑː,[],,['chan2019'],,False,False,kaksisataa,1
finn1318-1-1000-1,,finn1318-1,1000,ˈtuɦɑt,ˈtuɦɑt,[],,['chan2019'],,False,False,tuhat,1
finn1318-1-2000-1,,finn1318-1,2000,ˈkɑksiˌtuɦɑtːɑ,ˈkɑksiˌtuɦɑtːɑ,[],,['chan2019'],,False,False,kaksituhatta,1
