ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
gwii1239-1-1-1,,gwii1239-1,1,kǀúī,kǀúī,[],,['chan2019'],,False,False,,1
gwii1239-1-1-2,,gwii1239-1,1,wáǹ,wáǹ,[],( < English),['chan2019'],,True,False,,1
gwii1239-1-2-1,,gwii1239-1,2,kǀám̀,kǀám̀,[],,['chan2019'],,False,False,,1
gwii1239-1-2-2,,gwii1239-1,2,tʰúù,tʰúù,[],,['chan2019'],,False,False,,1
gwii1239-1-3-1,,gwii1239-1,3,ŋǃūnā,ŋǃūnā,[],,['chan2019'],,False,False,,1
gwii1239-1-3-2,,gwii1239-1,3,tríì,tríì,[],,['chan2019'],,False,False,,1
gwii1239-1-4-1,,gwii1239-1,4,fóò,fóò,[],,['chan2019'],,False,False,,1
gwii1239-1-5-1,,gwii1239-1,5,fáìf,fáìf,[],,['chan2019'],,False,False,,1
gwii1239-1-6-1,,gwii1239-1,6,síks,síks,[],,['chan2019'],,False,False,,1
gwii1239-1-7-1,,gwii1239-1,7,sébèǹ,sébèǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-8-1,,gwii1239-1,8,ʔéìtì,ʔéìtì,[],,['chan2019'],,False,False,,1
gwii1239-1-9-1,,gwii1239-1,9,náìǹ,náìǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-10-1,,gwii1239-1,10,tʰéǹ,tʰéǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-11-1,,gwii1239-1,11,lébèǹ,lébèǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-12-1,,gwii1239-1,12,twâlf,twâlf,[],,['chan2019'],,False,False,,1
gwii1239-1-13-1,,gwii1239-1,13,téétíǹ,téétíǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-14-1,,gwii1239-1,14,fóótíǹ,fóótíǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-15-1,,gwii1239-1,15,fíftíǹ,fíftíǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-16-1,,gwii1239-1,16,síkstíǹ,síkstíǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-17-1,,gwii1239-1,17,sébèǹtíǹ,sébèǹtíǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-18-1,,gwii1239-1,18,ʔéítíǹ,ʔéítíǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-19-1,,gwii1239-1,19,náíńtíǹ,náíńtíǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-20-1,,gwii1239-1,20,twéǹtì,twéǹtì,[],,['chan2019'],,False,False,,1
gwii1239-1-21-1,,gwii1239-1,21,twéǹtì wáǹ,twéǹtì wáǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-22-1,,gwii1239-1,22,twéǹtì tʰúù,twéǹtì tʰúù,[],,['chan2019'],,False,False,,1
gwii1239-1-23-1,,gwii1239-1,23,twéǹtì tríì,twéǹtì tríì,[],,['chan2019'],,False,False,,1
gwii1239-1-24-1,,gwii1239-1,24,twéǹtì fóò,twéǹtì fóò,[],,['chan2019'],,False,False,,1
gwii1239-1-25-1,,gwii1239-1,25,twéǹtì fáìf,twéǹtì fáìf,[],,['chan2019'],,False,False,,1
gwii1239-1-26-1,,gwii1239-1,26,twéǹtì síks,twéǹtì síks,[],,['chan2019'],,False,False,,1
gwii1239-1-27-1,,gwii1239-1,27,twéǹtì sébèǹ,twéǹtì sébèǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-28-1,,gwii1239-1,28,twéǹtì ʔéìtì,twéǹtì ʔéìtì,[],,['chan2019'],,False,False,,1
gwii1239-1-29-1,,gwii1239-1,29,twéǹtì náìǹ,twéǹtì náìǹ,[],,['chan2019'],,False,False,,1
gwii1239-1-30-1,,gwii1239-1,30,téétì,téétì,[],,['chan2019'],,False,False,,1
gwii1239-1-40-1,,gwii1239-1,40,fóótì,fóótì,[],,['chan2019'],,False,False,,1
gwii1239-1-50-1,,gwii1239-1,50,fíftì,fíftì,[],,['chan2019'],,False,False,,1
gwii1239-1-60-1,,gwii1239-1,60,síkstì,síkstì,[],,['chan2019'],,False,False,,1
gwii1239-1-70-1,,gwii1239-1,70,sébèńtì,sébèńtì,[],,['chan2019'],,False,False,,1
gwii1239-1-80-1,,gwii1239-1,80,ʔáítì,ʔáítì,[],,['chan2019'],,False,False,,1
gwii1239-1-90-1,,gwii1239-1,90,náíńtì,náíńtì,[],,['chan2019'],,False,False,,1
gwii1239-1-100-1,,gwii1239-1,100,háńdrètʰ,háńdrètʰ,[],,['chan2019'],,False,False,,1
gwii1239-1-200-1,,gwii1239-1,200,tʰúú háńdrètʰ,tʰúú háńdrètʰ,[],,['chan2019'],,False,False,,1
gwii1239-1-1000-1,,gwii1239-1,1000,tàúzàǹtʰ,tàúzàǹtʰ,[],,['chan2019'],,False,False,,1
gwii1239-1-2000-1,,gwii1239-1,2000,tʰúú tàúzàǹtʰ,tʰúú tàúzàǹtʰ,[],,['chan2019'],,False,False,,1
