ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
high1242-1-1-1,,high1242-1,1,anuli,anuli,[],,['chan2019'],,False,False,,1
high1242-1-2-1,,high1242-1,2,okeʔ,okeʔ,[],,['chan2019'],,False,False,,1
high1242-1-3-1,,high1242-1,3,afaneʔ,afaneʔ,[],,['chan2019'],,False,False,,1
high1242-1-4-1,,high1242-1,4,amalpuʔ,amalpuʔ,[],,['chan2019'],,False,False,,1
high1242-1-5-1,,high1242-1,5,amakeʔ,amakeʔ,[],,['chan2019'],,False,False,,1
high1242-1-6-1,,high1242-1,6,akamč'us č' = 'a glottalized č,akamč'us č' = 'a glottalized č,[],,['chan2019'],,False,True,,1
high1242-1-7-1,,high1242-1,7,akayči,akayči,[],,['chan2019'],,False,False,,1
high1242-1-8-1,,high1242-1,8,apayko,apayko,[],,['chan2019'],,False,False,,1
high1242-1-9-1,,high1242-1,9,apella,apella,[],,['chan2019'],,False,False,,1
high1242-1-10-1,,high1242-1,10,imbamaʔ,imbamaʔ,[],,['chan2019'],,False,False,,1
high1242-1-11-1,,high1242-1,11,imbamah nuli,imbamah nuli,[],,['chan2019'],,False,False,,1
high1242-1-12-1,,high1242-1,12,imbamah kokeʔ,imbamah kokeʔ,[],,['chan2019'],,False,False,,1
high1242-1-13-1,,high1242-1,13,imbamah faneʔ,imbamah faneʔ,[],,['chan2019'],,False,False,,1
high1242-1-14-1,,high1242-1,14,imbamah malpuʔ,imbamah malpuʔ,[],,['chan2019'],,False,False,,1
high1242-1-15-1,,high1242-1,15,imbamah makeʔ,imbamah makeʔ,[],,['chan2019'],,False,False,,1
high1242-1-16-1,,high1242-1,16,imbamah kamč'us,imbamah kamč'us,[],,['chan2019'],,False,False,,1
high1242-1-17-1,,high1242-1,17,imbamah kayči,imbamah kayči,[],,['chan2019'],,False,False,,1
high1242-1-18-1,,high1242-1,18,imbamah payko,imbamah payko,[],,['chan2019'],,False,False,,1
high1242-1-19-1,,high1242-1,19,imbamah pella,imbamah pella,[],,['chan2019'],,False,False,,1
high1242-1-20-1,,high1242-1,20,anušans,anušans,[],,['chan2019'],,False,False,,1
high1242-1-21-1,,high1242-1,21,anušansnuli,anušansnuli,[],,['chan2019'],,False,False,,1
high1242-1-22-1,,high1242-1,22,anušans kokeʔ,anušans kokeʔ,[],,['chan2019'],,False,False,,1
high1242-1-23-1,,high1242-1,23,anušans faneʔ,anušans faneʔ,[],,['chan2019'],,False,False,,1
high1242-1-24-1,,high1242-1,24,anušans malpuʔ,anušans malpuʔ,[],,['chan2019'],,False,False,,1
high1242-1-25-1,,high1242-1,25,anušans makeʔ,anušans makeʔ,[],,['chan2019'],,False,False,,1
high1242-1-26-1,,high1242-1,26,anušans kamč'us,anušans kamč'us,[],,['chan2019'],,False,False,,1
high1242-1-27-1,,high1242-1,27,anušans kayči,anušans kayči,[],,['chan2019'],,False,False,,1
high1242-1-28-1,,high1242-1,28,anušans payko,anušans payko,[],,['chan2019'],,False,False,,1
high1242-1-29-1,,high1242-1,29,anušans pella,anušans pella,[],,['chan2019'],,False,False,,1
high1242-1-30-1,,high1242-1,30,anušans kimbamaʔ,anušans kimbamaʔ,[],,['chan2019'],,False,False,,1
high1242-1-40-1,,high1242-1,40,okeh nušans,okeh nušans,[],,['chan2019'],,False,False,,1
high1242-1-50-1,,high1242-1,50,okeh nušans kimbamaʔ,okeh nušans kimbamaʔ,[],,['chan2019'],,False,False,,1
high1242-1-60-1,,high1242-1,60,afaneh nušans,afaneh nušans,[],,['chan2019'],,False,False,,1
high1242-1-70-1,,high1242-1,70,afaneh nušans kimbamaʔ,afaneh nušans kimbamaʔ,[],,['chan2019'],,False,False,,1
high1242-1-80-1,,high1242-1,80,amalpuh nušans,amalpuh nušans,[],,['chan2019'],,False,False,,1
high1242-1-90-1,,high1242-1,90,amalpuh nušans kimbamaʔ,amalpuh nušans kimbamaʔ,[],,['chan2019'],,False,False,,1
high1242-1-100-1,,high1242-1,100,amaɡueh,amaɡueh,[],,['chan2019'],,False,False,,1
high1242-1-100-2,,high1242-1,100,anulij maxnu,anulij maxnu,[],,['chan2019'],,False,False,,1
high1242-1-200-1,,high1242-1,200,imbamaj nuxans,imbamaj nuxans,[],,['chan2019'],,False,False,,1
high1242-1-200-2,,high1242-1,200,oɡuej maxnu,oɡuej maxnu,[],,['chan2019'],,False,False,,1
high1242-1-1000-1,,high1242-1,1000,imbamaj maxnu,imbamaj maxnu,[],,['chan2019'],,False,False,,1
high1242-1-2000-1,,high1242-1,2000,anušans maxnu,anušans maxnu,[],,['chan2019'],,False,False,,1
