ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
hind1269-1-1-1,,hind1269-1,1,ek,ek,[],,['chan2019'],,False,False,ek,1
hind1269-1-2-1,,hind1269-1,2,d̪o,d̪o,[],,['chan2019'],,False,False,do,1
hind1269-1-3-1,,hind1269-1,3,t̪in,t̪in,[],,['chan2019'],,False,False,tin,1
hind1269-1-4-1,,hind1269-1,4,t͡ʃar,t͡ʃar,[],,['chan2019'],,False,False,cār,1
hind1269-1-5-1,,hind1269-1,5,pãt͡ʃ,pãt͡ʃ,[],,['chan2019'],,False,False,pāch,1
hind1269-1-6-1,,hind1269-1,6,t͡ʃʰɛ,t͡ʃʰɛ,[],,['chan2019'],,False,False,cha,1
hind1269-1-7-1,,hind1269-1,7,sat̪,sat̪,[],,['chan2019'],,False,False,sāt,1
hind1269-1-8-1,,hind1269-1,8,aʈʰ,aʈʰ,[],,['chan2019'],,False,False,āṭh,1
hind1269-1-9-1,,hind1269-1,9,nɔ,nɔ,[],,['chan2019'],,False,False,nau,1
hind1269-1-10-1,,hind1269-1,10,d̪ʌs,d̪ʌs,[],,['chan2019'],,False,False,das,1
hind1269-1-11-1,,hind1269-1,11,gjarah,gjarah,[],,['chan2019'],,False,False,gārah,1
hind1269-1-12-1,,hind1269-1,12,barəh,barəh,[],,['chan2019'],,False,False,bārah,1
hind1269-1-13-1,,hind1269-1,13,t̪erəh,t̪erəh,[],,['chan2019'],,False,False,terah,1
hind1269-1-14-1,,hind1269-1,14,t͡ʃɔd̪əh,t͡ʃɔd̪əh,[],,['chan2019'],,False,False,chaudah,1
hind1269-1-15-1,,hind1269-1,15,pʌnd̪rəh,pʌnd̪rəh,[],,['chan2019'],,False,False,pandrah,1
hind1269-1-16-1,,hind1269-1,16,soləh,soləh,[],,['chan2019'],,False,False,soḷah,1
hind1269-1-17-1,,hind1269-1,17,sʌt̪rəh,sʌt̪rəh,[],,['chan2019'],,False,False,sattrah,1
hind1269-1-18-1,,hind1269-1,18,ʌʈʰarəh,ʌʈʰarəh,[],,['chan2019'],,False,False,aṭhārah,1
hind1269-1-19-1,,hind1269-1,19,ʊnːis,ʊnːis,[],( 20 - 1),['chan2019'],,False,False,uṇnis,1
hind1269-1-20-1,,hind1269-1,20,bis,bis,[],,['chan2019'],,False,False,bis,1
hind1269-1-21-1,,hind1269-1,21,ɪkːis,ɪkːis,[],,['chan2019'],,False,False,ikkais,1
hind1269-1-22-1,,hind1269-1,22,bais,bais,[],,['chan2019'],,False,False,bais,1
hind1269-1-23-1,,hind1269-1,23,t̪eis,t̪eis,[],,['chan2019'],,False,False,teis,1
hind1269-1-24-1,,hind1269-1,24,t͡ʃɔbis,t͡ʃɔbis,[],,['chan2019'],,False,False,caubis,1
hind1269-1-25-1,,hind1269-1,25,pʌt͡ʃis,pʌt͡ʃis,[],,['chan2019'],,False,False,pacis,1
hind1269-1-26-1,,hind1269-1,26,t͡ʃʰʌbːis,t͡ʃʰʌbːis,[],,['chan2019'],,False,False,chabbis,1
hind1269-1-27-1,,hind1269-1,27,sʌt̪ais,sʌt̪ais,[],,['chan2019'],,False,False,satais,1
hind1269-1-28-1,,hind1269-1,28,ʌʈʰais,ʌʈʰais,[],,['chan2019'],,False,False,əthawis,1
hind1269-1-29-1,,hind1269-1,29,ʊnt̪is,ʊnt̪is,[],( 30 - 1),['chan2019'],,False,False,uṇtis,1
hind1269-1-30-1,,hind1269-1,30,t̪is,t̪is,[],,['chan2019'],,False,False,tis,1
hind1269-1-40-1,,hind1269-1,40,t͡ʃalis,t͡ʃalis,[],,['chan2019'],,False,False,chaḷīs,1
hind1269-1-50-1,,hind1269-1,50,pʌt͡ʃas,pʌt͡ʃas,[],,['chan2019'],,False,False,pachas,1
hind1269-1-60-1,,hind1269-1,60,saʈʰ,saʈʰ,[],,['chan2019'],,False,False,sath,1
hind1269-1-70-1,,hind1269-1,70,sʌt̪ːər,sʌt̪ːər,[],,['chan2019'],,False,False,sattar,1
hind1269-1-80-1,,hind1269-1,80,ʌsːiː,ʌsːiː,[],,['chan2019'],,False,False,assī,1
hind1269-1-90-1,,hind1269-1,90,nʌbːe,nʌbːe,[],,['chan2019'],,False,False,nabbe,1
hind1269-1-100-1,,hind1269-1,100,eksɔ,eksɔ,[],,['chan2019'],,False,False,ek sau,1
hind1269-1-200-1,,hind1269-1,200,d̪osɔ,d̪osɔ,[],,['chan2019'],,False,False,do sau,1
hind1269-1-1000-1,,hind1269-1,1000,ek hʌzar,ek hʌzar,[],,['chan2019'],,False,False,ek hazar,1
hind1269-1-2000-1,,hind1269-1,2000,d̪o hʌzar,d̪o hʌzar,[],,['chan2019'],,False,False,do hazar,1
