ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
hmon1333-2-1-1,,hmon1333-2,1,ʔi55,ʔi55,[],,['chan2019'],,False,False,,2
hmon1333-2-2-1,,hmon1333-2,2,ʔɑu55,ʔɑu55,[],,['chan2019'],,False,False,,2
hmon1333-2-3-1,,hmon1333-2,3,pei55,pei55,[],,['chan2019'],,False,False,,2
hmon1333-2-4-1,,hmon1333-2,4,plou55,plou55,[],,['chan2019'],,False,False,,2
hmon1333-2-5-1,,hmon1333-2,5,tʃɹ̩55,tʃɹ̩55,[],,['chan2019'],,False,False,,2
hmon1333-2-6-1,,hmon1333-2,6,ʈɻou44,ʈɻou44,[],,['chan2019'],,False,False,,2
hmon1333-2-7-1,,hmon1333-2,7,ɕã44,ɕã44,[],,['chan2019'],,False,False,,2
hmon1333-2-8-1,,hmon1333-2,8,ʑi21,ʑi21,[],,['chan2019'],,False,False,,2
hmon1333-2-9-1,,hmon1333-2,9,tɕuɑ42,tɕuɑ42,[],,['chan2019'],,False,False,,2
hmon1333-2-10-1,,hmon1333-2,10,kou21,kou21,[],,['chan2019'],,False,False,,2
hmon1333-2-11-1,,hmon1333-2,11,kou21 ʔi55,kou21 ʔi55,[],,['chan2019'],,False,False,,2
hmon1333-2-12-1,,hmon1333-2,12,kou21 ʔɑu55,kou21 ʔɑu55,[],,['chan2019'],,False,False,,2
hmon1333-2-13-1,,hmon1333-2,13,kou21 pei55,kou21 pei55,[],,['chan2019'],,False,False,,2
hmon1333-2-14-1,,hmon1333-2,14,kou21 plou55,kou21 plou55,[],,['chan2019'],,False,False,,2
hmon1333-2-15-1,,hmon1333-2,15,kou21 tʃɹ̩55,kou21 tʃɹ̩55,[],,['chan2019'],,False,False,,2
hmon1333-2-16-1,,hmon1333-2,16,kou21 ʈɻou44,kou21 ʈɻou44,[],,['chan2019'],,False,False,,2
hmon1333-2-17-1,,hmon1333-2,17,kou21 ɕaŋ44,kou21 ɕaŋ44,[],,['chan2019'],,False,False,,2
hmon1333-2-18-1,,hmon1333-2,18,kou21 ʑi21,kou21 ʑi21,[],,['chan2019'],,False,False,,2
hmon1333-2-19-1,,hmon1333-2,19,kou21 tɕuɑ42,kou21 tɕuɑ42,[],,['chan2019'],,False,False,,2
hmon1333-2-20-1,,hmon1333-2,20,neŋ33kou21,neŋ33kou21,[],,['chan2019'],,False,False,,2
hmon1333-2-21-1,,hmon1333-2,21,neŋ33kou21ʔi55,neŋ33kou21ʔi55,[],,['chan2019'],,False,False,,2
hmon1333-2-22-1,,hmon1333-2,22,neŋ33kou21 ʔɑu55,neŋ33kou21 ʔɑu55,[],,['chan2019'],,False,False,,2
hmon1333-2-23-1,,hmon1333-2,23,neŋ33kou21pei55,neŋ33kou21pei55,[],,['chan2019'],,False,False,,2
hmon1333-2-24-1,,hmon1333-2,24,neŋ33kou21plou54,neŋ33kou21plou54,[],,['chan2019'],,False,False,,2
hmon1333-2-25-1,,hmon1333-2,25,neŋ33kou21tʃɹ̩55,neŋ33kou21tʃɹ̩55,[],,['chan2019'],,False,False,,2
hmon1333-2-26-1,,hmon1333-2,26,neŋ33kou21 ʈɻou44,neŋ33kou21 ʈɻou44,[],,['chan2019'],,False,False,,2
hmon1333-2-27-1,,hmon1333-2,27,neŋ33kou21 ɕã44,neŋ33kou21 ɕã44,[],,['chan2019'],,False,False,,2
hmon1333-2-28-1,,hmon1333-2,28,neŋ33kou21ʑi21,neŋ33kou21ʑi21,[],,['chan2019'],,False,False,,2
hmon1333-2-29-1,,hmon1333-2,29,neŋ33kou21tɕuɑ42,neŋ33kou21tɕuɑ42,[],,['chan2019'],,False,False,,2
hmon1333-2-30-1,,hmon1333-2,30,pei55 tɕo̤ṳ22,pei55 tɕo̤ṳ22,[],,['chan2019'],,False,False,,2
hmon1333-2-40-1,,hmon1333-2,40,plou55 tɕo̤ṳ22,plou55 tɕo̤ṳ22,[],,['chan2019'],,False,False,,2
hmon1333-2-50-1,,hmon1333-2,50,tʃɹ̩55 tɕo̤ṳ22,tʃɹ̩55 tɕo̤ṳ22,[],,['chan2019'],,False,False,,2
hmon1333-2-60-1,,hmon1333-2,60,ʈɻou44 tɕo̤ṳ22,ʈɻou44 tɕo̤ṳ22,[],,['chan2019'],,False,False,,2
hmon1333-2-70-1,,hmon1333-2,70,ɕã44 tɕo̤ṳ22,ɕã44 tɕo̤ṳ22,[],,['chan2019'],,False,False,,2
hmon1333-2-80-1,,hmon1333-2,80,ʑi21 tɕo̤ṳ22,ʑi21 tɕo̤ṳ22,[],,['chan2019'],,False,False,,2
hmon1333-2-90-1,,hmon1333-2,90,tɕuɑ42 tɕo̤ṳ22,tɕuɑ42 tɕo̤ṳ22,[],,['chan2019'],,False,False,,2
hmon1333-2-100-1,,hmon1333-2,100,ʔi54puɑ33,ʔi54puɑ33,[],( < Chinese),['chan2019'],,True,False,,2
hmon1333-2-200-1,,hmon1333-2,200,ʔɑu55 puɑ33,ʔɑu55 puɑ33,[],,['chan2019'],,False,False,,2
hmon1333-2-1000-1,,hmon1333-2,1000,ʔi55tsʰiɛ55,ʔi55tsʰiɛ55,[],< Chinese ,['chan2019'],,True,False,,2
hmon1333-2-2000-1,,hmon1333-2,2000,ʔɑu55 tsʰiɛ55,ʔɑu55 tsʰiɛ55,[],,['chan2019'],,False,False,,2
