ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
ilit1241-1-1-1,,ilit1241-1,1,bir,bir,[],,['chan2019'],,False,False,,1
ilit1241-1-2-1,,ilit1241-1,2,ekki,ekki,[],,['chan2019'],,False,False,,1
ilit1241-1-3-1,,ilit1241-1,3,ʉtʃ,ʉtʃ,[],,['chan2019'],,False,False,,1
ilit1241-1-4-1,,ilit1241-1,4,tɵrt,tɵrt,[],,['chan2019'],,False,False,,1
ilit1241-1-5-1,,ilit1241-1,5,beʃ,beʃ,[],,['chan2019'],,False,False,,1
ilit1241-1-6-1,,ilit1241-1,6,altə,altə,[],,['chan2019'],,False,False,,1
ilit1241-1-7-1,,ilit1241-1,7,jetti,jetti,[],,['chan2019'],,False,False,,1
ilit1241-1-8-1,,ilit1241-1,8,sekkiz,sekkiz,[],,['chan2019'],,False,False,,1
ilit1241-1-9-1,,ilit1241-1,9,tɵqqʉz,tɵqqʉz,[],,['chan2019'],,False,False,,1
ilit1241-1-10-1,,ilit1241-1,10,ɵn,ɵn,[],,['chan2019'],,False,False,,1
ilit1241-1-20-1,,ilit1241-1,20,jiɡirmi,jiɡirmi,[],,['chan2019'],,False,False,,1
ilit1241-1-30-1,,ilit1241-1,30,ɵttuz,ɵttuz,[],,['chan2019'],,False,False,,1
ilit1241-1-40-1,,ilit1241-1,40,qərq,qərq,[],,['chan2019'],,False,False,,1
ilit1241-1-50-1,,ilit1241-1,50,ellik,ellik,[],,['chan2019'],,False,False,,1
ilit1241-1-60-1,,ilit1241-1,60,altəməʃ,altəməʃ,[],,['chan2019'],,False,False,,1
ilit1241-1-70-1,,ilit1241-1,70,jettimiʃ,jettimiʃ,[],,['chan2019'],,False,False,,1
ilit1241-1-80-1,,ilit1241-1,80,sæksæn,sæksæn,[],,['chan2019'],,False,False,,1
ilit1241-1-90-1,,ilit1241-1,90,tɵχsan,tɵχsan,[],,['chan2019'],,False,False,,1
ilit1241-1-100-1,,ilit1241-1,100,jʉz,jʉz,[],,['chan2019'],,False,False,,1
ilit1241-1-1000-1,,ilit1241-1,1000,miŋ,miŋ,[],,['chan2019'],,False,False,,1
