ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
jang1254-2-1-1,,jang1254-2,1,id̪ʔ,id̪ʔ,[],,['chan2019'],,False,False,,2
jang1254-2-2-1,,jang1254-2,2,niʃ,niʃ,[],,['chan2019'],,False,False,,2
jang1254-2-3-1,,jang1254-2,3,hum,hum,[],,['chan2019'],,False,False,,2
jang1254-2-4-1,,jang1254-2,4,pə,pə,[],,['chan2019'],,False,False,,2
jang1254-2-5-1,,jang1254-2,5,ŋɑ,ŋɑ,[],,['chan2019'],,False,False,,2
jang1254-2-6-1,,jang1254-2,6,ʈu,ʈu,[],,['chan2019'],,False,False,,2
jang1254-2-7-1,,jang1254-2,7,ʃiʃ,ʃiʃ,[],,['chan2019'],,False,False,,2
jang1254-2-8-1,,jang1254-2,8,ɡjɜt̪,ɡjɜt̪,[],,['chan2019'],,False,False,,2
jang1254-2-9-1,,jang1254-2,9,ɡu,ɡu,[],,['chan2019'],,False,False,,2
jang1254-2-10-1,,jang1254-2,10,tʃwi,tʃwi,[],,['chan2019'],,False,False,,2
jang1254-2-11-1,,jang1254-2,11,tʃuʈi,tʃuʈi,[],,['chan2019'],,False,False,,2
jang1254-2-12-1,,jang1254-2,12,tʃunis,tʃunis,[],,['chan2019'],,False,False,,2
jang1254-2-13-1,,jang1254-2,13,tʃusum,tʃusum,[],,['chan2019'],,False,False,,2
jang1254-2-14-1,,jang1254-2,14,tʃipə,tʃipə,[],,['chan2019'],,False,False,,2
jang1254-2-15-1,,jang1254-2,15,tʃuwɜŋ,tʃuwɜŋ,[],,['chan2019'],,False,False,,2
jang1254-2-16-1,,jang1254-2,16,tʃuʈu,tʃuʈu,[],,['chan2019'],,False,False,,2
jang1254-2-17-1,,jang1254-2,17,tʃuɡniʃ,tʃuɡniʃ,[],,['chan2019'],,False,False,,2
jang1254-2-18-1,,jang1254-2,18,tʃopɡetʔ,tʃopɡetʔ,[],,['chan2019'],,False,False,,2
jang1254-2-19-1,,jang1254-2,19,tʃuɾɡu,tʃuɾɡu,[],,['chan2019'],,False,False,,2
jang1254-2-20-1,,jang1254-2,20,nisɑ,nisɑ,[],,['chan2019'],,False,False,,2
jang1254-2-21-1,,jang1254-2,21,nisɑid̪ʔ,nisɑid̪ʔ,[],,['chan2019'],,False,False,,2
jang1254-2-22-1,,jang1254-2,22,nisɑi niʃ,nisɑi niʃ,[],,['chan2019'],,False,False,,2
jang1254-2-23-1,,jang1254-2,23,nisɑi hum,nisɑi hum,[],,['chan2019'],,False,False,,2
jang1254-2-24-1,,jang1254-2,24,nisɑi pə,nisɑi pə,[],,['chan2019'],,False,False,,2
jang1254-2-25-1,,jang1254-2,25,nisɑi ŋɑ,nisɑi ŋɑ,[],,['chan2019'],,False,False,,2
jang1254-2-26-1,,jang1254-2,26,nisɑi ʈu,nisɑi ʈu,[],,['chan2019'],,False,False,,2
jang1254-2-27-1,,jang1254-2,27,nisɑi ɕiʃ,nisɑi ɕiʃ,[],,['chan2019'],,False,False,,2
jang1254-2-28-1,,jang1254-2,28,nisɑi ɡjɜt̪,nisɑi ɡjɜt̪,[],,['chan2019'],,False,False,,2
jang1254-2-29-1,,jang1254-2,29,nisɑi ɡu,nisɑi ɡu,[],,['chan2019'],,False,False,,2
jang1254-2-30-1,,jang1254-2,30,nisɑi tʃwi,nisɑi tʃwi,[],,['chan2019'],,False,False,,2
jang1254-2-40-1,,jang1254-2,40,niʃ nisɑ,niʃ nisɑ,[],( 2 x 20 ),['chan2019'],,False,False,,2
jang1254-2-50-1,,jang1254-2,50,ni nise tʃwi,ni nise tʃwi,[],,['chan2019'],,False,False,,2
jang1254-2-60-1,,jang1254-2,60,hum nisɑ,hum nisɑ,[],( 3 x 20 ),['chan2019'],,False,False,,2
jang1254-2-70-1,,jang1254-2,70,hum nise tʃwi,hum nise tʃwi,[],,['chan2019'],,False,False,,2
jang1254-2-80-1,,jang1254-2,80,pə nisɑ,pə nisɑ,[],( 4 x 20 ),['chan2019'],,False,False,,2
jang1254-2-90-1,,jang1254-2,90,pə nisɑ tʃwi,pə nisɑ tʃwi,[],,['chan2019'],,False,False,,2
jang1254-2-100-1,,jang1254-2,100,rɑ,rɑ,[],,['chan2019'],,False,False,,2
jang1254-2-200-1,,jang1254-2,200,niʃ rɑ,niʃ rɑ,[],,['chan2019'],,False,False,,2
jang1254-2-200-2,,jang1254-2,200,ni rɑ,ni rɑ,[],,['chan2019'],,False,False,,2
jang1254-2-1000-1,,jang1254-2,1000,iː hɑsɑːr,iː hɑsɑːr,[],,['chan2019'],,False,False,,2
jang1254-2-1000-2,,jang1254-2,1000,id̪ʔbɜɡɜʈɑ,id̪ʔbɜɡɜʈɑ,[],,['chan2019'],,False,False,,2
jang1254-2-2000-1,,jang1254-2,2000,niʃ hɑsɑːr,niʃ hɑsɑːr,[],,['chan2019'],,False,False,,2
