ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kaim1241-1-1-1,,kaim1241-1,1,seʔise,seʔise,[],,['chan2019'],,False,False,,1
kaim1241-1-1-2,,kaim1241-1,1,ɗise,ɗise,[],,['chan2019'],,False,False,,1
kaim1241-1-2-1,,kaim1241-1,2,ʕoɗua,ʕoɗua,[],,['chan2019'],,False,False,,1
kaim1241-1-2-2,,kaim1241-1,2,ɗua,ɗua,[],,['chan2019'],,False,False,,1
kaim1241-1-3-1,,kaim1241-1,3,totolu,totolu,[],,['chan2019'],,False,False,,1
kaim1241-1-3-2,,kaim1241-1,3,tolu,tolu,[],,['chan2019'],,False,False,,1
kaim1241-1-4-1,,kaim1241-1,4,popaa,popaa,[],,['chan2019'],,False,False,,1
kaim1241-1-4-2,,kaim1241-1,4,paa,paa,[],,['chan2019'],,False,False,,1
kaim1241-1-5-1,,kaim1241-1,5,yiɗima,yiɗima,[],,['chan2019'],,False,False,,1
kaim1241-1-5-2,,kaim1241-1,5,ɗima,ɗima,[],,['chan2019'],,False,False,,1
kaim1241-1-6-1,,kaim1241-1,6,nono,nono,[],,['chan2019'],,False,False,,1
kaim1241-1-6-2,,kaim1241-1,6,no,no,[],,['chan2019'],,False,False,,1
kaim1241-1-7-1,,kaim1241-1,7,pipitu,pipitu,[],,['chan2019'],,False,False,,1
kaim1241-1-7-2,,kaim1241-1,7,pitu,pitu,[],,['chan2019'],,False,False,,1
kaim1241-1-8-1,,kaim1241-1,8,oalu,oalu,[],,['chan2019'],,False,False,,1
kaim1241-1-9-1,,kaim1241-1,9,sisiua,sisiua,[],,['chan2019'],,False,False,,1
kaim1241-1-9-2,,kaim1241-1,9,siua,siua,[],,['chan2019'],,False,False,,1
kaim1241-1-10-1,,kaim1241-1,10,mpulu,mpulu,[],,['chan2019'],,False,False,,1
kaim1241-1-11-1,,kaim1241-1,11,mpulu seʔise,mpulu seʔise,[],,['chan2019'],,False,False,,1
kaim1241-1-12-1,,kaim1241-1,12,mpulu ʕoɗua,mpulu ʕoɗua,[],,['chan2019'],,False,False,,1
kaim1241-1-13-1,,kaim1241-1,13,mpulu totolu,mpulu totolu,[],,['chan2019'],,False,False,,1
kaim1241-1-14-1,,kaim1241-1,14,mpulu popaa,mpulu popaa,[],,['chan2019'],,False,False,,1
kaim1241-1-15-1,,kaim1241-1,15,mpulu liɗima,mpulu liɗima,[],,['chan2019'],,False,False,,1
kaim1241-1-16-1,,kaim1241-1,16,mpulu nono,mpulu nono,[],,['chan2019'],,False,False,,1
kaim1241-1-17-1,,kaim1241-1,17,mpulu pipitu,mpulu pipitu,[],,['chan2019'],,False,False,,1
kaim1241-1-18-1,,kaim1241-1,18,mpulu alu,mpulu alu,[],,['chan2019'],,False,False,,1
kaim1241-1-19-1,,kaim1241-1,19,mpulu sisiua,mpulu sisiua,[],,['chan2019'],,False,False,,1
kaim1241-1-20-1,,kaim1241-1,20,ʕua pulu,ʕua pulu,[],,['chan2019'],,False,False,,1
kaim1241-1-21-1,,kaim1241-1,21,ʕua pulu seiʔse,ʕua pulu seiʔse,[],,['chan2019'],,False,False,,1
kaim1241-1-22-1,,kaim1241-1,22,ʕua pulu ʕuadua,ʕua pulu ʕuadua,[],,['chan2019'],,False,False,,1
kaim1241-1-23-1,,kaim1241-1,23,ʕua pulu totolu,ʕua pulu totolu,[],,['chan2019'],,False,False,,1
kaim1241-1-24-1,,kaim1241-1,24,ʕua pulu popaa,ʕua pulu popaa,[],,['chan2019'],,False,False,,1
kaim1241-1-25-1,,kaim1241-1,25,ʕua pulu lilima,ʕua pulu lilima,[],,['chan2019'],,False,False,,1
kaim1241-1-26-1,,kaim1241-1,26,ʕua pulu nono,ʕua pulu nono,[],,['chan2019'],,False,False,,1
kaim1241-1-27-1,,kaim1241-1,27,ʕua pulu pipitu,ʕua pulu pipitu,[],,['chan2019'],,False,False,,1
kaim1241-1-28-1,,kaim1241-1,28,ʕua pulu oalu,ʕua pulu oalu,[],,['chan2019'],,False,False,,1
kaim1241-1-29-1,,kaim1241-1,29,ʕua pulu sisiua,ʕua pulu sisiua,[],,['chan2019'],,False,False,,1
kaim1241-1-30-1,,kaim1241-1,30,tolu pulu,tolu pulu,[],,['chan2019'],,False,False,,1
kaim1241-1-40-1,,kaim1241-1,40,pato pulu,pato pulu,[],,['chan2019'],,False,False,,1
kaim1241-1-50-1,,kaim1241-1,50,lima pulu,lima pulu,[],,['chan2019'],,False,False,,1
kaim1241-1-60-1,,kaim1241-1,60,nomo pulu,nomo pulu,[],,['chan2019'],,False,False,,1
kaim1241-1-70-1,,kaim1241-1,70,pitu pulu,pitu pulu,[],,['chan2019'],,False,False,,1
kaim1241-1-80-1,,kaim1241-1,80,oalu pulu,oalu pulu,[],,['chan2019'],,False,False,,1
kaim1241-1-90-1,,kaim1241-1,90,siua pulu,siua pulu,[],,['chan2019'],,False,False,,1
kaim1241-1-100-1,,kaim1241-1,100,mohono,mohono,[],,['chan2019'],,False,False,,1
kaim1241-1-200-1,,kaim1241-1,200,ʕua mohono,ʕua mohono,[],,['chan2019'],,False,False,,1
kaim1241-1-1000-1,,kaim1241-1,1000,seʕeβu,seʕeβu,[],,['chan2019'],,False,False,,1
kaim1241-1-2000-1,,kaim1241-1,2000,ʕua ʕeβu,ʕua ʕeβu,[],,['chan2019'],,False,False,,1
