ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kali1308-1-1-1,,kali1308-1,1,nkʼʷúʔ,nkʼʷúʔ,[],,['chan2019'],,False,False,,1
kali1308-1-2-1,,kali1308-1,2,ʔesél,ʔesél,[],,['chan2019'],,False,False,,1
kali1308-1-3-1,,kali1308-1,3,čeʔɬé(s),čeʔɬé(s),[],,['chan2019'],,False,False,,1
kali1308-1-4-1,,kali1308-1,4,mús,mús,[],,['chan2019'],,False,False,,1
kali1308-1-5-1,,kali1308-1,5,cíl,cíl,[],,['chan2019'],,False,False,,1
kali1308-1-6-1,,kali1308-1,6,tʼáqʼən,tʼáqʼən,[],,['chan2019'],,False,False,,1
kali1308-1-7-1,,kali1308-1,7,síspʼəlʼ,síspʼəlʼ,[],,['chan2019'],,False,False,,1
kali1308-1-8-1,,kali1308-1,8,heʔénʼəm,heʔénʼəm,[],,['chan2019'],,False,False,,1
kali1308-1-9-1,,kali1308-1,9,x̩x̩anʼút,x̩x̩anʼút,[],,['chan2019'],,False,False,,1
kali1308-1-10-1,,kali1308-1,10,ʔúpən,ʔúpən,[],,['chan2019'],,False,False,,1
kali1308-1-11-1,,kali1308-1,11,ʔúpən ʔeɬ nkʼʷúʔ,ʔúpən ʔeɬ nkʼʷúʔ,[],,['chan2019'],,False,False,,1
kali1308-1-12-1,,kali1308-1,12,ʔúpən ʔeɬ ʔesél,ʔúpən ʔeɬ ʔesél,[],,['chan2019'],,False,False,,1
kali1308-1-13-1,,kali1308-1,13,ʔúpən ʔeɬ čeʔɬé(s),ʔúpən ʔeɬ čeʔɬé(s),[],,['chan2019'],,False,False,,1
kali1308-1-14-1,,kali1308-1,14,ʔúpən ʔeɬ mús,ʔúpən ʔeɬ mús,[],,['chan2019'],,False,False,,1
kali1308-1-15-1,,kali1308-1,15,ʔúpən ʔeɬ cíl,ʔúpən ʔeɬ cíl,[],,['chan2019'],,False,False,,1
