ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kang1280-2-1-1,,kang1280-2,1,ɪk,ɪk,[],,['chan2019'],,False,False,ik,2
kang1280-2-2-1,,kang1280-2,2,d̪o,d̪o,[],,['chan2019'],,False,False,do,2
kang1280-2-3-1,,kang1280-2,3,t̪ɪn,t̪ɪn,[],,['chan2019'],,False,False,tīn,2
kang1280-2-4-1,,kang1280-2,4,t͡ʃɑr,t͡ʃɑr,[],,['chan2019'],,False,False,cār,2
kang1280-2-5-1,,kang1280-2,5,pənd͡ʒ,pənd͡ʒ,[],,['chan2019'],,False,False,panɟ,2
kang1280-2-6-1,,kang1280-2,6,t͡ʃʰe,t͡ʃʰe,[],,['chan2019'],,False,False,che,2
kang1280-2-7-1,,kang1280-2,7,sət̪t̪,sət̪t̪,[],,['chan2019'],,False,False,satt,2
kang1280-2-8-1,,kang1280-2,8,əʈʰ,əʈʰ,[],,['chan2019'],,False,False,aṭh,2
kang1280-2-9-1,,kang1280-2,9,nɔ,nɔ,[],,['chan2019'],,False,False,nɔ,2
kang1280-2-10-1,,kang1280-2,10,d̪əs,d̪əs,[],,['chan2019'],,False,False,dəs,2
kang1280-2-11-1,,kang1280-2,11,gjɑrɑ,gjɑrɑ,[],,['chan2019'],,False,False,gyārā,2
kang1280-2-12-1,,kang1280-2,12,bɑrɑ,bɑrɑ,[],,['chan2019'],,False,False,bārā,2
kang1280-2-13-1,,kang1280-2,13,t̪èrɑ,t̪èrɑ,[],,['chan2019'],,False,False,tèrā,2
kang1280-2-14-1,,kang1280-2,14,t͡ʃəʊd̪ɑ,t͡ʃəʊd̪ɑ,[],,['chan2019'],,False,False,codā,2
kang1280-2-15-1,,kang1280-2,15,pənd̪rɑ,pənd̪rɑ,[],,['chan2019'],,False,False,pandrā,2
kang1280-2-16-1,,kang1280-2,16,soɭɑ,soɭɑ,[],,['chan2019'],,False,False,solā,2
kang1280-2-17-1,,kang1280-2,17,sətɑrɑ,sətɑrɑ,[],,['chan2019'],,False,False,sətārā,2
kang1280-2-18-1,,kang1280-2,18,ʈʰɑrɑ,ʈʰɑrɑ,[],,['chan2019'],,False,False,ṭharā,2
kang1280-2-19-1,,kang1280-2,19,ʊnni,ʊnni,[],( 20 - 1),['chan2019'],,False,False,unni,2
kang1280-2-20-1,,kang1280-2,20,bì,bì,[],,['chan2019'],,False,False,bì,2
kang1280-2-21-1,,kang1280-2,21,ɪkki,ɪkki,[],,['chan2019'],,False,False,ikki,2
kang1280-2-22-1,,kang1280-2,22,bɑi,bɑi,[],,['chan2019'],,False,False,bāi,2
kang1280-2-23-1,,kang1280-2,23,t̪ei,t̪ei,[],,['chan2019'],,False,False,tei,2
kang1280-2-24-1,,kang1280-2,24,t͡ʃɔbi,t͡ʃɔbi,[],,['chan2019'],,False,False,cɔbi,2
kang1280-2-25-1,,kang1280-2,25,pənd͡ʒi,pənd͡ʒi,[],,['chan2019'],,False,False,panɟi,2
kang1280-2-26-1,,kang1280-2,26,t͡ʃʰəbbi,t͡ʃʰəbbi,[],,['chan2019'],,False,False,chabbi,2
kang1280-2-27-1,,kang1280-2,27,sɑt̪ɑi,sɑt̪ɑi,[],,['chan2019'],,False,False,satāi,2
kang1280-2-28-1,,kang1280-2,28,ʈʰɑi,ʈʰɑi,[],,['chan2019'],,False,False,ṭhāi,2
kang1280-2-29-1,,kang1280-2,29,ʊɳt̪ti,ʊɳt̪ti,[],( 30 - 1),['chan2019'],,False,False,untti,2
kang1280-2-30-1,,kang1280-2,30,t̪ì,t̪ì,[],,['chan2019'],,False,False,tī̀,2
kang1280-2-40-1,,kang1280-2,40,t͡ʃɑɭi,t͡ʃɑɭi,[],,['chan2019'],,False,False,cālī,2
kang1280-2-50-1,,kang1280-2,50,pəd͡ʒɑ̀,pəd͡ʒɑ̀,[],,['chan2019'],,False,False,panjà,2
kang1280-2-60-1,,kang1280-2,60,səʈʰ,səʈʰ,[],,['chan2019'],,False,False,ṣaṭh,2
kang1280-2-70-1,,kang1280-2,70,sə̀t̪t̪ər,sə̀t̪t̪ər,[],,['chan2019'],,False,False,sàttar,2
kang1280-2-80-1,,kang1280-2,80,əssi,əssi,[],,['chan2019'],,False,False,assī,2
kang1280-2-90-1,,kang1280-2,90,nəbbɛ,nəbbɛ,[],,['chan2019'],,False,False,nabbe,2
kang1280-2-100-1,,kang1280-2,100,sɔ,sɔ,[],,['chan2019'],,False,False,sɔ,2
kang1280-2-200-1,,kang1280-2,200,d̪o sɔ,d̪o sɔ,[],,['chan2019'],,False,False,do sɔ,2
kang1280-2-1000-1,,kang1280-2,1000,d͡ʒɑ̀r,d͡ʒɑ̀r,[],,['chan2019'],,False,False,ɟā̀r,2
kang1280-2-2000-1,,kang1280-2,2000,do d͡ʒɑ̀r,do d͡ʒɑ̀r,[],,['chan2019'],,False,False,do ɟā̀r,2
