ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
korw1242-1-1-1,,korw1242-1,1,miʈoŋ,miʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-2-1,,korw1242-1,2,barʈoŋ,barʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-3-1,,korw1242-1,3,peiʈoŋ,peiʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-4-1,,korw1242-1,4,t͡ʃarʈoŋ,t͡ʃarʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-5-1,,korw1242-1,5,pãt͡ʃʈoŋ,pãt͡ʃʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-6-1,,korw1242-1,6,t͡ʃʰoʈoŋ,t͡ʃʰoʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-7-1,,korw1242-1,7,sat̪ʈoŋ,sat̪ʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-8-1,,korw1242-1,8,aʈʰʈoŋ,aʈʰʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-9-1,,korw1242-1,9,nɔʈoŋ,nɔʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-10-1,,korw1242-1,10,d̪ʌsʈoŋ,d̪ʌsʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-11-1,,korw1242-1,11,gjarahʈoŋ,gjarahʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-12-1,,korw1242-1,12,barəhʈoŋ,barəhʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-13-1,,korw1242-1,13,t̪erəhʈoŋ,t̪erəhʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-14-1,,korw1242-1,14,t͡ʃɔd̪əhʈoŋ,t͡ʃɔd̪əhʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-15-1,,korw1242-1,15,pʌnd̪rəhʈoŋ,pʌnd̪rəhʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-16-1,,korw1242-1,16,soləhʈoŋ,soləhʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-17-1,,korw1242-1,17,sʌt̪rəhʈoŋ,sʌt̪rəhʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-18-1,,korw1242-1,18,ʌʈʰarəhʈoŋ,ʌʈʰarəhʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-19-1,,korw1242-1,19,ʊnːisʈoŋ,ʊnːisʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-20-1,,korw1242-1,20,mikuɽi,mikuɽi,[],,['chan2019'],,False,False,,1
korw1242-1-21-1,,korw1242-1,21,ɪkːisʈoŋ,ɪkːisʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-22-1,,korw1242-1,22,baisʈoŋ,baisʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-23-1,,korw1242-1,23,t̪eisʈoŋ,t̪eisʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-24-1,,korw1242-1,24,t͡ʃɔbisʈoŋ,t͡ʃɔbisʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-25-1,,korw1242-1,25,pʌt͡ʃisʈoŋ,pʌt͡ʃisʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-26-1,,korw1242-1,26,t͡ʃʰʌbːisʈoŋ,t͡ʃʰʌbːisʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-27-1,,korw1242-1,27,sʌt̪aisʈoŋ,sʌt̪aisʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-28-1,,korw1242-1,28,ʌʈʰaisʈoŋ,ʌʈʰaisʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-29-1,,korw1242-1,29,ʊnt̪isʈoŋ,ʊnt̪isʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-30-1,,korw1242-1,30,t̪isʈoŋ,t̪isʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-40-1,,korw1242-1,40,t͡ʃalisʈoŋ,t͡ʃalisʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-50-1,,korw1242-1,50,pʌt͡ʃasʈoŋ,pʌt͡ʃasʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-60-1,,korw1242-1,60,saʈʰʈoŋ,saʈʰʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-70-1,,korw1242-1,70,sʌt̪ːərʈoŋ,sʌt̪ːərʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-80-1,,korw1242-1,80,ʌsːiːʈoŋ,ʌsːiːʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-90-1,,korw1242-1,90,nʌbːeʈoŋ,nʌbːeʈoŋ,[],,['chan2019'],,False,False,,1
korw1242-1-100-1,,korw1242-1,100,pãt͡ʃkuɽi,pãt͡ʃkuɽi,[],,['chan2019'],,False,False,,1
korw1242-1-200-1,,korw1242-1,200,bar sɔ,bar sɔ,[],,['chan2019'],,False,False,,1
korw1242-1-1000-1,,korw1242-1,1000,miː hʌd͡ʒar,miː hʌd͡ʒar,[],,['chan2019'],,False,False,,1
korw1242-1-2000-1,,korw1242-1,2000,barhʌd͡ʒar,barhʌd͡ʒar,[],,['chan2019'],,False,False,,1
