ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kwam1249-1-1-1,,kwam1249-1,1,sóndò,sóndò,[],,['chan2019'],,False,False,,1
kwam1249-1-1-2,,kwam1249-1,1,sɛ́ːnɛ́,sɛ́ːnɛ́,[],,['chan2019'],,False,False,,1
kwam1249-1-1-3,,kwam1249-1,1,sɛ́ːsʼkìn,sɛ́ːsʼkìn,[],,['chan2019'],,False,False,,1
kwam1249-1-2-1,,kwam1249-1,2,sùjá,sùjá,[],,['chan2019'],,False,False,,1
kwam1249-1-3-1,,kwam1249-1,3,twásɛ̀n,twásɛ̀n,[],,['chan2019'],,False,False,,1
kwam1249-1-4-1,,kwam1249-1,4,béːsʼìn,béːsʼìn,[],,['chan2019'],,False,False,,1
kwam1249-1-5-1,,kwam1249-1,5,kúːmùtʼ,kúːmùtʼ,[],,['chan2019'],,False,False,,1
kwam1249-1-6-1,,kwam1249-1,6,kúbà-sèːn,kúbà-sèːn,[],('takes/lends/brings one'),['chan2019'],,False,False,,1
kwam1249-1-7-1,,kwam1249-1,7,kúbá-sùjá,kúbá-sùjá,[],('takes/lends/brings two'),['chan2019'],,False,False,,1
kwam1249-1-8-1,,kwam1249-1,8,kúbà-twásɛ̄n,kúbà-twásɛ̄n,[],('takes/lends/br. three'),['chan2019'],,False,False,,1
kwam1249-1-9-1,,kwam1249-1,9,kúb-béːsʼín,kúb-béːsʼín,[],('takes/lends/brings four'),['chan2019'],,False,False,,1
kwam1249-1-10-1,,kwam1249-1,10,kʼúːzí,kʼúːzí,[],(lit: 'fingers'),['chan2019'],,False,False,,1
kwam1249-1-11-1,,kwam1249-1,11,kʼúz-òt-sɛ̀n,kʼúz-òt-sɛ̀n,[],,['chan2019'],,False,False,,1
kwam1249-1-12-1,,kwam1249-1,12,kʼúz-òt-sújá,kʼúz-òt-sújá,[],,['chan2019'],,False,False,,1
kwam1249-1-13-1,,kwam1249-1,13,kʼúz-òt-twásɛ̄n,kʼúz-òt-twásɛ̄n,[],,['chan2019'],,False,False,,1
kwam1249-1-14-1,,kwam1249-1,14,kʼúz-òt-béːsìn,kʼúz-òt-béːsìn,[],,['chan2019'],,False,False,,1
kwam1249-1-15-1,,kwam1249-1,15,kʼúz-òt-kúːmùtʼ,kʼúz-òt-kúːmùtʼ,[],,['chan2019'],,False,False,,1
kwam1249-1-16-1,,kwam1249-1,16,kʼúz-òt-kúbà-sɛ̄n,kʼúz-òt-kúbà-sɛ̄n,[],,['chan2019'],,False,False,,1
kwam1249-1-17-1,,kwam1249-1,17,kʼúz-òt-kúbà-sùjá,kʼúz-òt-kúbà-sùjá,[],,['chan2019'],,False,False,,1
kwam1249-1-18-1,,kwam1249-1,18,kʼúz-òt-kúbà-twásɛ̄n,kʼúz-òt-kúbà-twásɛ̄n,[],,['chan2019'],,False,False,,1
kwam1249-1-19-1,,kwam1249-1,19,kʼúz-òt-kúb-béːsʼìn,kʼúz-òt-kúb-béːsʼìn,[],,['chan2019'],,False,False,,1
kwam1249-1-20-1,,kwam1249-1,20,jìsɛ̀-sɛ́n,jìsɛ̀-sɛ́n,[],,['chan2019'],,False,False,,1
kwam1249-1-21-1,,kwam1249-1,21,jìsɛ̀-sɛ́n-òt-sɛ̀n,jìsɛ̀-sɛ́n-òt-sɛ̀n,[],,['chan2019'],,False,False,,1
kwam1249-1-22-1,,kwam1249-1,22,jìsɛ̀-sɛ́n-òt-sújá,jìsɛ̀-sɛ́n-òt-sújá,[],,['chan2019'],,False,False,,1
kwam1249-1-23-1,,kwam1249-1,23,jìsɛ̀-sɛ́n-òt-twásɛ̄n,jìsɛ̀-sɛ́n-òt-twásɛ̄n,[],,['chan2019'],,False,False,,1
kwam1249-1-24-1,,kwam1249-1,24,jìsɛ̀-sɛ́n-òt-béːsín,jìsɛ̀-sɛ́n-òt-béːsín,[],,['chan2019'],,False,False,,1
kwam1249-1-25-1,,kwam1249-1,25,jìsɛ̀-sɛ́n-òt-kúːmútʼ,jìsɛ̀-sɛ́n-òt-kúːmútʼ,[],,['chan2019'],,False,False,,1
kwam1249-1-26-1,,kwam1249-1,26,jìsɛ̀-sɛ́n-òt-kúbá-sɛ̄n,jìsɛ̀-sɛ́n-òt-kúbá-sɛ̄n,[],,['chan2019'],,False,False,,1
kwam1249-1-27-1,,kwam1249-1,27,jìsɛ̀-sɛ́n-òt-kúb-sújá,jìsɛ̀-sɛ́n-òt-kúb-sújá,[],,['chan2019'],,False,False,,1
kwam1249-1-28-1,,kwam1249-1,28,jìsɛ̀-sɛ́n-òt-kúbā-twásɛ̄n,jìsɛ̀-sɛ́n-òt-kúbā-twásɛ̄n,[],,['chan2019'],,False,False,,1
kwam1249-1-29-1,,kwam1249-1,29,jìsɛ̀-sɛ́n-òt-kúb-béːsʼìn,jìsɛ̀-sɛ́n-òt-kúb-béːsʼìn,[],,['chan2019'],,False,False,,1
