ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
lote1237-1-1-1,,lote1237-1,1,ɛllɛ,ɛllɛ,[],,['chan2019'],,False,False,,1
lote1237-1-2-1,,lote1237-1,2,nai,nai,[],,['chan2019'],,False,False,,1
lote1237-1-3-1,,lote1237-1,3,mɔl,mɔl,[],,['chan2019'],,False,False,,1
lote1237-1-4-1,,lote1237-1,4,hɛnɛl,hɛnɛl,[],,['chan2019'],,False,False,,1
lote1237-1-5-1,,lote1237-1,5,limɛ,limɛ,[],,['chan2019'],,False,False,,1
lote1237-1-6-1,,lote1237-1,6,limɛ pe ratɛlɛ ɛllɛ,limɛ pe ratɛlɛ ɛllɛ,[],( 5 + 1 ),['chan2019'],,False,False,,1
lote1237-1-7-1,,lote1237-1,7,limɛ pe ratɛlɛ nai,limɛ pe ratɛlɛ nai,[],( 5 + 2 ),['chan2019'],,False,False,,1
lote1237-1-8-1,,lote1237-1,8,limɛ pe ratɛlɛ mɔl,limɛ pe ratɛlɛ mɔl,[],( 5 + 3 ),['chan2019'],,False,False,,1
lote1237-1-9-1,,lote1237-1,9,limɛ pe ratɛlɛ hɛnɛl,limɛ pe ratɛlɛ hɛnɛl,[],( 5 + 4 ),['chan2019'],,False,False,,1
lote1237-1-10-1,,lote1237-1,10,analɔx,analɔx,[],( litː ''one whole'' ),['chan2019'],,False,False,,1
lote1237-1-11-1,,lote1237-1,11,analox pe ɛllɛ,analox pe ɛllɛ,[],,['chan2019'],,False,False,,1
lote1237-1-12-1,,lote1237-1,12,analɔx pe nai,analɔx pe nai,[],,['chan2019'],,False,False,,1
lote1237-1-13-1,,lote1237-1,13,analɔx pe mɔl,analɔx pe mɔl,[],,['chan2019'],,False,False,,1
lote1237-1-14-1,,lote1237-1,14,analɔx pe hɛnɛl,analɔx pe hɛnɛl,[],,['chan2019'],,False,False,,1
lote1237-1-15-1,,lote1237-1,15,analɔx pe limɛ,analɔx pe limɛ,[],,['chan2019'],,False,False,,1
lote1237-1-16-1,,lote1237-1,16,analɔx pe limɛ pe ɛllɛ,analɔx pe limɛ pe ɛllɛ,[],,['chan2019'],,False,False,,1
lote1237-1-17-1,,lote1237-1,17,analɔx pe limɛ penai,analɔx pe limɛ penai,[],,['chan2019'],,False,False,,1
lote1237-1-18-1,,lote1237-1,18,analɔx pe limɛ pemɔl,analɔx pe limɛ pemɔl,[],,['chan2019'],,False,False,,1
lote1237-1-19-1,,lote1237-1,19,analɔx pe limɛ pe hɛnɛl,analɔx pe limɛ pe hɛnɛl,[],,['chan2019'],,False,False,,1
lote1237-1-20-1,,lote1237-1,20,ana nɔn kina ɛllɛ,ana nɔn kina ɛllɛ,[],,['chan2019'],,False,False,,1
lote1237-1-21-1,,lote1237-1,21,ana nɔn kina ɛllɛ pe ɛllɛ,ana nɔn kina ɛllɛ pe ɛllɛ,[],,['chan2019'],,False,False,,1
lote1237-1-22-1,,lote1237-1,22,ana nɔn kina ɛllɛ pe nai,ana nɔn kina ɛllɛ pe nai,[],,['chan2019'],,False,False,,1
lote1237-1-23-1,,lote1237-1,23,ana nɔn kina ɛllɛ pe mɔl,ana nɔn kina ɛllɛ pe mɔl,[],,['chan2019'],,False,False,,1
lote1237-1-24-1,,lote1237-1,24,ana nɔn kina ɛllɛ pe hɛnɛl,ana nɔn kina ɛllɛ pe hɛnɛl,[],,['chan2019'],,False,False,,1
lote1237-1-25-1,,lote1237-1,25,ana nɔn kina ɛllɛ pe limɛ,ana nɔn kina ɛllɛ pe limɛ,[],,['chan2019'],,False,False,,1
lote1237-1-26-1,,lote1237-1,26,ana nɔn kina ɛllɛ pe limɛ pe ɛllɛ,ana nɔn kina ɛllɛ pe limɛ pe ɛllɛ,[],,['chan2019'],,False,False,,1
lote1237-1-27-1,,lote1237-1,27,ana nɔn kina ɛllɛ pe limɛ pe nai,ana nɔn kina ɛllɛ pe limɛ pe nai,[],,['chan2019'],,False,False,,1
lote1237-1-28-1,,lote1237-1,28,ana nɔn kina ɛllɛ pe limɛ pe mɔl,ana nɔn kina ɛllɛ pe limɛ pe mɔl,[],,['chan2019'],,False,False,,1
lote1237-1-29-1,,lote1237-1,29,ana nɔn kina ɛllɛ pe limɛ pe hɛnɛl,ana nɔn kina ɛllɛ pe limɛ pe hɛnɛl,[],,['chan2019'],,False,False,,1
lote1237-1-30-1,,lote1237-1,30,ana nɔn kina ɛllɛ pe ana lɔx,ana nɔn kina ɛllɛ pe ana lɔx,[],,['chan2019'],,False,False,,1
lote1237-1-40-1,,lote1237-1,40,ana nɔn kina nai,ana nɔn kina nai,[],,['chan2019'],,False,False,,1
lote1237-1-50-1,,lote1237-1,50,ana nɔn kina nai pe ana lɔx,ana nɔn kina nai pe ana lɔx,[],,['chan2019'],,False,False,,1
lote1237-1-60-1,,lote1237-1,60,ana nɔn kina mɔl,ana nɔn kina mɔl,[],,['chan2019'],,False,False,,1
lote1237-1-70-1,,lote1237-1,70,ana nɔn kina mɔl pe ana lɔx,ana nɔn kina mɔl pe ana lɔx,[],,['chan2019'],,False,False,,1
