ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
lowl1260-1-1-1,,lowl1260-1,1,ɲulji,ɲulji,[],,['chan2019'],,False,False,,1
lowl1260-1-2-1,,lowl1260-1,2,ukweʔ,ukweʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-3-1,,lowl1260-1,3,faneʔ,faneʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-4-1,,lowl1260-1,4,malpuʔ,malpuʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-5-1,,lowl1260-1,5,maɡeʔ,maɡeʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-6-1,,lowl1260-1,6,kʔantʃux kʔ = 'a glottalized k',kʔantʃux kʔ = 'a glottalized k',[],,['chan2019'],,False,True,,1
lowl1260-1-7-1,,lowl1260-1,7,koteʔ,koteʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-8-1,,lowl1260-1,8,malfaʔ,malfaʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-9-1,,lowl1260-1,9,penlaʔ,penlaʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-10-1,,lowl1260-1,10,mbamaʔ,mbamaʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-11-1,,lowl1260-1,11,mbamaʔ ɲulji,mbamaʔ ɲulji,[],,['chan2019'],,False,False,,1
lowl1260-1-12-1,,lowl1260-1,12,mbamaʔ ukweʔ,mbamaʔ ukweʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-13-1,,lowl1260-1,13,mbamaʔ faneʔ,mbamaʔ faneʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-14-1,,lowl1260-1,14,mbamaʔ malpuʔ,mbamaʔ malpuʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-15-1,,lowl1260-1,15,mbamaʔ maɡeʔ,mbamaʔ maɡeʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-16-1,,lowl1260-1,16,mbamaʔ kʔantʃux,mbamaʔ kʔantʃux,[],,['chan2019'],,False,False,,1
lowl1260-1-17-1,,lowl1260-1,17,mbamaʔ koteʔ,mbamaʔ koteʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-18-1,,lowl1260-1,18,mbamaʔ malfaʔ,mbamaʔ malfaʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-19-1,,lowl1260-1,19,mbamaʔ penlaʔ,mbamaʔ penlaʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-20-1,,lowl1260-1,20,ɲuxans,ɲuxans,[],,['chan2019'],,False,False,,1
lowl1260-1-21-1,,lowl1260-1,21,ɲuxans ɲulji,ɲuxans ɲulji,[],,['chan2019'],,False,False,,1
lowl1260-1-22-1,,lowl1260-1,22,ɲuxans ukweʔ,ɲuxans ukweʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-23-1,,lowl1260-1,23,ɲuxans faneʔ,ɲuxans faneʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-24-1,,lowl1260-1,24,ɲuxans malpuʔ,ɲuxans malpuʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-25-1,,lowl1260-1,25,ɲuxans maɡeʔ,ɲuxans maɡeʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-26-1,,lowl1260-1,26,ɲuxans kʔantʃux,ɲuxans kʔantʃux,[],,['chan2019'],,False,False,,1
lowl1260-1-27-1,,lowl1260-1,27,ɲuxans koteʔ,ɲuxans koteʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-28-1,,lowl1260-1,28,ɲuxans malfaʔ,ɲuxans malfaʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-29-1,,lowl1260-1,29,ɲuxans penlaʔ,ɲuxans penlaʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-30-1,,lowl1260-1,30,ɲuxans mbamaʔ,ɲuxans mbamaʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-40-1,,lowl1260-1,40,ukweʔ ɲuxans,ukweʔ ɲuxans,[],,['chan2019'],,False,False,,1
lowl1260-1-50-1,,lowl1260-1,50,ukweʔ ɲuxans mbamaʔ,ukweʔ ɲuxans mbamaʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-60-1,,lowl1260-1,60,faneʔ ɲuxans,faneʔ ɲuxans,[],,['chan2019'],,False,False,,1
lowl1260-1-70-1,,lowl1260-1,70,faneʔ ɲuxans mbamaʔ,faneʔ ɲuxans mbamaʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-80-1,,lowl1260-1,80,malpuʔ ɲuxans,malpuʔ ɲuxans,[],,['chan2019'],,False,False,,1
lowl1260-1-90-1,,lowl1260-1,90,malpuʔ ɲuxans mbamaʔ,malpuʔ ɲuxans mbamaʔ,[],,['chan2019'],,False,False,,1
lowl1260-1-100-1,,lowl1260-1,100,maxɲu,maxɲu,[],,['chan2019'],,False,False,,1
lowl1260-1-200-1,,lowl1260-1,200,ukweʔ maxɲu or mbama ɲuxans,ukweʔ maxɲu or mbama ɲuxans,[],,['chan2019'],,False,True,,1
lowl1260-1-1000-1,,lowl1260-1,1000,mil,mil,[],( mil < Spanish ),['chan2019'],,True,False,,1
lowl1260-1-2000-1,,lowl1260-1,2000,ukweʔ mil,ukweʔ mil,[],,['chan2019'],,False,False,,1
