ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
ludi1246-1-1-1,,ludi1246-1,1,ykş,ykş,[],,['chan2019'],,False,False,,1
ludi1246-1-2-1,,ludi1246-1,2,kakş,kakş,[],,['chan2019'],,False,False,,1
ludi1246-1-3-1,,ludi1246-1,3,koɫm,koɫm,[],,['chan2019'],,False,False,,1
ludi1246-1-4-1,,ludi1246-1,4,nellʲ,nellʲ,[],,['chan2019'],,False,False,,1
ludi1246-1-5-1,,ludi1246-1,5,viːʒ,viːʒ,[],,['chan2019'],,False,False,,1
ludi1246-1-6-1,,ludi1246-1,6,kuːƺ,kuːƺ,[],,['chan2019'],,False,False,,1
ludi1246-1-7-1,,ludi1246-1,7,seitʃime,seitʃime,[],,['chan2019'],,False,False,,1
ludi1246-1-8-1,,ludi1246-1,8,kahesa,kahesa,[],,['chan2019'],,False,False,,1
ludi1246-1-9-1,,ludi1246-1,9,yhesa,yhesa,[],,['chan2019'],,False,False,,1
ludi1246-1-10-1,,ludi1246-1,10,kymne,kymne,[],,['chan2019'],,False,False,,1
ludi1246-1-11-1,,ludi1246-1,11,ykştoʃt,ykştoʃt,[],,['chan2019'],,False,False,,1
ludi1246-1-12-1,,ludi1246-1,12,kakştoʃt,kakştoʃt,[],,['chan2019'],,False,False,,1
ludi1246-1-13-1,,ludi1246-1,13,koɫmtoʃt,koɫmtoʃt,[],,['chan2019'],,False,False,,1
ludi1246-1-14-1,,ludi1246-1,14,nellʲtoʃt,nellʲtoʃt,[],,['chan2019'],,False,False,,1
ludi1246-1-15-1,,ludi1246-1,15,viːʃtoʃt,viːʃtoʃt,[],,['chan2019'],,False,False,,1
ludi1246-1-16-1,,ludi1246-1,16,kuːʃtoʃt,kuːʃtoʃt,[],,['chan2019'],,False,False,,1
ludi1246-1-17-1,,ludi1246-1,17,seitʃimetoʃt,seitʃimetoʃt,[],,['chan2019'],,False,False,,1
ludi1246-1-18-1,,ludi1246-1,18,kahesatoʃt,kahesatoʃt,[],,['chan2019'],,False,False,,1
ludi1246-1-19-1,,ludi1246-1,19,yhesatoʃt,yhesatoʃt,[],,['chan2019'],,False,False,,1
ludi1246-1-20-1,,ludi1246-1,20,kakskyment,kakskyment,[],,['chan2019'],,False,False,,1
ludi1246-1-21-1,,ludi1246-1,21,kakskyment ykş,kakskyment ykş,[],,['chan2019'],,False,False,,1
ludi1246-1-22-1,,ludi1246-1,22,kakskyment kakş,kakskyment kakş,[],,['chan2019'],,False,False,,1
ludi1246-1-23-1,,ludi1246-1,23,kakskyment koɫm,kakskyment koɫm,[],,['chan2019'],,False,False,,1
ludi1246-1-24-1,,ludi1246-1,24,kakskyment nellʲ,kakskyment nellʲ,[],,['chan2019'],,False,False,,1
ludi1246-1-25-1,,ludi1246-1,25,kakskyment viːʒ,kakskyment viːʒ,[],,['chan2019'],,False,False,,1
ludi1246-1-26-1,,ludi1246-1,26,kakskyment kuːƺ,kakskyment kuːƺ,[],,['chan2019'],,False,False,,1
ludi1246-1-27-1,,ludi1246-1,27,kakskyment seitʃime,kakskyment seitʃime,[],,['chan2019'],,False,False,,1
ludi1246-1-28-1,,ludi1246-1,28,kakskyment kahesa,kakskyment kahesa,[],,['chan2019'],,False,False,,1
ludi1246-1-29-1,,ludi1246-1,29,kakskyment yhesa,kakskyment yhesa,[],,['chan2019'],,False,False,,1
ludi1246-1-30-1,,ludi1246-1,30,koɫmkyment,koɫmkyment,[],,['chan2019'],,False,False,,1
ludi1246-1-40-1,,ludi1246-1,40,nellʲkyment,nellʲkyment,[],,['chan2019'],,False,False,,1
ludi1246-1-50-1,,ludi1246-1,50,viːʃkyment,viːʃkyment,[],,['chan2019'],,False,False,,1
ludi1246-1-60-1,,ludi1246-1,60,kuːʃkyment,kuːʃkyment,[],,['chan2019'],,False,False,,1
ludi1246-1-70-1,,ludi1246-1,70,seitʃimekyment,seitʃimekyment,[],,['chan2019'],,False,False,,1
ludi1246-1-80-1,,ludi1246-1,80,kahesakyment,kahesakyment,[],,['chan2019'],,False,False,,1
ludi1246-1-90-1,,ludi1246-1,90,yhesakyment,yhesakyment,[],,['chan2019'],,False,False,,1
ludi1246-1-100-1,,ludi1246-1,100,sada,sada,[],,['chan2019'],,False,False,,1
ludi1246-1-200-1,,ludi1246-1,200,kakssadad,kakssadad,[],,['chan2019'],,False,False,,1
ludi1246-1-1000-1,,ludi1246-1,1000,tuha,tuha,[],,['chan2019'],,False,False,,1
ludi1246-1-2000-1,,ludi1246-1,2000,kakstuhad,kakstuhad,[],,['chan2019'],,False,False,,1
