ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
maas1239-1-1-1,,maas1239-1,1,ɡoʔo,ɡoʔo,[],,['chan2019'],,False,False,,1
maas1239-1-2-1,,maas1239-1,2,ɗiɗi,ɗiɗi,[],,['chan2019'],,False,False,,1
maas1239-1-3-1,,maas1239-1,3,tati,tati,[],,['chan2019'],,False,False,,1
maas1239-1-4-1,,maas1239-1,4,naj,naj,[],,['chan2019'],,False,False,,1
maas1239-1-5-1,,maas1239-1,5,d͡ʒoj,d͡ʒoj,[],,['chan2019'],,False,False,,1
maas1239-1-6-1,,maas1239-1,6,d͡ʒeːɡom,d͡ʒeːɡom,[],( 5 + 1 ),['chan2019'],,False,False,,1
maas1239-1-7-1,,maas1239-1,7,d͡ʒeɗ:i,d͡ʒeɗ:i,[],( 5 + 2 ),['chan2019'],,False,False,,1
maas1239-1-8-1,,maas1239-1,8,d͡ʒet:i,d͡ʒet:i,[],( 5 + 3 ),['chan2019'],,False,False,,1
maas1239-1-9-1,,maas1239-1,9,d͡ʒeːnaj,d͡ʒeːnaj,[],( 5 + 4 ),['chan2019'],,False,False,,1
maas1239-1-10-1,,maas1239-1,10,sap:o,sap:o,[],,['chan2019'],,False,False,,1
maas1239-1-11-1,,maas1239-1,11,sap:o e ɡoʔo,sap:o e ɡoʔo,[],,['chan2019'],,False,False,,1
maas1239-1-12-1,,maas1239-1,12,sap:o e ɗiɗi,sap:o e ɗiɗi,[],,['chan2019'],,False,False,,1
maas1239-1-13-1,,maas1239-1,13,sap:o e tati,sap:o e tati,[],,['chan2019'],,False,False,,1
maas1239-1-14-1,,maas1239-1,14,sap:o e naj,sap:o e naj,[],,['chan2019'],,False,False,,1
maas1239-1-15-1,,maas1239-1,15,sap:o e d͡ʒoj,sap:o e d͡ʒoj,[],,['chan2019'],,False,False,,1
maas1239-1-16-1,,maas1239-1,16,sap:o e d͡ʒeːɡom,sap:o e d͡ʒeːɡom,[],,['chan2019'],,False,False,,1
maas1239-1-17-1,,maas1239-1,17,sap:o e d͡ʒeɗ:i,sap:o e d͡ʒeɗ:i,[],,['chan2019'],,False,False,,1
maas1239-1-18-1,,maas1239-1,18,sap:o e d͡ʒet:i,sap:o e d͡ʒet:i,[],,['chan2019'],,False,False,,1
maas1239-1-19-1,,maas1239-1,19,sap:o e d͡ʒeːnaj,sap:o e d͡ʒeːnaj,[],,['chan2019'],,False,False,,1
maas1239-1-20-1,,maas1239-1,20,noːɡay,noːɡay,[],,['chan2019'],,False,False,,1
maas1239-1-21-1,,maas1239-1,21,noːɡaj e ɡoʔo,noːɡaj e ɡoʔo,[],,['chan2019'],,False,False,,1
maas1239-1-22-1,,maas1239-1,22,noːɡaj e ɗiɗi,noːɡaj e ɗiɗi,[],,['chan2019'],,False,False,,1
maas1239-1-23-1,,maas1239-1,23,noːɡaj e tati,noːɡaj e tati,[],,['chan2019'],,False,False,,1
maas1239-1-24-1,,maas1239-1,24,noːɡaj e naj,noːɡaj e naj,[],,['chan2019'],,False,False,,1
maas1239-1-25-1,,maas1239-1,25,noːɡaj e d͡ʒoj,noːɡaj e d͡ʒoj,[],,['chan2019'],,False,False,,1
maas1239-1-26-1,,maas1239-1,26,noːɡaj e d͡ʒeːɡom,noːɡaj e d͡ʒeːɡom,[],,['chan2019'],,False,False,,1
maas1239-1-27-1,,maas1239-1,27,noːɡaj e d͡ʒeɗ:i,noːɡaj e d͡ʒeɗ:i,[],,['chan2019'],,False,False,,1
maas1239-1-28-1,,maas1239-1,28,noːɡaj e d͡ʒet:i,noːɡaj e d͡ʒet:i,[],,['chan2019'],,False,False,,1
maas1239-1-29-1,,maas1239-1,29,noːɡaj e d͡ʒeːnaj,noːɡaj e d͡ʒeːnaj,[],,['chan2019'],,False,False,,1
maas1239-1-30-1,,maas1239-1,30,t͡ʃʰappantati,t͡ʃʰappantati,[],,['chan2019'],,False,False,,1
maas1239-1-40-1,,maas1239-1,40,debe,debe,[],,['chan2019'],,False,False,,1
maas1239-1-50-1,,maas1239-1,50,debe e sap:o,debe e sap:o,[],,['chan2019'],,False,False,,1
maas1239-1-60-1,,maas1239-1,60,mali-hemre,mali-hemre,[],,['chan2019'],,False,False,,1
maas1239-1-70-1,,maas1239-1,70,mali-hemre e sap:o,mali-hemre e sap:o,[],,['chan2019'],,False,False,,1
maas1239-1-80-1,,maas1239-1,80,hemre,hemre,[],(-bambara),['chan2019'],,False,False,,1
maas1239-1-90-1,,maas1239-1,90,hemre(-bambara) e sap:o,hemre(-bambara) e sap:o,[],,['chan2019'],,False,False,,1
maas1239-1-100-1,,maas1239-1,100,te:medere,te:medere,[],,['chan2019'],,False,False,,1
maas1239-1-200-1,,maas1239-1,200,te:medere ɗiɗi,te:medere ɗiɗi,[],,['chan2019'],,False,False,,1
maas1239-1-1000-1,,maas1239-1,1000,ud͡ʒenere,ud͡ʒenere,[],,['chan2019'],,False,False,,1
maas1239-1-2000-1,,maas1239-1,2000,ud͡ʒena:d͡ʒ ɗiɗi,ud͡ʒena:d͡ʒ ɗiɗi,[],,['chan2019'],,False,False,,1
