ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
manm1238-1-1-1,,manm1238-1,1,m̩ ɔ31,m̩ ɔ31,[],,['chan2019'],,False,False,,1
manm1238-1-1-2,,manm1238-1,1,nɤŋ35,nɤŋ35,[],,['chan2019'],,False,False,,1
manm1238-1-2-1,,manm1238-1,2,au31,au31,[],,['chan2019'],,False,False,,1
manm1238-1-2-2,,manm1238-1,2,sɔŋ35,sɔŋ35,[],,['chan2019'],,False,False,,1
manm1238-1-3-1,,manm1238-1,3,ɔi31,ɔi31,[],,['chan2019'],,False,False,,1
manm1238-1-3-2,,manm1238-1,3,sam35,sam35,[],,['chan2019'],,False,False,,1
manm1238-1-4-1,,manm1238-1,4,pʰon31,pʰon31,[],,['chan2019'],,False,False,,1
manm1238-1-4-2,,manm1238-1,4,si13,si13,[],,['chan2019'],,False,False,,1
manm1238-1-5-1,,manm1238-1,5,ɕɛn55,ɕɛn55,[],,['chan2019'],,False,False,,1
manm1238-1-5-2,,manm1238-1,5,ha13,ha13,[],,['chan2019'],,False,False,,1
manm1238-1-6-1,,manm1238-1,6,tʰon31,tʰon31,[],,['chan2019'],,False,False,,1
manm1238-1-6-2,,manm1238-1,6,hok53,hok53,[],,['chan2019'],,False,False,,1
manm1238-1-7-1,,manm1238-1,7,tɕet53,tɕet53,[],,['chan2019'],,False,False,,1
manm1238-1-8-1,,manm1238-1,8,pɛt13,pɛt13,[],,['chan2019'],,False,False,,1
manm1238-1-9-1,,manm1238-1,9,kau13,kau13,[],,['chan2019'],,False,False,,1
manm1238-1-10-1,,manm1238-1,10,kʰiou31,kʰiou31,[],,['chan2019'],,False,False,,1
manm1238-1-10-2,,manm1238-1,10,sip53,sip53,[],,['chan2019'],,False,False,,1
manm1238-1-11-1,,manm1238-1,11,sip53et53,sip53et53,[],,['chan2019'],,False,False,,1
manm1238-1-12-1,,manm1238-1,12,sip53sɔŋ53,sip53sɔŋ53,[],,['chan2019'],,False,False,,1
manm1238-1-13-1,,manm1238-1,13,sip53sam35,sip53sam35,[],,['chan2019'],,False,False,,1
manm1238-1-14-1,,manm1238-1,14,sip53si13,sip53si13,[],,['chan2019'],,False,False,,1
manm1238-1-15-1,,manm1238-1,15,sip53ha13,sip53ha13,[],,['chan2019'],,False,False,,1
manm1238-1-16-1,,manm1238-1,16,sip53hok53,sip53hok53,[],,['chan2019'],,False,False,,1
manm1238-1-17-1,,manm1238-1,17,sip53tɕet53,sip53tɕet53,[],,['chan2019'],,False,False,,1
manm1238-1-18-1,,manm1238-1,18,sip53pɛt13,sip53pɛt13,[],,['chan2019'],,False,False,,1
manm1238-1-19-1,,manm1238-1,19,sip53kau13,sip53kau13,[],,['chan2019'],,False,False,,1
manm1238-1-20-1,,manm1238-1,20,sau31,sau31,[],,['chan2019'],,False,False,,1
manm1238-1-21-1,,manm1238-1,21,sau31 et53,sau31 et53,[],,['chan2019'],,False,False,,1
manm1238-1-22-1,,manm1238-1,22,sau31 sɔŋ35,sau31 sɔŋ35,[],,['chan2019'],,False,False,,1
manm1238-1-23-1,,manm1238-1,23,sau31 sam35,sau31 sam35,[],,['chan2019'],,False,False,,1
manm1238-1-24-1,,manm1238-1,24,sau31 si13,sau31 si13,[],,['chan2019'],,False,False,,1
manm1238-1-25-1,,manm1238-1,25,sau31 ha13,sau31 ha13,[],,['chan2019'],,False,False,,1
manm1238-1-26-1,,manm1238-1,26,sau31 hok53,sau31 hok53,[],,['chan2019'],,False,False,,1
manm1238-1-27-1,,manm1238-1,27,sau31 tɕet53,sau31 tɕet53,[],,['chan2019'],,False,False,,1
manm1238-1-28-1,,manm1238-1,28,sau31 pɛt13,sau31 pɛt13,[],,['chan2019'],,False,False,,1
manm1238-1-29-1,,manm1238-1,29,sau31 kau13,sau31 kau13,[],,['chan2019'],,False,False,,1
manm1238-1-30-1,,manm1238-1,30,sam35 sip53,sam35 sip53,[],,['chan2019'],,False,False,,1
manm1238-1-40-1,,manm1238-1,40,si13 sip52,si13 sip52,[],,['chan2019'],,False,False,,1
manm1238-1-50-1,,manm1238-1,50,ha13 sip53,ha13 sip53,[],,['chan2019'],,False,False,,1
manm1238-1-60-1,,manm1238-1,60,hok53 sip53,hok53 sip53,[],,['chan2019'],,False,False,,1
manm1238-1-70-1,,manm1238-1,70,tɕet53 sip53,tɕet53 sip53,[],,['chan2019'],,False,False,,1
manm1238-1-80-1,,manm1238-1,80,pɛt13 sip53,pɛt13 sip53,[],,['chan2019'],,False,False,,1
manm1238-1-90-1,,manm1238-1,90,kau13 sip53,kau13 sip53,[],,['chan2019'],,False,False,,1
manm1238-1-100-1,,manm1238-1,100,ɣɔiˀ11,ɣɔiˀ11,[],,['chan2019'],,False,False,,1
manm1238-1-200-1,,manm1238-1,200,sɔŋ35 ɣɔiˀ11,sɔŋ35 ɣɔiˀ11,[],,['chan2019'],,False,False,,1
manm1238-1-1000-1,,manm1238-1,1000,băn31,băn31,[],,['chan2019'],,False,False,,1
manm1238-1-2000-1,,manm1238-1,2000,sɔŋ35 băn31,sɔŋ35 băn31,[],,['chan2019'],,False,False,,1
