ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
mapu1244-1-1-1,,mapu1244-1,1,disa,disa,[],,['chan2019'],,False,False,,1
mapu1244-1-1-2,,mapu1244-1,1,dambuwaʔ,dambuwaʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-2-1,,mapu1244-1,2,duwa,duwa,[],,['chan2019'],,False,False,,1
mapu1244-1-3-1,,mapu1244-1,3,tallu,tallu,[],,['chan2019'],,False,False,,1
mapu1244-1-4-1,,mapu1244-1,4,mpat,mpat,[],,['chan2019'],,False,False,,1
mapu1244-1-5-1,,mapu1244-1,5,lima,lima,[],,['chan2019'],,False,False,,1
mapu1244-1-6-1,,mapu1244-1,6,nnom,nnom,[],,['chan2019'],,False,False,,1
mapu1244-1-7-1,,mapu1244-1,7,pituʔ,pituʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-8-1,,mapu1244-1,8,wawuʔ,wawuʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-9-1,,mapu1244-1,9,siyam,siyam,[],,['chan2019'],,False,False,,1
mapu1244-1-10-1,,mapu1244-1,10,sapu,sapu,[],,['chan2019'],,False,False,,1
mapu1244-1-11-1,,mapu1244-1,11,sapu dambuwaʔ,sapu dambuwaʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-12-1,,mapu1244-1,12,sapu duwa,sapu duwa,[],,['chan2019'],,False,False,,1
mapu1244-1-13-1,,mapu1244-1,13,sapu tallu,sapu tallu,[],,['chan2019'],,False,False,,1
mapu1244-1-14-1,,mapu1244-1,14,sapu mpat,sapu mpat,[],,['chan2019'],,False,False,,1
mapu1244-1-15-1,,mapu1244-1,15,sapu lima,sapu lima,[],,['chan2019'],,False,False,,1
mapu1244-1-16-1,,mapu1244-1,16,sapu nnom,sapu nnom,[],,['chan2019'],,False,False,,1
mapu1244-1-17-1,,mapu1244-1,17,sapu pituʔ,sapu pituʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-18-1,,mapu1244-1,18,sapu wawuʔ,sapu wawuʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-19-1,,mapu1244-1,19,sapu siyam,sapu siyam,[],,['chan2019'],,False,False,,1
mapu1244-1-20-1,,mapu1244-1,20,duwampuːʔ,duwampuːʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-21-1,,mapu1244-1,21,duwampuːʔ dambuwaʔ,duwampuːʔ dambuwaʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-22-1,,mapu1244-1,22,duwampuːʔ duwa,duwampuːʔ duwa,[],,['chan2019'],,False,False,,1
mapu1244-1-23-1,,mapu1244-1,23,duwampuːʔ tallu,duwampuːʔ tallu,[],,['chan2019'],,False,False,,1
mapu1244-1-24-1,,mapu1244-1,24,duwampuːʔ mpat,duwampuːʔ mpat,[],,['chan2019'],,False,False,,1
mapu1244-1-25-1,,mapu1244-1,25,duwampuːʔ lima,duwampuːʔ lima,[],,['chan2019'],,False,False,,1
mapu1244-1-26-1,,mapu1244-1,26,duwampuːʔ nnam,duwampuːʔ nnam,[],,['chan2019'],,False,False,,1
mapu1244-1-27-1,,mapu1244-1,27,duwampuːʔ pituʔ,duwampuːʔ pituʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-28-1,,mapu1244-1,28,duwampuːʔ wawuʔ,duwampuːʔ wawuʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-29-1,,mapu1244-1,29,duwampuːʔ siyam,duwampuːʔ siyam,[],,['chan2019'],,False,False,,1
mapu1244-1-30-1,,mapu1244-1,30,tallumpuːʔ,tallumpuːʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-40-1,,mapu1244-1,40,mpatampuːʔ,mpatampuːʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-50-1,,mapu1244-1,50,limampuːʔ,limampuːʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-60-1,,mapu1244-1,60,nnompuːʔ,nnompuːʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-70-1,,mapu1244-1,70,pitumpuːʔ,pitumpuːʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-80-1,,mapu1244-1,80,wawumpuːʔ,wawumpuːʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-90-1,,mapu1244-1,90,siyampuːʔ,siyampuːʔ,[],,['chan2019'],,False,False,,1
mapu1244-1-100-1,,mapu1244-1,100,duwa hatus,duwa hatus,[],,['chan2019'],,False,False,,1
mapu1244-1-200-1,,mapu1244-1,200,dalibu,dalibu,[],,['chan2019'],,False,False,,1
mapu1244-1-1000-1,,mapu1244-1,1000,duwa libu,duwa libu,[],,['chan2019'],,False,False,,1
mapu1244-1-2000-1,,mapu1244-1,2000,duo ribu,duo ribu,[],,['chan2019'],,False,False,,1
