ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
mara1379-1-1-1,,mara1379-1,1,ni.nə,ni.nə,[],,['chan2019'],,False,False,,1
mara1379-1-2-1,,mara1379-1,2,həŋ.nai,həŋ.nai,[],,['chan2019'],,False,False,,1
mara1379-1-3-1,,mara1379-1,3,həŋ.tum,həŋ.tum,[],,['chan2019'],,False,False,,1
mara1379-1-4-1,,mara1379-1,4,mədəi,mədəi,[],,['chan2019'],,False,False,,1
mara1379-1-4-2,,mara1379-1,4,mə.də̀i,mə.də̀i,[],,['chan2019'],,False,False,,1
mara1379-1-5-1,,mara1379-1,5,mə.ŋɨ,mə.ŋɨ,[],,['chan2019'],,False,False,,1
mara1379-1-6-1,,mara1379-1,6,sə.ruk,sə.ruk,[],,['chan2019'],,False,False,,1
mara1379-1-7-1,,mara1379-1,7,sə.nai,sə.nai,[],,['chan2019'],,False,False,,1
mara1379-1-8-1,,mara1379-1,8,sə.sət,sə.sət,[],,['chan2019'],,False,False,,1
mara1379-1-9-1,,mara1379-1,9,su.kɨ,su.kɨ,[],,['chan2019'],,False,False,,1
mara1379-1-10-1,,mara1379-1,10,kja.rɨ,kja.rɨ,[],,['chan2019'],,False,False,,1
mara1379-1-11-1,,mara1379-1,11,kjars.kən.ɡɨ,kjars.kən.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-12-1,,mara1379-1,12,kjars.nai.ɡɨ,kjars.nai.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-13-1,,mara1379-1,13,kjars.tum.ɡɨ,kjars.tum.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-14-1,,mara1379-1,14,kjar.sə.mə.dəiŋ.ɡɨ,kjar.sə.mə.dəiŋ.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-15-1,,mara1379-1,15,kjar.sə.mə.ŋɨŋ.ɡɨ,kjar.sə.mə.ŋɨŋ.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-16-1,,mara1379-1,16,kjar.sə.su.ruŋ.ɡɨ,kjar.sə.su.ruŋ.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-17-1,,mara1379-1,17,kjar.sə.snaiŋ.ɡɨ,kjar.sə.snaiŋ.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-18-1,,mara1379-1,18,kjar.sə.sɨ.səŋ.ɡɨ,kjar.sə.sɨ.səŋ.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-19-1,,mara1379-1,19,kjars.sə.su.kɨŋ.ɡɨ,kjars.sə.su.kɨŋ.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-20-1,,mara1379-1,20,mə.kəi,mə.kəi,[],,['chan2019'],,False,False,,1
mara1379-1-21-1,,mara1379-1,21,mə.kəi.skan.ɡɨ,mə.kəi.skan.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-22-1,,mara1379-1,22,mə.kəis.stum.ɡɨ,mə.kəis.stum.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-24-1,,mara1379-1,24,mə.kəis.mə.dəiŋ.ɡɨ,mə.kəis.mə.dəiŋ.ɡɨ,[],,['chan2019'],,False,False,,1
mara1379-1-25-1,,mara1379-1,25,mə.kəi.sə.mə.ŋɨŋ.ɡɨ,mə.kəi.sə.mə.ŋɨŋ.ɡɨ,[],,['chan2019'],,False,False,,1
