ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
mban1268-1-1-1,,mban1268-1,1,-ɔɔtɔ,-ɔɔtɔ,[],,['chan2019'],,False,False,,1
mban1268-1-2-1,,mban1268-1,2,-ba,-ba,[],,['chan2019'],,False,False,,1
mban1268-1-3-1,,mban1268-1,3,-lali,-lali,[],,['chan2019'],,False,False,,1
mban1268-1-4-1,,mban1268-1,4,-nayi,-nayi,[],,['chan2019'],,False,False,,1
mban1268-1-5-1,,mban1268-1,5,-taani,-taani,[],,['chan2019'],,False,False,,1
mban1268-1-6-1,,mban1268-1,6,-syami,-syami,[],,['chan2019'],,False,False,,1
mban1268-1-7-1,,mban1268-1,7,ntsaami,ntsaami,[],,['chan2019'],,False,False,,1
mban1268-1-8-1,,mban1268-1,8,mpfuɔmɔ,mpfuɔmɔ,[],,['chan2019'],,False,False,,1
mban1268-1-9-1,,mban1268-1,9,-taani na -nayi,-taani na -nayi,[],( 5 + 4 ),['chan2019'],,False,False,,1
mban1268-1-10-1,,mban1268-1,10,le-kumu,le-kumu,[],,['chan2019'],,False,False,,1
mban1268-1-11-1,,mban1268-1,11,le-kumu na -ɔɔtɔ,le-kumu na -ɔɔtɔ,[],,['chan2019'],,False,False,,1
mban1268-1-12-1,,mban1268-1,12,le-kumu na -ba,le-kumu na -ba,[],,['chan2019'],,False,False,,1
mban1268-1-13-1,,mban1268-1,13,le-kumu na -lali,le-kumu na -lali,[],,['chan2019'],,False,False,,1
mban1268-1-14-1,,mban1268-1,14,le-kumu na -nayi,le-kumu na -nayi,[],,['chan2019'],,False,False,,1
mban1268-1-15-1,,mban1268-1,15,le-kumu na -taani,le-kumu na -taani,[],,['chan2019'],,False,False,,1
mban1268-1-16-1,,mban1268-1,16,le-kumu na -syami,le-kumu na -syami,[],,['chan2019'],,False,False,,1
mban1268-1-17-1,,mban1268-1,17,le-kumu na ntsaami,le-kumu na ntsaami,[],,['chan2019'],,False,False,,1
mban1268-1-18-1,,mban1268-1,18,le-kumu na mpfuɔmɔ,le-kumu na mpfuɔmɔ,[],,['chan2019'],,False,False,,1
mban1268-1-19-1,,mban1268-1,19,le-kumu na taani na -nayi,le-kumu na taani na -nayi,[],,['chan2019'],,False,False,,1
mban1268-1-20-1,,mban1268-1,20,maku ma-ba,maku ma-ba,[],,['chan2019'],,False,False,,1
mban1268-1-21-1,,mban1268-1,21,maku ma-ba na -ɔɔtɔ,maku ma-ba na -ɔɔtɔ,[],,['chan2019'],,False,False,,1
mban1268-1-22-1,,mban1268-1,22,maku ma-ba na -ba,maku ma-ba na -ba,[],,['chan2019'],,False,False,,1
mban1268-1-23-1,,mban1268-1,23,maku ma-ba na -lali,maku ma-ba na -lali,[],,['chan2019'],,False,False,,1
mban1268-1-24-1,,mban1268-1,24,maku ma-ba na -nayi,maku ma-ba na -nayi,[],,['chan2019'],,False,False,,1
mban1268-1-25-1,,mban1268-1,25,maku ma-ba na -taani,maku ma-ba na -taani,[],,['chan2019'],,False,False,,1
mban1268-1-26-1,,mban1268-1,26,maku ma-ba na -syami,maku ma-ba na -syami,[],,['chan2019'],,False,False,,1
mban1268-1-27-1,,mban1268-1,27,maku ma-ba na ntsaami,maku ma-ba na ntsaami,[],,['chan2019'],,False,False,,1
mban1268-1-28-1,,mban1268-1,28,maku ma-ba mpfuɔmɔ,maku ma-ba mpfuɔmɔ,[],,['chan2019'],,False,False,,1
mban1268-1-29-1,,mban1268-1,29,maku ma-ba na -taani na -nayi,maku ma-ba na -taani na -nayi,[],,['chan2019'],,False,False,,1
mban1268-1-30-1,,mban1268-1,30,maku ma-lali,maku ma-lali,[],,['chan2019'],,False,False,,1
mban1268-1-40-1,,mban1268-1,40,maku ma-nayi,maku ma-nayi,[],,['chan2019'],,False,False,,1
mban1268-1-50-1,,mban1268-1,50,maku ma-taani,maku ma-taani,[],,['chan2019'],,False,False,,1
mban1268-1-60-1,,mban1268-1,60,maku ma-syami,maku ma-syami,[],,['chan2019'],,False,False,,1
mban1268-1-70-1,,mban1268-1,70,maku ntsaami,maku ntsaami,[],,['chan2019'],,False,False,,1
mban1268-1-80-1,,mban1268-1,80,maku mpfuɔmɔ,maku mpfuɔmɔ,[],,['chan2019'],,False,False,,1
mban1268-1-90-1,,mban1268-1,90,maku ma-taani na ma-nayi,maku ma-taani na ma-nayi,[],,['chan2019'],,False,False,,1
mban1268-1-100-1,,mban1268-1,100,ŋkama,ŋkama,[],,['chan2019'],,False,False,,1
