ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
naba1253-1-1-1,,naba1253-1,1,fèné,fèné,[],,['chan2019'],,False,False,,1
naba1253-1-1-2,,naba1253-1,1,pènè,pènè,[],,['chan2019'],,False,False,,1
naba1253-1-2-1,,naba1253-1,2,rìyó,rìyó,[],,['chan2019'],,False,False,,1
naba1253-1-3-1,,naba1253-1,3,mɔ̀tɔ́,mɔ̀tɔ́,[],,['chan2019'],,False,False,,1
naba1253-1-3-2,,naba1253-1,3,mátà,mátà,[],,['chan2019'],,False,False,,1
naba1253-1-4-1,,naba1253-1,4,sɔ́,sɔ́,[],,['chan2019'],,False,False,,1
naba1253-1-5-1,,naba1253-1,5,móy,móy,[],,['chan2019'],,False,False,,1
naba1253-1-6-1,,naba1253-1,6,míʃà,míʃà,[],,['chan2019'],,False,False,,1
naba1253-1-6-2,,naba1253-1,6,máʃà,máʃà,[],,['chan2019'],,False,False,,1
naba1253-1-7-1,,naba1253-1,7,sī̄lí,sī̄lí,[],,['chan2019'],,False,False,,1
naba1253-1-8-1,,naba1253-1,8,rātá,rātá,[],,['chan2019'],,False,False,,1
naba1253-1-9-1,,naba1253-1,9,rɔ̄fó,rɔ̄fó,[],,['chan2019'],,False,False,,1
naba1253-1-10-1,,naba1253-1,10,sí,sí,[],,['chan2019'],,False,False,,1
naba1253-1-11-1,,naba1253-1,11,sí kàr fèné,sí kàr fèné,[],,['chan2019'],,False,False,,1
naba1253-1-12-1,,naba1253-1,12,sí kàr rìyó,sí kàr rìyó,[],,['chan2019'],,False,False,,1
naba1253-1-13-1,,naba1253-1,13,sí kàr mɔ̀tɔ́,sí kàr mɔ̀tɔ́,[],,['chan2019'],,False,False,,1
naba1253-1-14-1,,naba1253-1,14,sí kàr sɔ́,sí kàr sɔ́,[],,['chan2019'],,False,False,,1
naba1253-1-15-1,,naba1253-1,15,sí kàr móy,sí kàr móy,[],,['chan2019'],,False,False,,1
naba1253-1-16-1,,naba1253-1,16,sí kàr míʃà,sí kàr míʃà,[],,['chan2019'],,False,False,,1
naba1253-1-17-1,,naba1253-1,17,sí kàr sī̄lí,sí kàr sī̄lí,[],,['chan2019'],,False,False,,1
naba1253-1-18-1,,naba1253-1,18,sí kàr rātá,sí kàr rātá,[],,['chan2019'],,False,False,,1
naba1253-1-19-1,,naba1253-1,19,sí kàr rɔ̄fó,sí kàr rɔ̄fó,[],,['chan2019'],,False,False,,1
naba1253-1-20-1,,naba1253-1,20,sí rìyó,sí rìyó,[],,['chan2019'],,False,False,,1
naba1253-1-21-1,,naba1253-1,21,sí rìyó kàr fèné,sí rìyó kàr fèné,[],,['chan2019'],,False,False,,1
naba1253-1-22-1,,naba1253-1,22,sí rìyó kàr rìyó,sí rìyó kàr rìyó,[],,['chan2019'],,False,False,,1
naba1253-1-23-1,,naba1253-1,23,sí rìyó kàr mɔ̀tɔ́,sí rìyó kàr mɔ̀tɔ́,[],,['chan2019'],,False,False,,1
naba1253-1-24-1,,naba1253-1,24,sí rìyó kàr sɔ́,sí rìyó kàr sɔ́,[],,['chan2019'],,False,False,,1
naba1253-1-25-1,,naba1253-1,25,sí rìyó kàr móy,sí rìyó kàr móy,[],,['chan2019'],,False,False,,1
naba1253-1-26-1,,naba1253-1,26,sí rìyó kàr míʃà,sí rìyó kàr míʃà,[],,['chan2019'],,False,False,,1
naba1253-1-27-1,,naba1253-1,27,sí rìyó kàr sī̄lí,sí rìyó kàr sī̄lí,[],,['chan2019'],,False,False,,1
naba1253-1-28-1,,naba1253-1,28,sí rìyó kàr rātá,sí rìyó kàr rātá,[],,['chan2019'],,False,False,,1
naba1253-1-29-1,,naba1253-1,29,sí rìyó kàr rɔ̄fó,sí rìyó kàr rɔ̄fó,[],,['chan2019'],,False,False,,1
naba1253-1-30-1,,naba1253-1,30,sí mɔ̀tɔ́,sí mɔ̀tɔ́,[],,['chan2019'],,False,False,,1
naba1253-1-40-1,,naba1253-1,40,sí sɔ́,sí sɔ́,[],,['chan2019'],,False,False,,1
naba1253-1-50-1,,naba1253-1,50,sí móy,sí móy,[],,['chan2019'],,False,False,,1
naba1253-1-60-1,,naba1253-1,60,sí míʃà,sí míʃà,[],,['chan2019'],,False,False,,1
naba1253-1-70-1,,naba1253-1,70,sí sī̄lí,sí sī̄lí,[],,['chan2019'],,False,False,,1
naba1253-1-80-1,,naba1253-1,80,sí rātá,sí rātá,[],,['chan2019'],,False,False,,1
naba1253-1-90-1,,naba1253-1,90,sí rɔ̄fó,sí rɔ̄fó,[],,['chan2019'],,False,False,,1
naba1253-1-100-1,,naba1253-1,100,kīrú,kīrú,[],,['chan2019'],,False,False,,1
naba1253-1-100-2,,naba1253-1,100,kūrú,kūrú,[],,['chan2019'],,False,False,,1
naba1253-1-200-1,,naba1253-1,200,àrū rìyó,àrū rìyó,[],,['chan2019'],,False,False,,1
naba1253-1-200-2,,naba1253-1,200,àrū rìyó,àrū rìyó,[],,['chan2019'],,False,False,,1
naba1253-1-1000-1,,naba1253-1,1000,álif,álif,[],,['chan2019'],,False,False,,1
naba1253-1-1000-2,,naba1253-1,1000,dūbú,dūbú,[],,['chan2019'],,False,False,,1
naba1253-1-2000-1,,naba1253-1,2000,álif rìyó,álif rìyó,[],,['chan2019'],,False,False,,1
naba1253-1-2000-2,,naba1253-1,2000,dūbú rìyó,dūbú rìyó,[],,['chan2019'],,False,False,,1
